review_id,winery,vintage,designation,variety,score,category,title,ava,region,province,country,release_price,source,brand_id
27,Schmidt Family Vineyards,2010.0,,Cabernet Sauvignon,87,Red,Schmidt 2010 Cabernet Sauvignon (Applegate Valley),Applegate Valley,Southern Oregon,Oregon,US,$40.0,Wine Enthusiest,235
28,Willamette Valley Vineyards,2011.0,Elton,Chardonnay,87,White,Willamette Valley Vineyards 2011 Elton Chardonnay (Eola-Amity Hills),Eola-Amity Hills,Willamette Valley,Oregon,US,$45.0,Wine Enthusiest,5
29,Ransom,2013.0,Selection,Pinot Noir,87,Red,Ransom 2013 Selection Pinot Noir (Eola-Amity Hills),Eola-Amity Hills,Willamette Valley,Oregon,US,$27.0,Wine Enthusiest,9
30,Chehalem,2011.0,Stoller Vineyards,Pinot Blanc,85,White,Chehalem 2011 Stoller Vineyards Pinot Blanc (Dundee Hills),Dundee Hills,Willamette Valley,Oregon,US,$28.0,Wine Enthusiest,38
31,Anam Cara Cellars,2005.0,Nicholas Estate,Pinot Noir,86,Red,Anam Cara 2005 Nicholas Estate Pinot Noir (Willamette Valley),Willamette Valley,Willamette Valley,Oregon,US,$30.0,Wine Enthusiest,198
32,Archery Summit,2004.0,Premier Cuvée,Pinot Noir,86,Red,Archery Summit 2004 Premier Cuvée Pinot Noir (Dundee Hills),Dundee Hills,Willamette Valley,Oregon,US,$37.0,Wine Enthusiest,123
33,Archery Summit,2004.0,Renegade Ridge Estate,Pinot Noir,85,Red,Archery Summit 2004 Renegade Ridge Estate Pinot Noir (Dundee Hills),Dundee Hills,Willamette Valley,Oregon,US,$75.0,Wine Enthusiest,123
34,The Eyrie Vineyards,2011.0,Estate,Chardonnay,88,White,The Eyrie Vineyards 2011 Estate Chardonnay (Dundee Hills),Dundee Hills,Willamette Valley,Oregon,US,$27.0,Wine Enthusiest,359
35,The Eyrie Vineyards,2015.0,Original Vines,Pinot Grigio,92,White,The Eyrie Vineyards 2015 Original Vines Pinot Gris (Dundee Hills),Dundee Hills,Willamette Valley,Oregon,US,$41.0,Wine Enthusiest,359
36,WillaKenzie Estate,2014.0,Triple Black Slopes,Pinot Noir,92,Red,WillaKenzie Estate 2014 Triple Black Slopes Pinot Noir,Willamette Valley,,Oregon,US,$75.0,Wine Enthusiest,452
37,WillaKenzie Estate,2015.0,Estate Grown,Pinot Blanc,92,White,WillaKenzie Estate 2015 Estate Grown Pinot Blanc,Willamette Valley,,Oregon,US,$25.0,Wine Enthusiest,452
38,Schmidt Family Vineyards,2012.0,,Pinot Noir,84,Red,Schmidt 2012 Pinot Noir (Applegate Valley),Applegate Valley,Southern Oregon,Oregon,US,$40.0,Wine Enthusiest,235
39,Reustle,2013.0,Winemaker's Reserve,Pinot Noir,86,Red,Reustle 2013 Winemaker's Reserve Pinot Noir (Umpqua Valley),Umpqua Valley,Southern Oregon,Oregon,US,$39.0,Wine Enthusiest,188
40,Chehalem,2015.0,Ridgecrest Vineyards,Gamay Noir,89,Red,Chehalem 2015 Ridgecrest Vineyards Gamay Noir (Ribbon Ridge),Ribbon Ridge,Willamette Valley,Oregon,US,$25.0,Wine Enthusiest,38
41,Fullerton,2015.0,Five Faces,Pinot Noir,89,Red,Fullerton 2015 Five Faces Pinot Noir (Willamette Valley),Willamette Valley,Willamette Valley,Oregon,US,$33.0,Wine Enthusiest,269
42,Evening Land,2012.0,Seven Springs Vineyard,Chardonnay,91,White,Evening Land 2012 Seven Springs Vineyard Chardonnay (Eola-Amity Hills),Eola-Amity Hills,Willamette Valley,Oregon,US,$40.0,Wine Enthusiest,324
43,Evening Land,2012.0,Seven Springs Vineyard,Pinot Noir,91,Red,Evening Land 2012 Seven Springs Vineyard Pinot Noir (Eola-Amity Hills),Eola-Amity Hills,Willamette Valley,Oregon,US,$50.0,Wine Enthusiest,324
44,Archery Summit,2008.0,Arcus Estate,Pinot Noir,92,Red,Archery Summit 2008 Arcus Estate Pinot Noir (Dundee Hills),Dundee Hills,Willamette Valley,Oregon,US,$100.0,Wine Enthusiest,123
45,Viento,2009.0,Underwood Mountain Vineyards 55% Riesling/45% Gewurztraminer Ice Wine,Gewürztraminer-Riesling,91,White,Viento 2009 Underwood Mountain Vineyards 55% Riesling/45% Gewurztraminer Ice Wine Gewürztraminer-Riesling (Columbia Gorge (OR)),Columbia Gorge (OR),Oregon Other,Oregon,US,$60.0,Wine Enthusiest,175
46,Lachini,2008.0,Lachini Family Estate,Pinot Noir,91,Red,Lachini 2008 Lachini Family Estate Pinot Noir (Chehalem Mountains),Chehalem Mountains,Willamette Valley,Oregon,US,$45.0,Wine Enthusiest,241
47,Plaisance Ranch,2014.0,Barrel Fermented,Chardonnay,87,White,Plaisance Ranch 2014 Barrel Fermented Chardonnay (Applegate Valley),Applegate Valley,Southern Oregon,Oregon,US,$25.0,Wine Enthusiest,365
48,Le Cadeau,2013.0,,Pinot Noir,87,Red,Le Cadeau 2013 Pinot Noir (Oregon),,Oregon Other,Oregon,US,$38.0,Wine Enthusiest,372
49,Plaisance Ranch,2013.0,Ranch,Red Blend,87,Red,Plaisance Ranch 2013 Ranch Red (Applegate Valley),Applegate Valley,Southern Oregon,Oregon,US,$25.0,Wine Enthusiest,365
50,Reustle,2013.0,Winemaker's Reserve,Pinot Noir,86,Red,Reustle 2013 Winemaker's Reserve Pinot Noir (Umpqua Valley),Umpqua Valley,Southern Oregon,Oregon,US,$39.0,Wine Enthusiest,188
51,Willamette Valley Vineyards,2013.0,Elton,Pinot Noir,90,Red,Willamette Valley Vineyards 2013 Elton Pinot Noir (Eola-Amity Hills),Eola-Amity Hills,Willamette Valley,Oregon,US,$55.0,Wine Enthusiest,5
52,Domaine Divio,2015.0,,Chardonnay,92,White,Domaine Divio 2015 Chardonnay (Willamette Valley),Willamette Valley,Willamette Valley,Oregon,US,$50.0,Wine Enthusiest,488
53,Chehalem,2007.0,INOX,Chardonnay,88,White,Chehalem 2007 INOX Chardonnay (Willamette Valley),Willamette Valley,Willamette Valley,Oregon,US,$19.0,Wine Enthusiest,38
54,Zenith Vineyard,2015.0,,Auxerrois,90,White,Zenith 2015 Auxerrois (Eola-Amity Hills),Eola-Amity Hills,Willamette Valley,Oregon,US,$27.0,Wine Enthusiest,289
55,Weisinger Family Winery,2013.0,Estate,Tempranillo,85,Red,Weisinger 2013 Estate Tempranillo (Rogue Valley),Rogue Valley,Southern Oregon,Oregon,US,$32.0,Wine Enthusiest,45
56,Domaine Drouhin Oregon,2015.0,Édition Limitée,Chardonnay,94,White,Domaine Drouhin 2015 Édition Limitée Chardonnay (Dundee Hills),Dundee Hills,Willamette Valley,Oregon,US,$65.0,Wine Enthusiest,494
57,Bergström,2015.0,Sigrid,Chardonnay,94,White,Bergström 2015 Sigrid Chardonnay (Willamette Valley),Willamette Valley,Willamette Valley,Oregon,US,$95.0,Wine Enthusiest,385
58,Amity Vineyards,2013.0,,Pinot Blanc,87,White,Amity 2013 Pinot Blanc (Willamette Valley),Willamette Valley,Willamette Valley,Oregon,US,$22.0,Wine Enthusiest,502
59,Willamette Valley Vineyards,2012.0,Estate,Chardonnay,87,White,Willamette Valley Vineyards 2012 Estate Chardonnay (Willamette Valley),Willamette Valley,Willamette Valley,Oregon,US,$30.0,Wine Enthusiest,5
60,Quady North,2010.0,Vinum Pro Virtus Arsenal,Cabernet Franc-Merlot,91,Red,Quady North 2010 Vinum Pro Virtus Arsenal Cabernet Franc-Merlot (Applegate Valley),Applegate Valley,Southern Oregon,Oregon,US,$40.0,Wine Enthusiest,335
61,J. Scott Cellars,2007.0,Del Rio Vineyard,Syrah,87,Red,J. Scott Cellars 2007 Del Rio Vineyard Syrah (Rogue Valley),Rogue Valley,Southern Oregon,Oregon,US,$23.0,Wine Enthusiest,383
62,Lenné Estate,2012.0,Kill Hill,Pinot Noir,92,Red,Lenné Estate 2012 Kill Hill Pinot Noir,Willamette Valley,,Oregon,US,$55.0,Wine Enthusiest,49
63,Willamette Valley Vineyards,2012.0,Elton,Chardonnay,92,White,Willamette Valley Vineyards 2012 Elton Chardonnay (Eola-Amity Hills),Eola-Amity Hills,Willamette Valley,Oregon,US,$45.0,Wine Enthusiest,5
64,Fullerton,2014.0,Croft Vineyard,Pinot Noir,88,Red,Fullerton 2014 Croft Vineyard Pinot Noir (Willamette Valley),Willamette Valley,Willamette Valley,Oregon,US,$43.0,Wine Enthusiest,269
65,Willamette Valley Vineyards,2011.0,Whole Cluster Fermented,Pinot Noir,86,Red,Willamette Valley Vineyards 2011 Whole Cluster Fermented Pinot Noir (Willamette Valley),Willamette Valley,Willamette Valley,Oregon,US,$22.0,Wine Enthusiest,5
66,Wy'East Vineyards,2010.0,,Pinot Noir,86,Red,Wy'East Vineyards 2010 Pinot Noir (Columbia Gorge (OR)),Columbia Gorge (OR),Oregon Other,Oregon,US,$39.0,Wine Enthusiest,378
67,Wy'East Vineyards,2012.0,,Pinot Grigio,86,White,Wy'East Vineyards 2012 Pinot Gris (Columbia Gorge (OR)),Columbia Gorge (OR),Oregon Other,Oregon,US,$18.0,Wine Enthusiest,378
68,Archery Summit,2013.0,Whole Cluster Cuvée,Pinot Noir,92,Red,Archery Summit 2013 Whole Cluster Cuvée Pinot Noir (Dundee Hills),Dundee Hills,Willamette Valley,Oregon,US,$85.0,Wine Enthusiest,123
69,Andrew Rich,1998.0,Les Vigneaux Corral Creek Vyd,Pinot Noir,88,Red,Andrew Rich 1998 Les Vigneaux Corral Creek Vyd Pinot Noir (Willamette Valley),Willamette Valley,Willamette Valley,Oregon,US,$25.0,Wine Enthusiest,351
70,Cooper Mountain,1998.0,20th Anniversary,Pinot Noir,88,Red,Cooper Mountain 1998 20th Anniversary Pinot Noir (Willamette Valley),Willamette Valley,Willamette Valley,Oregon,US,$25.0,Wine Enthusiest,290
71,Archery Summit,2013.0,Renegade Ridge Estate,Pinot Noir,92,Red,Archery Summit 2013 Renegade Ridge Estate Pinot Noir (Dundee Hills),Dundee Hills,Willamette Valley,Oregon,US,$85.0,Wine Enthusiest,123
72,Boedecker Cellars,2007.0,Purity,Chardonnay,89,White,Boedecker Cellars 2007 Purity Chardonnay (Willamette Valley),Willamette Valley,Willamette Valley,Oregon,US,$18.0,Wine Enthusiest,397
73,Weisinger Family Winery,2012.0,Meadowlark Vineyard,Syrah,85,Red,Weisinger 2012 Meadowlark Vineyard Syrah (Rogue Valley),Rogue Valley,Southern Oregon,Oregon,US,$26.0,Wine Enthusiest,45
74,The Eyrie Vineyards,2000.0,Marguerite,Pinot Noir,94,Red,The Eyrie Vineyards 2000 Marguerite Pinot Noir (Dundee Hills),Dundee Hills,Willamette Valley,Oregon,US,$85.0,Wine Enthusiest,359
75,Season Cellars,2012.0,,Viognier,88,White,Season 2012 Viognier (Southern Oregon),Southern Oregon,Southern Oregon,Oregon,US,$23.0,Wine Enthusiest,449
76,Phelps Creek,2007.0,Celilo Vineyard,Chardonnay,89,White,Phelps Creek 2007 Celilo Vineyard Chardonnay (Columbia Gorge (OR)),Columbia Gorge (OR),Oregon Other,Oregon,US,$24.0,Wine Enthusiest,92
77,Fullerton,2013.0,Five Faces,Pinot Noir,87,Red,Fullerton 2013 Five Faces Pinot Noir (Willamette Valley),Willamette Valley,Willamette Valley,Oregon,US,$33.0,Wine Enthusiest,269
78,Brittan Vineyards,2006.0,Basalt Block,Pinot Noir,92,Red,Brittan Vineyards 2006 Basalt Block Pinot Noir (Willamette Valley),Willamette Valley,Willamette Valley,Oregon,US,$45.0,Wine Enthusiest,425
79,Chehalem,2013.0,Ridgecrest Vineyards,Gamay Noir,87,Red,Chehalem 2013 Ridgecrest Vineyards Gamay Noir (Ribbon Ridge),Ribbon Ridge,Willamette Valley,Oregon,US,$24.0,Wine Enthusiest,38
80,Chehalem,2016.0,INOX Unoaked,Chardonnay,90,White,Chehalem 2016 INOX Unoaked Chardonnay (Willamette Valley),Willamette Valley,Willamette Valley,Oregon,US,$20.0,Wine Enthusiest,38
81,Fullerton,2015.0,Croft Vineyard,Pinot Noir,90,Red,Fullerton 2015 Croft Vineyard Pinot Noir (Willamette Valley),Willamette Valley,Willamette Valley,Oregon,US,$45.0,Wine Enthusiest,269
82,Fullerton,2015.0,Fir Crest Vineyard,Pinot Noir,90,Red,Fullerton 2015 Fir Crest Vineyard Pinot Noir,Willamette Valley,,Oregon,US,$55.0,Wine Enthusiest,269
83,Bergström,2013.0,Gregory Ranch,Pinot Noir,92,Red,Bergström 2013 Gregory Ranch Pinot Noir,Willamette Valley,,Oregon,US,$60.0,Wine Enthusiest,385
84,Domaine Drouhin Oregon,2013.0,Édition Limitée,Chardonnay,94,White,Domaine Drouhin Oregon 2013 Édition Limitée Chardonnay (Dundee Hills),Dundee Hills,Willamette Valley,Oregon,US,$65.0,Wine Enthusiest,494
85,Spangler Vineyards,2013.0,,Petit Verdot,87,Red,Spangler 2013 Petit Verdot (Oregon),,Oregon Other,Oregon,US,$39.0,Wine Enthusiest,149
86,J. Scott Cellars,2016.0,,Pinot Blanc,87,White,J. Scott Cellars 2016 Pinot Blanc (Willamette Valley),Willamette Valley,Willamette Valley,Oregon,US,$19.0,Wine Enthusiest,383
87,Plaisance Ranch,2014.0,Papa Joe's Private Stash,Mondeuse,87,Red,Plaisance Ranch 2014 Papa Joe's Private Stash Mondeuse (Applegate Valley),Applegate Valley,Southern Oregon,Oregon,US,$30.0,Wine Enthusiest,365
88,Domaine Divio,2012.0,,Pinot Noir,92,Red,Domaine Divio 2012 Pinot Noir (Dundee Hills),Dundee Hills,Willamette Valley,Oregon,US,$48.0,Wine Enthusiest,488
89,Durant,2014.0,Lark,Chardonnay,92,White,Durant 2014 Lark Chardonnay (Dundee Hills),Dundee Hills,Willamette Valley,Oregon,US,$28.0,Wine Enthusiest,190
90,Brooks,2008.0,Janus,Pinot Noir,88,Red,Brooks 2008 Janus Pinot Noir (Eola-Amity Hills),Eola-Amity Hills,Willamette Valley,Oregon,US,$35.0,Wine Enthusiest,229
91,Anam Cara Cellars,2010.0,Mark V,Pinot Noir,89,Red,Anam Cara 2010 Mark V Pinot Noir (Chehalem Mountains),Chehalem Mountains,Willamette Valley,Oregon,US,$65.0,Wine Enthusiest,198
92,Anam Cara Cellars,2010.0,Nicholas Estate Reserve,Pinot Noir,89,Red,Anam Cara 2010 Nicholas Estate Reserve Pinot Noir (Chehalem Mountains),Chehalem Mountains,Willamette Valley,Oregon,US,$45.0,Wine Enthusiest,198
93,WillaKenzie Estate,2007.0,,Pinot Blanc,88,White,WillaKenzie Estate 2007 Pinot Blanc (Willamette Valley),Willamette Valley,Willamette Valley,Oregon,US,$18.0,Wine Enthusiest,452
94,Lachini,2006.0,,Pinot Grigio,88,White,Lachini 2006 Pinot Gris (Oregon),,Oregon Other,Oregon,US,$20.0,Wine Enthusiest,241
95,The Eyrie Vineyards,2012.0,,Pinot Blanc,91,White,The Eyrie Vineyards 2012 Pinot Blanc (Dundee Hills),Dundee Hills,Willamette Valley,Oregon,US,$19.0,Wine Enthusiest,359
96,Owen Roe,2014.0,Sojourner Vineyard Pommard Clone,Pinot Noir,91,Red,Owen Roe 2014 Sojourner Vineyard Pommard Clone Pinot Noir (Eola-Amity Hills),Eola-Amity Hills,Willamette Valley,Oregon,US,$65.0,Wine Enthusiest,246
97,Spangler Vineyards,2015.0,,Viognier,92,White,Spangler 2015 Viognier (Southern Oregon),Southern Oregon,Southern Oregon,Oregon,US,$21.0,Wine Enthusiest,149
98,The Eyrie Vineyards,2013.0,Outcrop Estate,Pinot Noir,92,Red,The Eyrie Vineyards 2013 Outcrop Estate Pinot Noir (Dundee Hills),Dundee Hills,Willamette Valley,Oregon,US,$50.0,Wine Enthusiest,359
99,Antiquum Farm,2013.0,Juel,Pinot Noir,90,Red,Antiquum Farm 2013 Juel Pinot Noir (Willamette Valley),Willamette Valley,Willamette Valley,Oregon,US,$37.0,Wine Enthusiest,453
100,Big Table Farm,2014.0,Wirtz Vineyard,Pinot Grigio,90,White,Big Table Farm 2014 Wirtz Vineyard Pinot Gris (Willamette Valley),Willamette Valley,Willamette Valley,Oregon,US,$32.0,Wine Enthusiest,29
101,Le Cadeau,2014.0,Diversité,Pinot Noir,93,Red,Le Cadeau 2014 Diversité Pinot Noir (Willamette Valley),Willamette Valley,Willamette Valley,Oregon,US,$50.0,Wine Enthusiest,372
102,Lumos,2014.0,Temperance Hill Vineyard,Gewürztraminer,91,White,Lumos 2014 Temperance Hill Vineyard Gewürztraminer (Oregon),,Oregon Other,Oregon,US,$19.0,Wine Enthusiest,318
103,Plaisance Ranch,2012.0,Papa Joe's Private Stash,Syrah,91,Red,Plaisance Ranch 2012 Papa Joe's Private Stash Syrah (Applegate Valley),Applegate Valley,Southern Oregon,Oregon,US,$25.0,Wine Enthusiest,365
104,Longplay,2011.0,Lia's Vineyard Hi-Tone,Pinot Noir,89,Red,Longplay 2011 Lia's Vineyard Hi-Tone Pinot Noir (Chehalem Mountains),Chehalem Mountains,Willamette Valley,Oregon,US,$45.0,Wine Enthusiest,102
105,Viento,2009.0,Pine Grove Vineyard Vintage Select,Riesling,91,White,Viento 2009 Pine Grove Vineyard Vintage Select Riesling (Columbia Gorge (OR)),Columbia Gorge (OR),Oregon Other,Oregon,US,$20.0,Wine Enthusiest,175
106,Lachini,2009.0,,Pinot Grigio,91,White,Lachini 2009 Pinot Gris (Oregon),,Oregon Other,Oregon,US,$22.0,Wine Enthusiest,241
107,Reustle,2014.0,Smaragd,Grüner Veltliner,91,White,Reustle 2014 Smaragd Grüner Veltliner (Umpqua Valley),Umpqua Valley,Southern Oregon,Oregon,US,$32.0,Wine Enthusiest,188
108,Cubanisimo Vineyards,2010.0,Estate,Pinot Noir,83,Red,Cubanisimo Vineyards 2010 Estate Pinot Noir (Willamette Valley),Willamette Valley,Willamette Valley,Oregon,US,$28.0,Wine Enthusiest,110
109,Phelps Creek,2007.0,Le Petit,Pinot Noir,88,Red,Phelps Creek 2007 Le Petit Pinot Noir (Columbia Gorge (OR)),Columbia Gorge (OR),Oregon Other,Oregon,US,$18.0,Wine Enthusiest,92
110,Chehalem,2010.0,Ian's Reserve,Chardonnay,90,White,Chehalem 2010 Ian's Reserve Chardonnay (Dundee Hills),Dundee Hills,Willamette Valley,Oregon,US,$36.0,Wine Enthusiest,38
111,Chehalem,2012.0,Ridgecrest Vineyards,Grüner Veltliner,90,White,Chehalem 2012 Ridgecrest Vineyards Grüner Veltliner (Ribbon Ridge),Ribbon Ridge,Willamette Valley,Oregon,US,$24.0,Wine Enthusiest,38
112,Bryn Mawr Vineyards,2016.0,Rosé of,Pinot Noir,90,Red,Bryn Mawr Vineyards 2016 Rosé of Pinot Noir (Willamette Valley),Willamette Valley,Willamette Valley,Oregon,US,$20.0,Wine Enthusiest,371
113,Chehalem,2015.0,Corral Creek Vineyards,Pinot Noir,90,Red,Chehalem 2015 Corral Creek Vineyards Pinot Noir (Chehalem Mountains),Chehalem Mountains,Willamette Valley,Oregon,US,$50.0,Wine Enthusiest,38
114,Iris Vineyards,2014.0,Aroha Vineyard,Tempranillo,89,Red,Iris Vineyards 2014 Aroha Vineyard Tempranillo (Umpqua Valley),Umpqua Valley,Southern Oregon,Oregon,US,$28.0,Wine Enthusiest,79
115,Chehalem,2014.0,Wind Ridge Block,Pinot Noir,87,Red,Chehalem 2014 Wind Ridge Block Pinot Noir (Ribbon Ridge),Ribbon Ridge,Willamette Valley,Oregon,US,$50.0,Wine Enthusiest,38
116,Dobbes Family Estate,2014.0,Grand Assemblage,Pinot Noir,91,Red,Dobbes Family Estate 2014 Grand Assemblage Pinot Noir (Willamette Valley),Willamette Valley,Willamette Valley,Oregon,US,$28.0,Wine Enthusiest,2
117,Phelps Creek,2013.0,Lynette,Chardonnay,91,White,Phelps Creek 2013 Lynette Chardonnay (Columbia Gorge (OR)),Columbia Gorge (OR),Oregon Other,Oregon,US,$34.0,Wine Enthusiest,92
118,Domaine Drouhin Oregon,2005.0,Laurène,Pinot Noir,92,Red,Domaine Drouhin Oregon 2005 Laurène Pinot Noir (Oregon),,Oregon Other,Oregon,US,$65.0,Wine Enthusiest,494
119,Plaisance Ranch,2014.0,,Merlot,85,Red,Plaisance Ranch 2014 Merlot (Applegate Valley),Applegate Valley,Southern Oregon,Oregon,US,$25.0,Wine Enthusiest,365
120,Lumos,2013.0,Temperance Hill Vineyard Julia,Pinot Grigio,90,White,Lumos 2013 Temperance Hill Vineyard Julia Pinot Gris (Willamette Valley),Willamette Valley,Willamette Valley,Oregon,US,$20.0,Wine Enthusiest,318
121,Willamette Valley Vineyards,2012.0,Bernau Block,Pinot Noir,90,Red,Willamette Valley Vineyards 2012 Bernau Block Pinot Noir (Willamette Valley),Willamette Valley,Willamette Valley,Oregon,US,$55.0,Wine Enthusiest,5
122,Schmidt Family Vineyards,2010.0,Schmidt Family Vineyards Estate,Merlot,85,Red,Schmidt 2010 Schmidt Family Vineyards Estate Merlot (Applegate Valley),Applegate Valley,Southern Oregon,Oregon,US,$34.0,Wine Enthusiest,235
123,The Eyrie Vineyards,2013.0,Rosé of,Pinot Noir,90,Red,The Eyrie Vineyards 2013 Rosé of Pinot Noir (Willamette Valley),Willamette Valley,Willamette Valley,Oregon,US,$20.0,Wine Enthusiest,359
124,Reustle,2015.0,Dolium,Grüner Veltliner,90,White,Reustle 2015 Dolium Grüner Veltliner (Umpqua Valley),Umpqua Valley,Southern Oregon,Oregon,US,$29.0,Wine Enthusiest,188
125,Anam Cara Cellars,2012.0,Nicholas Estate Dry,Riesling,87,White,Anam Cara 2012 Nicholas Estate Dry Riesling (Chehalem Mountains),Chehalem Mountains,Willamette Valley,Oregon,US,$22.0,Wine Enthusiest,198
126,Hawkins Cellars,2009.0,,Pinot Noir,86,Red,Hawkins Cellars 2009 Pinot Noir (Willamette Valley),Willamette Valley,Willamette Valley,Oregon,US,$22.0,Wine Enthusiest,106
127,Le Cadeau,2006.0,Equinoxe,Pinot Noir,91,Red,Le Cadeau 2006 Equinoxe Pinot Noir (Willamette Valley),Willamette Valley,Willamette Valley,Oregon,US,$47.0,Wine Enthusiest,372
128,Le Cadeau,2006.0,Côte Est,Pinot Noir,92,Red,Le Cadeau 2006 Côte Est Pinot Noir (Willamette Valley),Willamette Valley,Willamette Valley,Oregon,US,$47.0,Wine Enthusiest,372
