price,rating,bottle_name,review_link,source,Designation,Winery,Alcohol,Bottle Size,Category,Date Published,style,vintage,AVA,Region,Province,Country,Varietal
$48,94,Day 2019 Belle Pente Vineyard Chardonnay (Yamhill-Carlton),https://www.winemag.com/buying-guide/day-2019-belle-pente-vineyard-chardonnay-yamhill-carlton/,Wine Enthusiast,Belle Pente Vineyard,Day,12.3%,750 ml,White,4/1/2022,,2019,Yamhill-Carlton,Willamette Valley,Oregon,US,Chardonnay
$54,93,Day 2019 Momtazi Vineyard Pinot Noir (McMinnville),https://www.winemag.com/buying-guide/day-2019-momtazi-vineyard-pinot-noir-mcminnville/,Wine Enthusiast,Momtazi Vineyard,Day,13.2%,750 ml,Red,4/1/2022,,2019,McMinnville,Willamette Valley,Oregon,US,Pinot Noir
$95,92,Adelsheim 2015 Sparkling Blanc de Blancs Sparkling (Willamette Valley),https://www.winemag.com/buying-guide/adelsheim-2015-sparkling-blanc-de-blancs-sparkling-willamette-valley/,Wine Enthusiast,Sparkling Blanc de Blancs,Adelsheim,12.5%,750 ml,Sparkling,4/1/2022,"['Sparkling Blend', ' Sparkling']",2015,Willamette Valley,Willamette Valley,Oregon,US,Blend
$35,92,Alexana 2019 Terroir Series Chardonnay (Willamette Valley),https://www.winemag.com/buying-guide/alexana-2019-terroir-series-chardonnay-willamette-valley/,Wine Enthusiast,Terroir Series,Alexana,13.2%,750 ml,White,4/1/2022,,2019,Willamette Valley,Willamette Valley,Oregon,US,Chardonnay
$24,90,Day 2020 Isla Vermentino (Applegate Valley),https://www.winemag.com/buying-guide/day-2020-isla-vermentino-applegate-valley/,Wine Enthusiast,Isla,Day,13%,750 ml,White,4/1/2022, Italian White,2020,Applegate Valley,Southern Oregon,Oregon,US,Vermentino
$18,90,Domaine Loubejac 2020 Chardonnay (Willamette Valley),https://www.winemag.com/buying-guide/domaine-loubejac-2020-chardonnay-willamette-valley/,Wine Enthusiast,,Domaine Loubejac,13.3%,750 ml,White,4/1/2022,,2020,Willamette Valley,Willamette Valley,Oregon,US,Chardonnay
,88,J. Christopher 2020 Cristo Irresisto Oregon Pink Wine Rosé (Oregon),https://www.winemag.com/buying-guide/j-christopher-2020-cristo-irresisto-oregon-pink-wine-rose-oregon/,Wine Enthusiast,Cristo Irresisto Oregon Pink Wine,J. Christopher,13%,750 ml,Rose,4/1/2022,,2020,,Oregon Other,Oregon,US,Blend
$23,88,Chris Baker 2020 Pinot Gris (Willamette Valley),https://www.winemag.com/buying-guide/chris-baker-2020-pinot-gris-willamette-valley/,Wine Enthusiast,,Chris Baker,13%,750 ml,White,4/1/2022,,2020,Willamette Valley,Willamette Valley,Oregon,US,Pinot Gris
$35,87,Big Red Barn 2018 Pinot Noir (Willamette Valley),https://www.winemag.com/buying-guide/big-red-barn-2018-pinot-noir-willamette-valley/,Wine Enthusiast,,Big Red Barn,13.4%,750 ml,Red,4/1/2022,,2018,Willamette Valley,Willamette Valley,Oregon,US,Pinot Noir
$30,86,Big Red Barn 2020 Chardonnay (Willamette Valley),https://www.winemag.com/buying-guide/big-red-barn-2020-chardonnay-willamette-valley/,Wine Enthusiast,,Big Red Barn,12.8%,750 ml,White,4/1/2022,,2020,Willamette Valley,Willamette Valley,Oregon,US,Chardonnay
$33,86,Scott Kelley 2020 Chardonnay (Oregon),https://www.winemag.com/buying-guide/scott-kelley-2020-chardonnay-oregon/,Wine Enthusiast,,Scott Kelley,13.5%,750 ml,White,4/1/2022,,2020,,Oregon Other,Oregon,US,Chardonnay
$22,85,Elouan 2019 Pinot Noir (Oregon),https://www.winemag.com/buying-guide/elouan-2019-pinot-noir-oregon/,Wine Enthusiast,,Elouan,13.6%,750 ml,Red,4/1/2022,,2019,,Oregon Other,Oregon,US,Pinot Noir
$40,95,Shea 2018 Chardonnay (Willamette Valley),https://www.winemag.com/buying-guide/shea-2018-chardonnay-willamette-valley/,Wine Enthusiast,,Shea,13.2%,750 ml,White,3/1/2022,,2018,Willamette Valley,Willamette Valley,Oregon,US,Chardonnay
$35,95,Drouhin Oregon Roserock 2019 Chardonnay (Eola-Amity Hills),https://www.winemag.com/buying-guide/drouhin-oregon-roserock-2019-chardonnay-eola-amity-hills/,Wine Enthusiast,,Drouhin Oregon Roserock,13.9%,750 ml,White,3/1/2022,,2019,Eola-Amity Hills,Willamette Valley,Oregon,US,Chardonnay
$65,93,Drouhin Oregon Roserock 2018 Zéphirine Pinot Noir (Eola-Amity Hills),https://www.winemag.com/buying-guide/drouhin-oregon-roserock-2018-zephirine-pinot-noir-eola-amity-hills/,Wine Enthusiast,Zéphirine,Drouhin Oregon Roserock,14.1%,750 ml,Red,3/1/2022,,2018,Eola-Amity Hills,Willamette Valley,Oregon,US,Pinot Noir
$45,93,Shea 2018 Estate Pinot Noir (Willamette Valley),https://www.winemag.com/buying-guide/shea-2018-estate-pinot-noir-willamette-valley/,Wine Enthusiast,Estate,Shea,14.6%,750 ml,Red,3/1/2022,,2018,Willamette Valley,Willamette Valley,Oregon,US,Pinot Noir
$28,92,David Paige 2020 RPG Vineyard Pinot Blanc (Eola-Amity Hills),https://www.winemag.com/buying-guide/david-paige-2020-rpg-vineyard-pinot-blanc-eola-amity-hills/,Wine Enthusiast,RPG Vineyard,David Paige,12.8%,750 ml,White,3/1/2022,,2020,Eola-Amity Hills,Willamette Valley,Oregon,US,Pinot Blanc
$40,92,King Estate 2017 Brut Cuvée Méthode Champenoise Sparkling (Willamette Valley),https://www.winemag.com/buying-guide/king-estate-2017-brut-cuvee-methode-champenoise-sparkling-willamette-valley/,Wine Enthusiast,Brut Cuvée Méthode Champenoise,King Estate,12.6%,750 ml,Sparkling,3/1/2022,"['Sparkling Blend', ' Sparkling']",2017,Willamette Valley,Willamette Valley,Oregon,US,Blend
$50,92,King Estate 2018 Crater View Vineyard & Seven Hills Vineyard Grenache-Syrah-Mourvèdre Red (Oregon),https://www.winemag.com/buying-guide/king-estate-2018-crater-view-vineyard-seven-hills-vineyard-grenache-syrah-mourvedre-red-oregon/,Wine Enthusiast,Crater View Vineyard & Seven Hills Vineyard Grenache-Syrah-Mourvèdre,King Estate,14.7%,750 ml,Red,3/1/2022,,2018,,Oregon Other,Oregon,US,Blend
$35,92,Averaen 2019 Flood Line Pinot Noir (Eola-Amity Hills),https://www.winemag.com/buying-guide/averaen-2019-flood-line-pinot-noir-eola-amity-hills/,Wine Enthusiast,Flood Line,Averaen,13.7%,750 ml,Red,3/1/2022,,2019,Eola-Amity Hills,Willamette Valley,Oregon,US,Pinot Noir
$55,92,Left Coast 2015 Estate Blanc de Noir Sparkling (Van Duzer Corridor),https://www.winemag.com/buying-guide/left-coast-2015-estate-blanc-de-noir-sparkling-van-duzer-corridor/,Wine Enthusiast,Estate Blanc de Noir,Left Coast,12.5%,750 ml,Sparkling,3/1/2022,"['Sparkling Blend', ' Sparkling']",2015,Van Duzer Corridor,Willamette Valley,Oregon,US,Blend
$40,91,Ricochet 2019 Pinot Noir (Willamette Valley),https://www.winemag.com/buying-guide/ricochet-2019-pinot-noir-willamette-valley/,Wine Enthusiast,,Ricochet,13%,750 ml,Red,3/1/2022,,2019,Willamette Valley,Willamette Valley,Oregon,US,Pinot Noir
$21,90,Ricochet 2020 Grüner Veltliner (Willamette Valley),https://www.winemag.com/buying-guide/ricochet-2020-gruner-veltliner-willamette-valley/,Wine Enthusiast,,Ricochet,12%,750 ml,White,3/1/2022,,2020,Willamette Valley,Willamette Valley,Oregon,US,Grüner Veltliner
$28,89,Sokol Blosser 2020 Evolution Pinot Noir (Oregon),https://www.winemag.com/buying-guide/sokol-blosser-2020-evolution-pinot-noir-oregon/,Wine Enthusiast,Evolution,Sokol Blosser,13.5%,1.5 L,Red,3/1/2022,,2020,,Oregon Other,Oregon,US,Pinot Noir
$24,87,Ricochet 2020 Red (Oregon),https://www.winemag.com/buying-guide/ricochet-2020-red-oregon/,Wine Enthusiast,,Ricochet,13.5%,750 ml,Red,3/1/2022,,2020,,Oregon Other,Oregon,US,Blend
$250,96,The Eyrie Vineyards 2016 The Eyrie South Block Pinot Noir (Dundee Hills),https://www.winemag.com/buying-guide/the-eyrie-vineyards-2016-the-eyrie-south-block-pinot-noir-dundee-hills/,Wine Enthusiast,The Eyrie South Block,The Eyrie Vineyards,13.8%,750 ml,Red,12/31/2021,,2016,Dundee Hills,Willamette Valley,Oregon,US,Pinot Noir
$45,94,The Eyrie Vineyards 2018 Estate Pinot Noir (Dundee Hills),https://www.winemag.com/buying-guide/the-eyrie-vineyards-2018-estate-pinot-noir-dundee-hills/,Wine Enthusiast,Estate,The Eyrie Vineyards,13%,750 ml,Red,12/31/2021,,2018,Dundee Hills,Willamette Valley,Oregon,US,Pinot Noir
$45,88,Dough 2018 Pinot Noir (Willamette Valley),https://www.winemag.com/buying-guide/dough-2018-pinot-noir-willamette-valley/,Wine Enthusiast,,Dough,14%,750 ml,Red,12/31/2021,,2018,Willamette Valley,Willamette Valley,Oregon,US,Pinot Noir
$22,86,Dough 2020 Pinot Noir (Oregon),https://www.winemag.com/buying-guide/dough-2020-pinot-noir-oregon/,Wine Enthusiast,,Dough,12.8%,750 ml,Red,12/31/2021,,2020,,Oregon Other,Oregon,US,Pinot Noir
$80,94,Argyle 2010 Extended Tirage Brut Sparkling (Willamette Valley),https://www.winemag.com/buying-guide/argyle-2010-extended-tirage-brut-sparkling-willamette-valley/,Wine Enthusiast,Extended Tirage Brut,Argyle,12.5%,750 ml,Sparkling,12/1/2021,"['Sparkling Blend', ' Sparkling']",2010,Willamette Valley,Willamette Valley,Oregon,US,Blend
$30,91,Abacela 2018 Grenache (Umpqua Valley),https://www.winemag.com/buying-guide/abacela-2018-grenache-umpqua-valley/,Wine Enthusiast,,Abacela,14.5%,750 ml,Red,12/1/2021,,2018,Umpqua Valley,Southern Oregon,Oregon,US,Grenache
$32,90,Valcan 2017 El Torero Tempranillo (Rogue Valley),https://www.winemag.com/buying-guide/valcan-2017-el-torero-tempranillo-rogue-valley/,Wine Enthusiast,El Torero,Valcan,14%,750 ml,Red,12/1/2021,,2017,Rogue Valley,Southern Oregon,Oregon,US,Tempranillo
$14,90,Willamette Valley Vineyards 2020 Riesling (Willamette Valley),https://www.winemag.com/buying-guide/willamette-valley-vineyards-2020-riesling-willamette-valley/,Wine Enthusiast,,Willamette Valley Vineyards,8.4%,750 ml,White,12/1/2021,,2020,Willamette Valley,Willamette Valley,Oregon,US,Riesling
$40,89,Faith Hope & Charity 2019 La Crescent (Oregon),https://www.winemag.com/buying-guide/faith-hope-charity-2019-la-crescent-oregon/,Wine Enthusiast,,Faith Hope & Charity,12%,750 ml,White,12/1/2021,,2019,,Oregon Other,Oregon,US,La Crescent
$40,86,Faith Hope & Charity 2018 Frontenac (Oregon),https://www.winemag.com/buying-guide/faith-hope-charity-2018-frontenac-oregon/,Wine Enthusiast,,Faith Hope & Charity,13.5%,750 ml,Red,12/1/2021,,2018,,Oregon Other,Oregon,US,Frontenac
$35,85,Division 2018 Redford-Wetle Vineyard Renardière Gamay Noir (Eola-Amity Hills),https://www.winemag.com/buying-guide/division-2018-redford-wetle-vineyard-renardiere-gamay-noir-eola-amity-hills/,Wine Enthusiast,Redford-Wetle Vineyard Renardière,Division,13.8%,750 ml,Red,12/1/2021,,2018,Eola-Amity Hills,Willamette Valley,Oregon,US, Gamay
$50,92,Audeant 2019 Rosé of Pinot Noir (Willamette Valley),https://www.winemag.com/buying-guide/audeant-2019-rose-of-pinot-noir-willamette-valley/,Wine Enthusiast,Rosé of,Audeant,13.3%,750 ml,Rose,11/1/2021,,2019,Willamette Valley,Willamette Valley,Oregon,US,Pinot Noir
$28,92,Remotion 2018 Celestina Vineyard Barbera (Rogue Valley),https://www.winemag.com/buying-guide/remotion-2018-celestina-vineyard-barbera-rogue-valley/,Wine Enthusiast,Celestina Vineyard,Remotion,14%,750 ml,Red,10/1/2021,,2018,Rogue Valley,Southern Oregon,Oregon,US,Barbera
$60,92,Guarachi Family 2018 Fern Creek Vineyard Pinot Noir (Oregon),https://www.winemag.com/buying-guide/guarachi-family-2018-fern-creek-vineyard-pinot-noir-oregon/,Wine Enthusiast,Fern Creek Vineyard,Guarachi Family,14.5%,750 ml,Red,10/1/2021,,2018,,Oregon Other,Oregon,US,Pinot Noir
$35,91,The Great Oregon Wine Company 2017 Delaney Vineyard Pinot Noir (Willamette Valley),https://www.winemag.com/buying-guide/the-great-oregon-wine-company-2017-delaney-vineyard-pinot-noir-willamette-valley/,Wine Enthusiast,Delaney Vineyard,The Great Oregon Wine Company,13.3%,750 ml,Red,10/1/2021,,2017,Willamette Valley,Willamette Valley,Oregon,US,Pinot Noir
$60,91,The Great Oregon Wine Company 2018 Front Yard Vineyard Pinot Noir (Willamette Valley),https://www.winemag.com/buying-guide/the-great-oregon-wine-company-2018-front-yard-vineyard-pinot-noir-willamette-valley/,Wine Enthusiast,Front Yard Vineyard,The Great Oregon Wine Company,13.5%,750 ml,Red,10/1/2021,,2018,Willamette Valley,Willamette Valley,Oregon,US,Pinot Noir
$28,91,Argyle 2017 Vintage Brut Sparkling (Willamette Valley),https://www.winemag.com/buying-guide/argyle-2017-vintage-brut-sparkling-willamette-valley/,Wine Enthusiast,Vintage Brut,Argyle,12.5%,750 ml,Sparkling,10/1/2021,"['Sparkling Blend', ' Sparkling']",2017,Willamette Valley,Willamette Valley,Oregon,US,Blend
$50,91,Résonance 2018 Hyland Vineyard Chardonnay (McMinnville),https://www.winemag.com/buying-guide/resonance-2018-hyland-vineyard-chardonnay-mcminnville/,Wine Enthusiast,Hyland Vineyard,Résonance,13.5%,750 ml,White,10/1/2021,,2018,McMinnville,Willamette Valley,Oregon,US,Chardonnay
$60,90,The Great Oregon Wine Company 2018 Cattrall Vineyard Pinot Noir (Eola-Amity Hills),https://www.winemag.com/buying-guide/the-great-oregon-wine-company-2018-cattrall-vineyard-pinot-noir-eola-amity-hills/,Wine Enthusiast,Cattrall Vineyard,The Great Oregon Wine Company,13.9%,750 ml,Red,10/1/2021,,2018,Eola-Amity Hills,Willamette Valley,Oregon,US,Pinot Noir
$60,90,The Great Oregon Wine Company 2018 Willow Creek Vineyard Pinot Noir (Willamette Valley),https://www.winemag.com/buying-guide/the-great-oregon-wine-company-2018-willow-creek-vineyard-pinot-noir-willamette-valley/,Wine Enthusiast,Willow Creek Vineyard,The Great Oregon Wine Company,13.3%,750 ml,Red,10/1/2021,,2018,Willamette Valley,Willamette Valley,Oregon,US,Pinot Noir
$22,90,Iris Vineyards 2019 Pinot Noir (Willamette Valley),https://www.winemag.com/buying-guide/iris-vineyards-2019-pinot-noir-willamette-valley/,Wine Enthusiast,,Iris Vineyards,12.5%,750 ml,Red,10/1/2021,,2019,Willamette Valley,Willamette Valley,Oregon,US,Pinot Noir
$21,88,Mignanelli 2019 Pinot Gris (Willamette Valley),https://www.winemag.com/buying-guide/mignanelli-2019-pinot-gris-willamette-valley/,Wine Enthusiast,,Mignanelli,13%,750 ml,White,10/1/2021,,2019,Willamette Valley,Willamette Valley,Oregon,US,Pinot Gris
$19,88,Wine by Joe 2018 Pinot Noir (Oregon),https://www.winemag.com/buying-guide/wine-by-joe-2018-pinot-noir-oregon/,Wine Enthusiast,,Wine by Joe,13.5%,750 ml,Red,10/1/2021,,2018,,Oregon Other,Oregon,US,Pinot Noir
$43,87,Awen 2017 Sangiovese (Rogue Valley),https://www.winemag.com/buying-guide/awen-2017-sangiovese-rogue-valley/,Wine Enthusiast,,Awen,13.6%,750 ml,Red,10/1/2021,,2017,Rogue Valley,Southern Oregon,Oregon,US,Sangiovese
$28,87,RoxyAnn 2017 Tempranillo (Rogue Valley),https://www.winemag.com/buying-guide/roxyann-2017-tempranillo-rogue-valley/,Wine Enthusiast,,RoxyAnn,14%,750 ml,Red,10/1/2021,,2017,Rogue Valley,Southern Oregon,Oregon,US,Tempranillo
$32,86,RoxyAnn 2017 Petite Sirah (Rogue Valley),https://www.winemag.com/buying-guide/roxyann-2017-petite-sirah-rogue-valley/,Wine Enthusiast,,RoxyAnn,13.6%,750 ml,Red,10/1/2021,,2017,Rogue Valley,Southern Oregon,Oregon,US,Petite Sirah
$42,92,Analemma 2018 Grenache (Columbia Gorge (OR)),https://www.winemag.com/buying-guide/analemma-2018-grenache-columbia-gorge-or/,Wine Enthusiast,,Analemma,13.5%,750 ml,Red,9/1/2021,,2018,Columbia Gorge (OR),Oregon Other,Oregon,US,Grenache
$35,92,Spangler 2016 Khayam's Block Dolcetto (Umpqua Valley),https://www.winemag.com/buying-guide/spangler-2016-khayams-block-dolcetto-umpqua-valley/,Wine Enthusiast,Khayam's Block,Spangler,15%,750 ml,Red,9/1/2021, Italian Red,2016,Umpqua Valley,Southern Oregon,Oregon,US,Dolcetto
$35,91,Ken Wright 2019 AVA Pinot Noir (Eola-Amity Hills),https://www.winemag.com/buying-guide/ken-wright-2019-ava-pinot-noir-eola-amity-hills/,Wine Enthusiast,AVA,Ken Wright,13.2%,750 ml,Red,9/1/2021,,2019,Eola-Amity Hills,Willamette Valley,Oregon,US,Pinot Noir
$18,90,Jezebel 2019 Pinot Noir (Oregon),https://www.winemag.com/buying-guide/jezebel-2019-pinot-noir-oregon/,Wine Enthusiast,,Jezebel,13.5%,750 ml,Red,9/1/2021,,2019,,Oregon Other,Oregon,US,Pinot Noir
$14,89,Christopher Michael 2018 Pinot Gris (Oregon),https://www.winemag.com/buying-guide/christopher-michael-2018-pinot-gris-oregon/,Wine Enthusiast,,Christopher Michael,13.5%,750 ml,White,9/1/2021,,2018,,Oregon Other,Oregon,US,Pinot Gris
$18,88,Leah Jørgensen Cellars 2018 Nisse+Hygge Red Table Wine Red (Oregon),https://www.winemag.com/buying-guide/leah-jorgensen-cellars-2018-nissehygge-red-table-wine-red-oregon/,Wine Enthusiast,Nisse+Hygge Red Table Wine,Leah Jørgensen Cellars,13.5%,750 ml,Red,9/1/2021,,2018,,Oregon Other,Oregon,US,Blend
$65,96,Roco 2017 RMS Brut Sparkling (Willamette Valley),https://www.winemag.com/buying-guide/roco-2017-rms-brut-sparkling-willamette-valley/,Wine Enthusiast,RMS Brut,Roco,12.5%,750 ml,Sparkling,7/1/2021,"['Sparkling Blend', ' Sparkling']",2017,Willamette Valley,Willamette Valley,Oregon,US,Blend
$60,95,Hyland 2018 Coury Old Vine Single Clone Pinot Noir (McMinnville),https://www.winemag.com/buying-guide/hyland-2018-coury-old-vine-single-clone-pinot-noir-mcminnville/,Wine Enthusiast,Coury Old Vine Single Clone,Hyland,14.1%,750 ml,Red,7/1/2021,,2018,McMinnville,Willamette Valley,Oregon,US,Pinot Noir
$44,92,Dancin 2018 Sorella 60th Barbera (Rogue Valley),https://www.winemag.com/buying-guide/dancin-2018-sorella-60th-barbera-rogue-valley/,Wine Enthusiast,Sorella 60th,Dancin,15.4%,750 ml,Red,7/1/2021,,2018,Rogue Valley,Southern Oregon,Oregon,US,Barbera
$75,91,Paul O'Brien 2016 Il Rinnegati Red (Southern Oregon),https://www.winemag.com/buying-guide/paul-obrien-2016-il-rinnegati-red-southern-oregon/,Wine Enthusiast,Il Rinnegati,Paul O'Brien,14.5%,750 ml,Red,7/1/2021,,2016,,Southern Oregon,Oregon,US,Blend
$60,91,Handpicked 2018 La Colina Vineyard Pinot Noir (Willamette Valley),https://www.winemag.com/buying-guide/handpicked-2018-la-colina-vineyard-pinot-noir-willamette-valley/,Wine Enthusiast,La Colina Vineyard,Handpicked,12.9%,750 ml,Red,7/1/2021,,2018,Willamette Valley,Willamette Valley,Oregon,US,Pinot Noir
$32,90,Paul O'Brien 2018 G-S-M (Southern Oregon),https://www.winemag.com/buying-guide/paul-obrien-2018-g-s-m-southern-oregon/,Wine Enthusiast,,Paul O'Brien,14.2%,750 ml,Red,7/1/2021,,2018,,Southern Oregon,Oregon,US,Blend
$18,88,Josh Cellars 2019 Oregon Reserve Pinot Noir (Oregon),https://www.winemag.com/buying-guide/josh-cellars-2019-oregon-reserve-pinot-noir-oregon/,Wine Enthusiast,Oregon Reserve,Josh Cellars,13%,750 ml,Red,7/1/2021,,2019,,Oregon Other,Oregon,US,Pinot Noir
$36,88,Delfino 2018 Tempranillo (Umpqua Valley),https://www.winemag.com/buying-guide/delfino-2018-tempranillo-umpqua-valley/,Wine Enthusiast,,Delfino,12.3%,750 ml,Red,7/1/2021,,2018,Umpqua Valley,Southern Oregon,Oregon,US,Tempranillo
$24,88,J. Scott Cellars 2019 Chenin Blanc (Rogue Valley),https://www.winemag.com/buying-guide/j-scott-cellars-2019-chenin-blanc-rogue-valley/,Wine Enthusiast,,J. Scott Cellars,14.4%,750 ml,White,7/1/2021,,2019,Rogue Valley,Southern Oregon,Oregon,US,Chenin Blanc
$38,85,Delfino 2018 Zinfandel (Umpqua Valley),https://www.winemag.com/buying-guide/delfino-2018-zinfandel-umpqua-valley/,Wine Enthusiast,,Delfino,13.7%,750 ml,Red,7/1/2021,,2018,Umpqua Valley,Southern Oregon,Oregon,US,Zinfandel
$65,96,Dion 2018 Old Vines Pinot Noir (Chehalem Mountains),https://www.winemag.com/buying-guide/dion-2018-old-vines-pinot-noir-chehalem-mountains/,Wine Enthusiast,Old Vines,Dion,13.8%,750 ml,Red,4/1/2021,,2018,Chehalem Mountains,Willamette Valley,Oregon,US,Pinot Noir
$40,95,Day 2018 Belle Pente Vineyard Chardonnay (Yamhill-Carlton),https://www.winemag.com/buying-guide/day-2018-belle-pente-vineyard-chardonnay-yamhill-carlton/,Wine Enthusiast,Belle Pente Vineyard,Day,13.4%,750 ml,White,4/1/2021,,2018,Yamhill-Carlton,Willamette Valley,Oregon,US,Chardonnay
$21,93,The Eyrie Vineyards 2018 Pinot Gris (Dundee Hills),https://www.winemag.com/buying-guide/the-eyrie-vineyards-2018-pinot-gris-dundee-hills/,Wine Enthusiast,,The Eyrie Vineyards,13.9%,750 ml,White,4/1/2021,,2018,Dundee Hills,Willamette Valley,Oregon,US,Pinot Gris
$28,92,Rex Hill 2019 Pinot Noir Rosé (Willamette Valley),https://www.winemag.com/buying-guide/rex-hill-2019-pinot-noir-rose-willamette-valley/,Wine Enthusiast,,Rex Hill,13.5%,750 ml,Rose,4/1/2021,,2019,Willamette Valley,Willamette Valley,Oregon,US,Pinot Noir
$65,92,Abbott Claim 2018 Chardonnay (Willamette Valley),https://www.winemag.com/buying-guide/abbott-claim-2018-chardonnay-willamette-valley/,Wine Enthusiast,,Abbott Claim,13.3%,750 ml,White,4/1/2021,,2018,Willamette Valley,Willamette Valley,Oregon,US,Chardonnay
$44,90,The Great Oregon Wine Company 2016 Coles Valley Vineyard Blanc de Noir Sparkling (Umpqua Valley),https://www.winemag.com/buying-guide/the-great-oregon-wine-company-2016-coles-valley-vineyard-blanc-de-noir-sparkling-umpqua-valley/,Wine Enthusiast,Coles Valley Vineyard Blanc de Noir,The Great Oregon Wine Company,14.2%,750 ml,Sparkling,4/1/2021,"['Sparkling Blend', ' Sparkling']",2016,Umpqua Valley,Southern Oregon,Oregon,US,Blend
$30,88,The Great Oregon Wine Company 2018 Pinot Noir (Willamette Valley),https://www.winemag.com/buying-guide/the-great-oregon-wine-company-2018-pinot-noir-willamette-valley/,Wine Enthusiast,,The Great Oregon Wine Company,13.6%,750 ml,Red,4/1/2021,,2018,Willamette Valley,Willamette Valley,Oregon,US,Pinot Noir
$45,88,The Eyrie Vineyards 2016 Melon de Bourgogne (Dundee Hills),https://www.winemag.com/buying-guide/the-eyrie-vineyards-2016-melon-de-bourgogne-dundee-hills/,Wine Enthusiast,,The Eyrie Vineyards,12%,750 ml,White,4/1/2021,,2016,Dundee Hills,Willamette Valley,Oregon,US,Melon de Bourgogne
$20,88,Acrobat 2018 Pinot Noir (Oregon),https://www.winemag.com/buying-guide/acrobat-2018-pinot-noir-oregon/,Wine Enthusiast,,Acrobat,13.5%,750 ml,Red,4/1/2021,,2018,,Oregon Other,Oregon,US,Pinot Noir
$30,87,The Great Oregon Wine Company 2018 Coles Valley Vineyard Pinot Noir (Umpqua Valley),https://www.winemag.com/buying-guide/the-great-oregon-wine-company-2018-coles-valley-vineyard-pinot-noir-umpqua-valley/,Wine Enthusiast,Coles Valley Vineyard,The Great Oregon Wine Company,14.2%,750 ml,Red,4/1/2021,,2018,Umpqua Valley,Southern Oregon,Oregon,US,Pinot Noir
