,price,rating,bottle_name,region,review_link,source,Price,Designation,Variety,Appellation,Winery,Alcohol,Bottle Size,Category,Date Published,User Avg Rating,Importer
26,$28,92,David Paige 2020 RPG Vineyard Pinot Blanc (Eola-Amity Hills),Willamette Valley,https://www.winemag.com/buying-guide/david-paige-2020-rpg-vineyard-pinot-blanc-eola-amity-hills/,Wine Enthusiast,"['$28', 'Buy Now']",['RPG Vineyard'],['Pinot Blanc'],"['Eola-Amity Hills', ' Willamette Valley', ' Oregon', ' US']",['David Paige'],['12.8%'],['750 ml'],['White'],['3/1/2022'],['Not rated yet [Add Your Review]'],
27,$40,92,King Estate 2017 Brut Cuvée Méthode Champenoise Sparkling (Willamette Valley),Willamette Valley,https://www.winemag.com/buying-guide/king-estate-2017-brut-cuvee-methode-champenoise-sparkling-willamette-valley/,Wine Enthusiast,"['$40', 'Buy Now']",['Brut Cuvée Méthode Champenoise'],"['Sparkling Blend', ' Sparkling']","['Willamette Valley', ' Willamette Valley', ' Oregon', ' US']",['King Estate'],['12.6%'],['750 ml'],['Sparkling'],['3/1/2022'],['Not rated yet [Add Your Review]'],
28,$50,92,King Estate 2018 Crater View Vineyard & Seven Hills Vineyard Grenache-Syrah-Mourvèdre Red (Oregon),Oregon Other,https://www.winemag.com/buying-guide/king-estate-2018-crater-view-vineyard-seven-hills-vineyard-grenache-syrah-mourvedre-red-oregon/,Wine Enthusiast,"['$50', 'Buy Now']",['Crater View Vineyard & Seven Hills Vineyard Grenache-Syrah-Mourvèdre'],['Rhône-style Red Blend'],"['Oregon', ' Oregon Other', ' Oregon', ' US']",['King Estate'],['14.7%'],['750 ml'],['Red'],['3/1/2022'],['Not rated yet [Add Your Review]'],
29,$35,92,Averaen 2019 Flood Line Pinot Noir (Eola-Amity Hills),Willamette Valley,https://www.winemag.com/buying-guide/averaen-2019-flood-line-pinot-noir-eola-amity-hills/,Wine Enthusiast,"['$35', 'Buy Now']",['Flood Line'],['Pinot Noir'],"['Eola-Amity Hills', ' Willamette Valley', ' Oregon', ' US']",['Averaen'],['13.7%'],['750 ml'],['Red'],['3/1/2022'],['Not rated yet [Add Your Review]'],
30,$55,92,Left Coast 2015 Estate Blanc de Noir Sparkling (Van Duzer Corridor),Willamette Valley,https://www.winemag.com/buying-guide/left-coast-2015-estate-blanc-de-noir-sparkling-van-duzer-corridor/,Wine Enthusiast,"['$55', 'Buy Now']",['Estate Blanc de Noir'],"['Sparkling Blend', ' Sparkling']","['Van Duzer Corridor', ' Willamette Valley', ' Oregon', ' US']",['Left Coast'],['12.5%'],['750 ml'],['Sparkling'],['3/1/2022'],['Not rated yet [Add Your Review]'],
31,$40,91,Ricochet 2019 Pinot Noir (Willamette Valley),Willamette Valley,https://www.winemag.com/buying-guide/ricochet-2019-pinot-noir-willamette-valley/,Wine Enthusiast,"['$40', 'Buy Now']",,['Pinot Noir'],"['Willamette Valley', ' Willamette Valley', ' Oregon', ' US']",['Ricochet'],['13%'],['750 ml'],['Red'],['3/1/2022'],['Not rated yet [Add Your Review]'],
32,$21,90,Ricochet 2020 Grüner Veltliner (Willamette Valley),Willamette Valley,https://www.winemag.com/buying-guide/ricochet-2020-gruner-veltliner-willamette-valley/,Wine Enthusiast,"['$21', 'Buy Now']",,['Grüner Veltliner'],"['Willamette Valley', ' Willamette Valley', ' Oregon', ' US']",['Ricochet'],['12%'],['750 ml'],['White'],['3/1/2022'],['Not rated yet [Add Your Review]'],
33,$28,89,Sokol Blosser 2020 Evolution Pinot Noir (Oregon),Oregon Other,https://www.winemag.com/buying-guide/sokol-blosser-2020-evolution-pinot-noir-oregon/,Wine Enthusiast,"['$28', 'Buy Now']",['Evolution'],['Pinot Noir'],"['Oregon', ' Oregon Other', ' Oregon', ' US']",['Sokol Blosser'],['13.5%'],['1.5 L'],['Red'],['3/1/2022'],['Not rated yet [Add Your Review]'],
34,$24,87,Ricochet 2020 Red (Oregon),Oregon Other,https://www.winemag.com/buying-guide/ricochet-2020-red-oregon/,Wine Enthusiast,"['$24', 'Buy Now']",,"['Red Blends', ' Red Blends']","['Oregon', ' Oregon Other', ' Oregon', ' US']",['Ricochet'],['13.5%'],['750 ml'],['Red'],['3/1/2022'],['Not rated yet [Add Your Review]'],
35,$250,96,The Eyrie Vineyards 2016 The Eyrie South Block Pinot Noir (Dundee Hills),Willamette Valley,https://www.winemag.com/buying-guide/the-eyrie-vineyards-2016-the-eyrie-south-block-pinot-noir-dundee-hills/,Wine Enthusiast,"['$250', 'Buy Now']",['The Eyrie South Block'],['Pinot Noir'],"['Dundee Hills', ' Willamette Valley', ' Oregon', ' US']",['The Eyrie Vineyards'],['13.8%'],['750 ml'],['Red'],['12/31/2021'],['Not rated yet [Add Your Review]'],
36,$45,94,The Eyrie Vineyards 2018 Estate Pinot Noir (Dundee Hills),Willamette Valley,https://www.winemag.com/buying-guide/the-eyrie-vineyards-2018-estate-pinot-noir-dundee-hills/,Wine Enthusiast,"['$45', 'Buy Now']",['Estate'],['Pinot Noir'],"['Dundee Hills', ' Willamette Valley', ' Oregon', ' US']",['The Eyrie Vineyards'],['13%'],['750 ml'],['Red'],['12/31/2021'],['Not rated yet [Add Your Review]'],
37,$45,88,Dough 2018 Pinot Noir (Willamette Valley),Willamette Valley,https://www.winemag.com/buying-guide/dough-2018-pinot-noir-willamette-valley/,Wine Enthusiast,"['$45', 'Buy Now']",,['Pinot Noir'],"['Willamette Valley', ' Willamette Valley', ' Oregon', ' US']",['Dough'],['14%'],['750 ml'],['Red'],['12/31/2021'],['Not rated yet [Add Your Review]'],
38,$22,86,Dough 2020 Pinot Noir (Oregon),Oregon Other,https://www.winemag.com/buying-guide/dough-2020-pinot-noir-oregon/,Wine Enthusiast,"['$22', 'Buy Now']",,['Pinot Noir'],"['Oregon', ' Oregon Other', ' Oregon', ' US']",['Dough'],['12.8%'],['750 ml'],['Red'],['12/31/2021'],['Not rated yet [Add Your Review]'],
39,$80,94,Argyle 2010 Extended Tirage Brut Sparkling (Willamette Valley),Willamette Valley,https://www.winemag.com/buying-guide/argyle-2010-extended-tirage-brut-sparkling-willamette-valley/,Wine Enthusiast,"['$80', 'Buy Now']",['Extended Tirage Brut'],"['Sparkling Blend', ' Sparkling']","['Willamette Valley', ' Willamette Valley', ' Oregon', ' US']",['Argyle'],['12.5%'],['750 ml'],['Sparkling'],['12/1/2021'],['Not rated yet [Add Your Review]'],
40,$30,91,Abacela 2018 Grenache (Umpqua Valley),Southern Oregon,https://www.winemag.com/buying-guide/abacela-2018-grenache-umpqua-valley/,Wine Enthusiast,"['$30', 'Buy Now']",,['Grenache'],"['Umpqua Valley', ' Southern Oregon', ' Oregon', ' US']",['Abacela'],['14.5%'],['750 ml'],['Red'],['12/1/2021'],['Not rated yet [Add Your Review]'],
41,$32,90,Valcan 2017 El Torero Tempranillo (Rogue Valley),Southern Oregon,https://www.winemag.com/buying-guide/valcan-2017-el-torero-tempranillo-rogue-valley/,Wine Enthusiast,"['$32', 'Buy Now']",['El Torero'],['Tempranillo'],"['Rogue Valley', ' Southern Oregon', ' Oregon', ' US']",['Valcan'],['14%'],['750 ml'],['Red'],['12/1/2021'],['Not rated yet [Add Your Review]'],
42,$14,90,Willamette Valley Vineyards 2020 Riesling (Willamette Valley),Willamette Valley,https://www.winemag.com/buying-guide/willamette-valley-vineyards-2020-riesling-willamette-valley/,Wine Enthusiast,"['$14', 'Buy Now']",,['Riesling'],"['Willamette Valley', ' Willamette Valley', ' Oregon', ' US']",['Willamette Valley Vineyards'],['8.4%'],['750 ml'],['White'],['12/1/2021'],['Not rated yet [Add Your Review]'],
43,$40,89,Faith Hope & Charity 2019 La Crescent (Oregon),Oregon Other,https://www.winemag.com/buying-guide/faith-hope-charity-2019-la-crescent-oregon/,Wine Enthusiast,"['$40', 'Buy Now']",,"['La Crescent', ' Other White']","['Oregon', ' Oregon Other', ' Oregon', ' US']",['Faith Hope & Charity'],['12%'],['750 ml'],['White'],['12/1/2021'],['Not rated yet [Add Your Review]'],
44,$40,86,Faith Hope & Charity 2018 Frontenac (Oregon),Oregon Other,https://www.winemag.com/buying-guide/faith-hope-charity-2018-frontenac-oregon/,Wine Enthusiast,"['$40', 'Buy Now']",,"['Frontenac', ' Other Red']","['Oregon', ' Oregon Other', ' Oregon', ' US']",['Faith Hope & Charity'],['13.5%'],['750 ml'],['Red'],['12/1/2021'],['Not rated yet [Add Your Review]'],
45,$35,85,Division 2018 Redford-Wetle Vineyard Renardière Gamay Noir (Eola-Amity Hills),Willamette Valley,https://www.winemag.com/buying-guide/division-2018-redford-wetle-vineyard-renardiere-gamay-noir-eola-amity-hills/,Wine Enthusiast,"['$35', 'Buy Now']",['Redford-Wetle Vineyard Renardière'],"['Gamay Noir', ' Gamay']","['Eola-Amity Hills', ' Willamette Valley', ' Oregon', ' US']",['Division'],['13.8%'],['750 ml'],['Red'],['12/1/2021'],['Not rated yet [Add Your Review]'],
46,$50,92,Audeant 2019 Rosé of Pinot Noir (Willamette Valley),Willamette Valley,https://www.winemag.com/buying-guide/audeant-2019-rose-of-pinot-noir-willamette-valley/,Wine Enthusiast,"['$50', 'Buy Now']",['Rosé of'],['Pinot Noir'],"['Willamette Valley', ' Willamette Valley', ' Oregon', ' US']",['Audeant'],['13.3%'],['750 ml'],['Rose'],['11/1/2021'],['Not rated yet [Add Your Review]'],
47,$28,92,Remotion 2018 Celestina Vineyard Barbera (Rogue Valley),Southern Oregon,https://www.winemag.com/buying-guide/remotion-2018-celestina-vineyard-barbera-rogue-valley/,Wine Enthusiast,"['$28', 'Buy Now']",['Celestina Vineyard'],['Barbera'],"['Rogue Valley', ' Southern Oregon', ' Oregon', ' US']",['Remotion'],['14%'],['750 ml'],['Red'],['10/1/2021'],['Not rated yet [Add Your Review]'],
48,$60,92,Guarachi Family 2018 Fern Creek Vineyard Pinot Noir (Oregon),Oregon Other,https://www.winemag.com/buying-guide/guarachi-family-2018-fern-creek-vineyard-pinot-noir-oregon/,Wine Enthusiast,"['$60', 'Buy Now']",['Fern Creek Vineyard'],['Pinot Noir'],"['Oregon', ' Oregon Other', ' Oregon', ' US']",['Guarachi Family'],['14.5%'],['750 ml'],['Red'],['10/1/2021'],['Not rated yet [Add Your Review]'],
49,$35,91,The Great Oregon Wine Company 2017 Delaney Vineyard Pinot Noir (Willamette Valley),Willamette Valley,https://www.winemag.com/buying-guide/the-great-oregon-wine-company-2017-delaney-vineyard-pinot-noir-willamette-valley/,Wine Enthusiast,"['$35', 'Buy Now']",['Delaney Vineyard'],['Pinot Noir'],"['Willamette Valley', ' Willamette Valley', ' Oregon', ' US']",['The Great Oregon Wine Company'],['13.3%'],['750 ml'],['Red'],['10/1/2021'],['Not rated yet [Add Your Review]'],
50,$60,91,The Great Oregon Wine Company 2018 Front Yard Vineyard Pinot Noir (Willamette Valley),Willamette Valley,https://www.winemag.com/buying-guide/the-great-oregon-wine-company-2018-front-yard-vineyard-pinot-noir-willamette-valley/,Wine Enthusiast,"['$60', 'Buy Now']",['Front Yard Vineyard'],['Pinot Noir'],"['Willamette Valley', ' Willamette Valley', ' Oregon', ' US']",['The Great Oregon Wine Company'],['13.5%'],['750 ml'],['Red'],['10/1/2021'],['Not rated yet [Add Your Review]'],
51,$28,91,Argyle 2017 Vintage Brut Sparkling (Willamette Valley),Willamette Valley,https://www.winemag.com/buying-guide/argyle-2017-vintage-brut-sparkling-willamette-valley/,Wine Enthusiast,"['$28', ""VivinoGary's Wine""]",['Vintage Brut'],"['Sparkling Blend', ' Sparkling']","['Willamette Valley', ' Willamette Valley', ' Oregon', ' US']",['Argyle'],['12.5%'],['750 ml'],['Sparkling'],['10/1/2021'],['Not rated yet [Add Your Review]'],
52,$50,91,Résonance 2018 Hyland Vineyard Chardonnay (McMinnville),Willamette Valley,https://www.winemag.com/buying-guide/resonance-2018-hyland-vineyard-chardonnay-mcminnville/,Wine Enthusiast,"['$50', 'Buy Now']",['Hyland Vineyard'],['Chardonnay'],"['McMinnville', ' Willamette Valley', ' Oregon', ' US']",['Résonance'],['13.5%'],['750 ml'],['White'],['10/1/2021'],['Not rated yet [Add Your Review]'],
53,$60,90,The Great Oregon Wine Company 2018 Cattrall Vineyard Pinot Noir (Eola-Amity Hills),Willamette Valley,https://www.winemag.com/buying-guide/the-great-oregon-wine-company-2018-cattrall-vineyard-pinot-noir-eola-amity-hills/,Wine Enthusiast,"['$60', 'Buy Now']",['Cattrall Vineyard'],['Pinot Noir'],"['Eola-Amity Hills', ' Willamette Valley', ' Oregon', ' US']",['The Great Oregon Wine Company'],['13.9%'],['750 ml'],['Red'],['10/1/2021'],['Not rated yet [Add Your Review]'],
54,$60,90,The Great Oregon Wine Company 2018 Willow Creek Vineyard Pinot Noir (Willamette Valley),Willamette Valley,https://www.winemag.com/buying-guide/the-great-oregon-wine-company-2018-willow-creek-vineyard-pinot-noir-willamette-valley/,Wine Enthusiast,"['$60', 'Buy Now']",['Willow Creek Vineyard'],['Pinot Noir'],"['Willamette Valley', ' Willamette Valley', ' Oregon', ' US']",['The Great Oregon Wine Company'],['13.3%'],['750 ml'],['Red'],['10/1/2021'],['Not rated yet [Add Your Review]'],
55,$22,90,Iris Vineyards 2019 Pinot Noir (Willamette Valley),Willamette Valley,https://www.winemag.com/buying-guide/iris-vineyards-2019-pinot-noir-willamette-valley/,Wine Enthusiast,"['$22', 'Buy Now']",,['Pinot Noir'],"['Willamette Valley', ' Willamette Valley', ' Oregon', ' US']",['Iris Vineyards'],['12.5%'],['750 ml'],['Red'],['10/1/2021'],['Not rated yet [Add Your Review]'],
56,$21,88,Mignanelli 2019 Pinot Gris (Willamette Valley),Willamette Valley,https://www.winemag.com/buying-guide/mignanelli-2019-pinot-gris-willamette-valley/,Wine Enthusiast,"['$21', 'Buy Now']",,['Pinot Gris'],"['Willamette Valley', ' Willamette Valley', ' Oregon', ' US']",['Mignanelli'],['13%'],['750 ml'],['White'],['10/1/2021'],['Not rated yet [Add Your Review]'],
57,$19,88,Wine by Joe 2018 Pinot Noir (Oregon),Oregon Other,https://www.winemag.com/buying-guide/wine-by-joe-2018-pinot-noir-oregon/,Wine Enthusiast,"['$19', 'Buy Now']",,['Pinot Noir'],"['Oregon', ' Oregon Other', ' Oregon', ' US']",['Wine by Joe'],['13.5%'],['750 ml'],['Red'],['10/1/2021'],['Not rated yet [Add Your Review]'],
58,$43,87,Awen 2017 Sangiovese (Rogue Valley),Southern Oregon,https://www.winemag.com/buying-guide/awen-2017-sangiovese-rogue-valley/,Wine Enthusiast,"['$43', 'Buy Now']",,['Sangiovese'],"['Rogue Valley', ' Southern Oregon', ' Oregon', ' US']",['Awen'],['13.6%'],['750 ml'],['Red'],['10/1/2021'],['Not rated yet [Add Your Review]'],
59,$28,87,RoxyAnn 2017 Tempranillo (Rogue Valley),Southern Oregon,https://www.winemag.com/buying-guide/roxyann-2017-tempranillo-rogue-valley/,Wine Enthusiast,"['$28', 'Buy Now']",,['Tempranillo'],"['Rogue Valley', ' Southern Oregon', ' Oregon', ' US']",['RoxyAnn'],['14%'],['750 ml'],['Red'],['10/1/2021'],['Not rated yet [Add Your Review]'],
60,$32,86,RoxyAnn 2017 Petite Sirah (Rogue Valley),Southern Oregon,https://www.winemag.com/buying-guide/roxyann-2017-petite-sirah-rogue-valley/,Wine Enthusiast,"['$32', 'Buy Now']",,['Petite Sirah'],"['Rogue Valley', ' Southern Oregon', ' Oregon', ' US']",['RoxyAnn'],['13.6%'],['750 ml'],['Red'],['10/1/2021'],['Not rated yet [Add Your Review]'],
61,$42,92,Analemma 2018 Grenache (Columbia Gorge (OR)),Oregon Other,https://www.winemag.com/buying-guide/analemma-2018-grenache-columbia-gorge-or/,Wine Enthusiast,"['$42', 'Buy Now']",,['Grenache'],"['Columbia Gorge (OR)', ' Oregon Other', ' Oregon', ' US']",['Analemma'],['13.5%'],['750 ml'],['Red'],['9/1/2021'],['Not rated yet [Add Your Review]'],
