author_name,author_url,language,original_language,profile_photo_url,rating,relative_time_description,text,time,translated,place_id
Noah Hesse,https://www.google.com/maps/contrib/104077526208564208917/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu_mYnJRwCcMB9mLGnlpcuUGZm9nWT7UUF0SyUAMNA=s128-c0x00000000-cc-rp-mo-ba3,5,a year ago,"This is a vibrant fun and quirky wine shop, that can appease any audience. If you are a newbie or a refined wine drinker, Jeff will get you something you will be blown away by! I fell in love with the space, owner, but most of all the fun wine flights based on tv shows and movies.",1633562706,False,ChIJgZgbVLiglVQRHJTdmzM47u8
Charles Mulhall,https://www.google.com/maps/contrib/113774052819740517479/reviews,en,en,https://lh3.googleusercontent.com/a/ALm5wu3YaiDe9tS7BV8JlNTqY32yKisyApe9Fbop_AX1=s128-c0x00000000-cc-rp-mo-ba3,5,a year ago,Sarah is the best!! Join her for a private tasting! You will learn a lot!!,1634434268,False,ChIJc-Akvi8LlVQRXoF7-VCQJGs
Marlene Bishop,https://www.google.com/maps/contrib/107498481046327752319/reviews,,,https://lh3.googleusercontent.com/a-/ACNPEu8Ph9vm0evjdkzSI3Xmllz5NV0HVGnK5bp2Jf5Lbw=s128-c0x00000000-cc-rp-mo-ba3,3,a year ago,,1633419912,False,ChIJlTazwd1IlVQRwTyolVvBOBw
Flaco Gutierrez,https://www.google.com/maps/contrib/101983115128821070419/reviews,,,https://lh3.googleusercontent.com/a/ALm5wu2gPOUA7eKH-uRSbTMTWVkL51p6Ik2uLP0LzYoV=s128-c0x00000000-cc-rp-mo,5,2 years ago,,1599074247,False,ChIJhb0xFssWolQRaVb4OItxb7c
Tom Gillung,https://www.google.com/maps/contrib/100764074830444369932/reviews,,,https://lh3.googleusercontent.com/a-/ACNPEu-bb5SSOy4n2QLKLgvU6jHId3u1eEXxsscpxY2CQw=s128-c0x00000000-cc-rp-mo-ba3,5,2 years ago,,1604530305,False,ChIJnbCb3ZFNlVQRomv7dT8L7dY
Pamela Gutekunst,https://www.google.com/maps/contrib/118298170990486673462/reviews,en,en,https://lh3.googleusercontent.com/a/ALm5wu358WV-GU0OQTfvhn8aylB-vgwM9drUx5Uwxmnq=s128-c0x00000000-cc-rp-mo-ba3,3,4 years ago,Wine tasting and conserve during the summer. Kind of grumpy.,1519827035,False,ChIJrSvRjVVexVQRiTJ5LDu-vDI
Jeff Vassau,https://www.google.com/maps/contrib/113729840574192743544/reviews,en,en,https://lh3.googleusercontent.com/a/ALm5wu2HBfEAhHLfjmaVUCVZvFkV2qRwZ-6-rAIxD5Zt=s128-c0x00000000-cc-rp-mo-ba3,5,5 years ago,"Beautiful, peaceful place to stay! The owners are wonderful; I highly recommend staying here if you ever want to go to Oregon wine country.",1506960276,False,ChIJ08Rvf9tJlVQRxurM-mtG6OU
mark marble,https://www.google.com/maps/contrib/104118542440570825604/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu-ZbC5HoilOFVlsVD8BBBX1dfvBZQIkSVZ36uMXzc0=s128-c0x00000000-cc-rp-mo-ba4,5,a year ago,Some of the best reds you will find in Oregon.,1616801239,False,ChIJGwkzz5lPlVQRrC17L0dfWfE
Dianna,https://www.google.com/maps/contrib/108944329379975989112/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu9nGRzPSLbbJX3DeDqsV6gqCwk5cqgDgsEOldUMlw=s128-c0x00000000-cc-rp-mo-ba6,4,4 years ago,"Nice casual atmosphere. They have games and some couches in the back.
Smooth simple wines. Tried first 3 on the tasting menu
The orgasmic one is nice as well, though list price of $90 is pretty pricey.",1515891173,False,ChIJF_IGu91IlVQRgFz2q2IedmA
Ryan Maia,https://www.google.com/maps/contrib/106313424485198676259/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu9G4taRpQLWPCbroehX351TAM48koivH1y10eupmkw=s128-c0x00000000-cc-rp-mo-ba3,5,2 years ago,"This place deserves a six star review. It flawlessly integrates incredible craft beer (on tap!!), a genuinely welcoming atmosphere, incredible prices, and a sense of humility. And that's just if you're looking to have a beverage onsite. They have a huge collection of bottles and cans from all around the world for you to bring home and try. Unassuming yet extensive, this beer library is one of the best watering holes I've stumbled upon in all my global travels.",1575340752,False,ChIJd1TCWDscVIgRgnyQQZSFUKE
Carly Montgomery,https://www.google.com/maps/contrib/106122769536965187926/reviews,en,en,https://lh3.googleusercontent.com/a/ALm5wu07fEchDhiQvCojWcq9jxbuEMlrJyvJ9lB4apac=s128-c0x00000000-cc-rp-mo,5,5 months ago,Okay yall. Visit this place. Ask for a man named Cam. Ask no further questions. Taste the beauty. Look at the flick of the wrist. Enjoy the wines.,1653715459,False,ChIJA2FQfmxBlVQRmuceABxatAw
Moma D,https://www.google.com/maps/contrib/100036882664302392562/reviews,en,en,https://lh3.googleusercontent.com/a/ALm5wu1vxySLXM9ZX7jJg3BfoTkDsbLpu-tzYxRXG97M=s128-c0x00000000-cc-rp-mo,5,8 months ago,"If your out east in the Dalles,Or. you need to make the stop.  Wines are amazing and Colter is great ! The local patrons were also great people! Great vibe!   Excited to have a new wine to add to our library .. both personal and business.!",1645315124,False,ChIJMflGyHYellQRpfPjpSOApmk
Sarah Burns,https://www.google.com/maps/contrib/102383103060147804320/reviews,en,en,https://lh3.googleusercontent.com/a/ALm5wu2j1UBtbwYEbd6btcjucUA5Mn2NLxAmD8i3Jwck=s128-c0x00000000-cc-rp-mo,5,8 months ago,"Great wines, lovely layout and vibes, a wonderful place to spend an afternoon. The head wine guy, Chris, was very knowledgeable and professional.",1646520156,False,ChIJmeb78RIRllQRqJ7O_XVMOYc
Gaven Rulo,https://www.google.com/maps/contrib/102926903087736084578/reviews,,,https://lh3.googleusercontent.com/a-/ACNPEu8nkwJo0jsATh_wxuUBunZaOMtHu9T99H63Sx-aFw=s128-c0x00000000-cc-rp-mo,5,6 years ago,,1463151405,False,ChIJMbZClyZColQRoCmy4vsZnkY
Lori Affolter,https://www.google.com/maps/contrib/106074660436905195153/reviews,,,https://lh3.googleusercontent.com/a-/ACNPEu-yqwMQLnOqGoSJr2XQR5hIFuvF8lFRTHATRRXv4CA=s128-c0x00000000-cc-rp-mo-ba3,5,2 years ago,,1603688452,False,ChIJNfLJ0tNBlVQRaXMqrVHipf8
Scott Seymour,https://www.google.com/maps/contrib/105627702220514579825/reviews,en,en,https://lh3.googleusercontent.com/a/ALm5wu1J-w7sAmpG2Gl3sELTgLjJrV_vcLeJNYcwk8Jl=s128-c0x00000000-cc-rp-mo-ba4,5,2 years ago,"Cute little winery right off of I5. Beautiful old barn tasting room. Went on Friday night and had a blast! Great food, awesome live music from 6-9 and also played some Wine-O (bingo) between set breaks for the band. Had a great time out and will definitely be back!",1578847092,False,ChIJRT13WfUvwVQRJ4Sfbq24iQs
Yoko Murray,https://www.google.com/maps/contrib/107121525147227433783/reviews,en,en,https://lh3.googleusercontent.com/a/ALm5wu2kJSWw4-T1kwD0zw3sznWQTvkvfyhG8POcyKfI=s128-c0x00000000-cc-rp-mo,5,5 months ago,"We had a great time at the vineyards. The owners Mr and Mrs Fitzpatrick, were very friendly and took their time explaining how everything works. The dog, Amber, was super friendly. BEST WINE EVER.!!",1652647319,False,ChIJtZ1VYr0BwVQRlCSl7t89XiQ
Timothy Smith,https://www.google.com/maps/contrib/101852444213267376293/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu-CiONJ87GrM4laOODJxv6YwAfFH3l7BeuYei8Y0A=s128-c0x00000000-cc-rp-mo-ba4,5,5 years ago,Excellent Tasting Room!! A must stop on your Walla Walla wine tour.  Every Vital purchase helps the industry.,1493504406,False,ChIJX3N-is1DolQR3QBhGXhXRfA
What to do in Southern Oregon,https://www.google.com/maps/contrib/107462067074954507837/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu9u1CWtaJaL8nfKNPYdvvP9RAOC7HCVPCFBteLYZw=s128-c0x00000000-cc-rp-mo-ba7,5,a year ago,We happened to stop in for some wine tasting the same day as their wine club pick up and were able to partake in a fun pairing.  Six wines paired with small bites they prepacked lunch bag style!  Staff was friendly and they have a beautiful outdoor patio with gorgeous views! We will definitely visit again!,1613961819,False,ChIJb2D4NdIZxFQRQYY35CayE9I
Alan,https://www.google.com/maps/contrib/116727178540042421704/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu_8iAZSWIRD-chv554KTAW0aLqBW2zHsz3I5SJBYQ=s128-c0x00000000-cc-rp-mo-ba4,5,2 years ago,Had heard good things about the wine. Ordered some Pinot and Syrah. Very good quality!. Highly recommend.,1585702831,False,ChIJUa7JFuU8lVQREp7TUm_IIME
Jackson Bain,https://www.google.com/maps/contrib/102009535047024239905/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu__oM95mGxbIj4nlHj9pyADaR1YoiePqqlhQN7Zdk8=s128-c0x00000000-cc-rp-mo-ba3,5,a month ago,Easily my favorite winery in the valley. The 2017 Pinot is just absolutely amazing. The 2021 is so delicious.. you can’t go wrong here. Wonderful folk .,1664501936,False,ChIJRfynz7YGlVQRmNnm25Qmdao
Todd Sempel,https://www.google.com/maps/contrib/102684298963261276592/reviews,en,en,https://lh3.googleusercontent.com/a/ALm5wu1Q4SfyRYhVdqE2lh1_4zHxbLQFsnPow9NjOH0o=s128-c0x00000000-cc-rp-mo,5,4 months ago,"Amazing red wines! Pinot, Merlot, Syrah and the Tempranillo are awesome. By far best Pinot Noir producer on the West coast.",1655324217,False,ChIJL-XgA62v6lQRLyLejKbgWxw
Barbara Johnson,https://www.google.com/maps/contrib/107141635638348916888/reviews,en,en,https://lh3.googleusercontent.com/a/ALm5wu0sR8thpzHAwj1kaeFxYR3uhdxCYfcfuqmT6Th4=s128-c0x00000000-cc-rp-mo,2,4 years ago,"While my Daughter was visiting from out of state, we went wine tasting a few days.  We visited some really unique vineyards, tasted some great wine, and had a lot of fun!   Between the two of us, we spent quite a bit on wine that we liked the most.

This was the ONLY place that we visited that charged us both for the tasting fee, and the wine that we purchased.  All of the others, (16 purchases) waived the tasting fee.

This happened last year at a different vineyard, and we WON'T re-visit either of the two vineyards because of this, even tho the wine was good.",1531250892,False,ChIJ0X9UQFoXwFQRinOBT3psfNM
Brandi Luiz,https://www.google.com/maps/contrib/108668975286104883318/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu94fAMNjuLLDVDzh96xpk5Mp0mySvX-5mMU3QL0suY=s128-c0x00000000-cc-rp-mo,5,3 years ago,"The wine is good, the atmosphere is great and the people are fantastic!  I love to bring people here because they enjoy the wine and are welcomed as part of the family!  Tess is great at remembering people and what they like and being an exceptional hostess.  Love them!!",1568084860,False,ChIJx8kyypjKxVQR2yJ0aHHpEmU
Daniel Kraft,https://www.google.com/maps/contrib/113666639372537822937/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu8wqaQfO3IsD8CWwMdbcqSz2V_zhpuzndN2-FOW=s128-c0x00000000-cc-rp-mo,5,4 years ago,Amazing grapes,1526512904,False,ChIJ0eUuQHhRlVQRARsCNSh7sGQ
Ross Turner,https://www.google.com/maps/contrib/108618274318289610501/reviews,en,en,https://lh3.googleusercontent.com/a/ALm5wu08zW_QkpZu-_Aouj30JEvHFl05YdK_TaUcErIz=s128-c0x00000000-cc-rp-mo,5,2 months ago,Dalicia (really sorry if I spelled this wrong!) Was very friendly and knowledgeable. Great personal experience and excellent variety of wines.,1660609841,False,ChIJB_EXK28OllQRM1bD3Njjbm8
Emma Smith,https://www.google.com/maps/contrib/109624373304510988566/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu9jrZWa5apSUPBGSym05k9zTgs73_Xod4x2e2-55g=s128-c0x00000000-cc-rp-mo,5,7 months ago,"Rebecca and Fizzy the doggo are the best duo. Deliciously yummy wine and the location, views and people are lovely. Rebecca seriously knows her wine and is a true wine expert. 10/10 recommend visiting!!",1649380197,False,ChIJA1bMEThHlVQROhg2IK1M96g
Alan,https://www.google.com/maps/contrib/116727178540042421704/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu_8iAZSWIRD-chv554KTAW0aLqBW2zHsz3I5SJBYQ=s128-c0x00000000-cc-rp-mo-ba4,5,2 weeks ago,"Outstanding facility, excellent service (Megan, Jesse Lange). Above all, the wines are world class! Don Lange is always willing to stop and talk about anything you want. Did I mention great wine?",1666045690,False,ChIJRafqU_BAlVQRTwJ8fNSq-tk
Scott Malone,https://www.google.com/maps/contrib/107625420052324022168/reviews,en,en,https://lh3.googleusercontent.com/a/ALm5wu1Awm-FwjcHhLlhiL9bST2B_eBRh0SrXxuilIsp=s128-c0x00000000-cc-rp-mo,5,a year ago,"Great wines, fantastic staff and grounds that will make everyone happy.  With a variety at wines available everyone can find a glass they will love and a spot on the property to enjoy. Shuffle board , darts , horseshoes to a cozy gazebo ..... definitely worth the visit.",1621626360,False,ChIJNziyq8N2z1QRiFY5u5VT9Jw
Aaron Doerr,https://www.google.com/maps/contrib/116137852372721371368/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu-8stGY14KHu7f4WWqaoG7_q6raFXanx9lMrZGTrw=s128-c0x00000000-cc-rp-mo,5,3 years ago,Beautiful rolling hills surround this gem of a vineyard,1543425285,False,ChIJ7cZV901qlVQR512cTmU2Nik
Tarah Olson,https://www.google.com/maps/contrib/111328470856420089185/reviews,en,en,https://lh3.googleusercontent.com/a/ALm5wu2SI26_MrvOxEs6tAj5hh4nhKuAZKed_JjJBCqz=s128-c0x00000000-cc-rp-mo-ba3,5,5 months ago,Such a beautiful location! The wine was delicious and flavorful! Everything was AMAZING! Will definitely recommend and will come back!,1654375031,False,ChIJg_P1G49MlVQRGBGVd5SC3f4
Brian Lyles,https://www.google.com/maps/contrib/100048340251804071251/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu9NFKiBAXt_yhErQ7RJJme49mdtf5ax7dCURWzu=s128-c0x00000000-cc-rp-mo-ba2,5,5 years ago,Great wines and personable service!,1504841086,False,ChIJwcB_jWI4lVQRnp-mS4U0EN8
scott miller,https://www.google.com/maps/contrib/105178858339968694830/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu_HlQA2JJ-ZipRF_WSejiBW0Slyht07wuPNA5ofXw=s128-c0x00000000-cc-rp-mo,5,in the last week,"I absolutely loved this small family run vineyard. If you're looking for a good local Pinot at a fair price and don't mind skipping the tasting experience, this is it. 🍷",1667051443,False,ChIJd78D_eZqlVQRoYf_SKUbpXs
Jessica Christison,https://www.google.com/maps/contrib/116522004355140338841/reviews,en,en,https://lh3.googleusercontent.com/a/ALm5wu3PWAEfDFKxKlR7xYqYlV2zp51mqylsdPfxEpB8=s128-c0x00000000-cc-rp-mo,5,2 weeks ago,Beautiful venue and wonderful staff. I would highly recommend this location for any event!,1666232601,False,ChIJQXGa_Cim6lQRoD1BfVCUv2g
Pat Harding,https://www.google.com/maps/contrib/103889518221043483461/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu_zCjOrDXg5hF_aqy2819QNqV3TRqKfAwIjs-tfWg=s128-c0x00000000-cc-rp-mo,5,3 years ago,"Superb quality, product, knowledge.  Try it , you will anxiously  await your next experience",1558570084,False,ChIJAQAcT5FBolQR0X-6RLStHik
