name,business_status,place_id,formatted_phone_number,formatted_address,url,website,rating,user_ratings_total,street_address,city,province,zipcode,country,location_name
Krop Haus Vineyards,OPERATIONAL,ChIJYX7lCRMPwFQRD1ZOb5uOGd0,(971) 718-2243,"10883 Southview Loop SE, Jefferson, OR 97352, USA",https://maps.google.com/?cid=15931921955038320143,https://krop-haus-vineyards.business.site/?utm_source=gmb&utm_medium=referral,,,10883 Southview Loop SE, Jefferson,OR,97352, USA,
The Good Drop Wine Shoppe,OPERATIONAL,ChIJG9hkQ53IuFQRYkSXxXQKcKk,(541) 410-1470,"141 NW Minnesota Ave #2719, Bend, OR 97701, USA",https://maps.google.com/?cid=12209270086448923746,https://www.gooddropwineshoppe.com/newsite/,4.7,40,141 NW Minnesota Ave #2719, Bend,OR,97701, USA,
TeBri Vineyards and Lavender,OPERATIONAL,ChIJG20R93tUwFQRQiVoAxf34wk,(541) 740-8541,"24880 Orchard Tract Rd, Monroe, OR 97456, USA",https://maps.google.com/?cid=712684844268135746,http://www.tebri.com/,4.5,8,24880 Orchard Tract Rd, Monroe,OR,97456, USA,
Northwest Vines,OPERATIONAL,ChIJh35nmr3jwFQRuSSHefRzR9s,(541) 689-4062,"541 Willamette St Suite #111, Eugene, OR 97401, USA",https://maps.google.com/?cid=15800725311500788921,https://www.northwestvines.com/,5,5,541 Willamette St Suite #111, Eugene,OR,97401, USA,
Brandborg Vineyard and Winery,OPERATIONAL,ChIJWVWjowhXwVQRRF_91U0QSSE,(541) 584-2870,"345 1st St, Elkton, OR 97436, USA",https://maps.google.com/?cid=2398466203040177988,http://brandborgwine.com/,4.7,29,345 1st St, Elkton,OR,97436, USA,
Balboa Winery,OPERATIONAL,ChIJ43Puwk1ColQR74SiPklMvqU,(509) 529-0461,"4169 Peppers Bridge Rd, Walla Walla, WA 99362, USA",https://maps.google.com/?cid=11943067139300295919,http://www.balboawinery.com/,4.3,59,4169 Peppers Bridge Rd, Walla Walla,WA,99362, USA,
Stave & Stone Winery (Downtown Tasting Room),OPERATIONAL,ChIJY4qS1W4OllQRvAyS2AuKE98,(541) 490-9461,"210 Oak St, Hood River, OR 97031, USA",https://maps.google.com/?cid=16074343278498155708,http://www.staveandstone.com/,4.6,64,210 Oak St, Hood River,OR,97031, USA,
Bledsoe Family Winery,OPERATIONAL,ChIJ83cw1mRqolQRhqvOeqZuGzY,(509) 792-3510,"229 E Main St, Walla Walla, WA 99362, USA",https://maps.google.com/?cid=3898831563723287430,http://www.bledsoefamilywinery.com/,4.3,33,229 E Main St, Walla Walla,WA,99362, USA,
Clay Pigeon Winery,OPERATIONAL,ChIJl95UgqaglVQRSRPQqpfXGo8,,"4855 SE 18th Ave, Portland, OR 97202, USA",https://maps.google.com/?cid=10311791343223968585,http://www.claypigeonwinery.com/,3.9,8,4855 SE 18th Ave, Portland,OR,97202, USA,
"Helioterra Winery, Urban Winery, Tasting Room, and Wine Bar",OPERATIONAL,ChIJc-Akvi8LlVQRXoF7-VCQJGs,(971) 229-1445,"2025 SE 7th Ave, Portland, OR 97214, USA",https://maps.google.com/?cid=7720454338677277022,http://helioterrawines.com/,4.6,10,2025 SE 7th Ave, Portland,OR,97214, USA,
Spring Valley Vineyard,OPERATIONAL,ChIJhb0xFssWolQRaVb4OItxb7c,(509) 337-6915,"1663 Corkrum Rd, Walla Walla, WA 99362, USA",https://maps.google.com/?cid=13217908274125887081,https://www.springvalleyvineyard.com/,5,6,1663 Corkrum Rd, Walla Walla,WA,99362, USA,
Open Claim Vineyards,OPERATIONAL,ChIJJ22hwhcDwFQR3NClpGV-siY,(503) 837-7862,"2795 Ballard Rd, Dallas, OR 97338, USA",https://maps.google.com/?cid=2788430094314885340,http://www.openclaimvineyards.com/,,,2795 Ballard Rd, Dallas,OR,97338, USA,
Deer Creek Vineyards,OPERATIONAL,ChIJrSvRjVVexVQRiTJ5LDu-vDI,,"2680 Deer Creek Rd, Selma, OR 97538, USA",https://maps.google.com/?cid=3656006158876488329,http://www.deercreekvineyards.com/,4.5,14,2680 Deer Creek Rd, Selma,OR,97538, USA,
Orchard View Vineyards,OPERATIONAL,ChIJ08Rvf9tJlVQRxurM-mtG6OU,(503) 472-0298,"15519 NW Orchard View Rd, McMinnville, OR 97128, USA",https://maps.google.com/?cid=16566568658865547974,,5,2,15519 NW Orchard View Rd, McMinnville,OR,97128, USA,
Bravuro Cellars Vineyard,OPERATIONAL,ChIJGwkzz5lPlVQRrC17L0dfWfE,(503) 883-8155,"9779 SE Hillview Dr, Amity, OR 97101, USA",https://maps.google.com/?cid=17391036195411799468,https://www.bravurocellars.com/,4.9,11,9779 SE Hillview Dr, Amity,OR,97101, USA,
Day Wines at Day Camp,OPERATIONAL,ChIJA2FQfmxBlVQRmuceABxatAw,(971) 832-8196,"21160 OR-99W, Dundee, OR 97115, USA",https://maps.google.com/?cid=915455700570662810,http://www.daywines.com/,4.6,39,21160 OR-99W, Dundee,OR,97115, USA,
15 Mile Winery,OPERATIONAL,ChIJMflGyHYellQRpfPjpSOApmk,(541) 965-1445,"623 E 2nd St, The Dalles, OR 97058, USA",https://maps.google.com/?cid=7612913110711792549,http://www.15milewinery.com/,5,22,623 E 2nd St, The Dalles,OR,97058, USA,
Le Doubblé Troubblé Wine Co,OPERATIONAL,ChIJmeb78RIRllQRqJ7O_XVMOYc,(509) 281-3240,"111 E Jewett Blvd, White Salmon, WA 98672, USA",https://maps.google.com/?cid=9743903338445840040,http://www.ldtwines.com/,5,23,111 E Jewett Blvd, White Salmon,WA,98672, USA,
Rulo Winery,OPERATIONAL,ChIJMbZClyZColQRoCmy4vsZnkY,(509) 525-7856,"3525 Pranger Rd, Walla Walla, WA 99362, USA",https://maps.google.com/?cid=5088533198606051744,http://www.rulowinery.com/,5,11,3525 Pranger Rd, Walla Walla,WA,99362, USA,
Vintyr,OPERATIONAL,ChIJNfLJ0tNBlVQRaXMqrVHipf8,(971) 264-0881,"3336 SE Amity Dayton Hwy, Amity, OR 97101, USA",https://maps.google.com/?cid=18421378691254350697,http://www.vintyrwine.com/,5,6,3336 SE Amity Dayton Hwy, Amity,OR,97101, USA,
Saginaw Vineyard,OPERATIONAL,ChIJRT13WfUvwVQRJ4Sfbq24iQs,(541) 942-1364,"80247 Delight Valley School Rd, Saginaw, OR 97424, USA",https://maps.google.com/?cid=831398661251367975,http://www.saginawvineyard.com/,4.7,103,80247 Delight Valley School Rd, Saginaw,OR,97424, USA,
Fitzpatrick Vineyards,OPERATIONAL,ChIJtZ1VYr0BwVQRlCSl7t89XiQ,(541) 214-9315,"25357 High Pass Rd, Junction City, OR 97448, USA",https://maps.google.com/?cid=2620600065167008916,,5,1,25357 High Pass Rd, Junction City,OR,97448, USA,
Vital Wines,OPERATIONAL,ChIJX3N-is1DolQR3QBhGXhXRfA,(509) 540-2323,"17 N 2nd Ave, Walla Walla, WA 99362, USA",https://maps.google.com/?cid=17313340515829219549,http://www.vitalwinery.com/,4.9,10,17 N 2nd Ave, Walla Walla,WA,99362, USA,
Cooper Ridge Vineyard,OPERATIONAL,ChIJb2D4NdIZxFQRQYY35CayE9I,(541) 671-2373,"1389 Old Garden Valley Rd, Roseburg, OR 97471, USA",https://maps.google.com/?cid=15137638652629714497,https://www.cooperridgevineyard.com/,4.8,97,1389 Old Garden Valley Rd, Roseburg,OR,97471, USA,
Big Table Farm,OPERATIONAL,ChIJUa7JFuU8lVQREp7TUm_IIME,(503) 852-3097,"128 S Pine St, Carlton, OR 97111, USA",https://maps.google.com/?cid=13916343229031357970,http://www.bigtablefarm.com/,5,9,128 S Pine St, Carlton,OR,97111, USA,
Helvetia Vineyards & Winery,OPERATIONAL,ChIJRfynz7YGlVQRmNnm25Qmdao,(503) 647-7596,"23269 NW Yungen Rd, Hillsboro, OR 97124, USA",https://maps.google.com/?cid=12282765979509250456,http://www.helvetiawinery.com/,4.6,92,23269 NW Yungen Rd, Hillsboro,OR,97124, USA,
Chateau Bianca Winery,OPERATIONAL,ChIJL-XgA62v6lQRLyLejKbgWxw,(503) 623-6181,"17485 OR-22, Dallas, OR 97338, USA",https://maps.google.com/?cid=2043473861875212847,https://www.chateaubianca.com/,4.6,55,17485 OR-22, Dallas,OR,97338, USA,
Emerson Vineyards,OPERATIONAL,ChIJ0X9UQFoXwFQRinOBT3psfNM,(503) 838-0944,"11665 Airlie Rd, Monmouth, OR 97361, USA",https://maps.google.com/?cid=15239174511690609546,http://www.emersonvineyards.com/,4.7,29,11665 Airlie Rd, Monmouth,OR,97361, USA,
Hope Well Vineyard,OPERATIONAL,ChIJ0eUuQHhRlVQRARsCNSh7sGQ,,"12345 Oak Rd NW, Salem, OR 97304, USA",https://maps.google.com/?cid=7255434412312107777,http://hopewellwine.com/,4,4,12345 Oak Rd NW, Salem,OR,97304, USA,
Cascade Cliffs Winery & Tasting Room,OPERATIONAL,ChIJB_EXK28OllQRM1bD3Njjbm8,(541) 436-4215,"211 Oak St, Hood River, OR 97031, USA",https://maps.google.com/?cid=8029605706204403251,http://cascadecliffs.com/,4.8,64,211 Oak St, Hood River,OR,97031, USA,
MonksGate Vineyard,OPERATIONAL,ChIJA1bMEThHlVQROhg2IK1M96g,(503) 852-6521,"9500 NE Oak Springs Farm Rd, Carlton, OR 97111, USA",https://maps.google.com/?cid=12175284424072894522,https://www.monksgate.com/,4.9,26,9500 NE Oak Springs Farm Rd, Carlton,OR,97111, USA,
Lange Estate Winery & Vineyards,OPERATIONAL,ChIJRafqU_BAlVQRTwJ8fNSq-tk,(503) 538-6476,"18380 NE Buena Vista Dr, Dundee, OR 97115, USA",https://maps.google.com/?cid=15707054480006316623,https://www.langewinery.com/,4.6,81,18380 NE Buena Vista Dr, Dundee,OR,97115, USA,
Stoneriver Vineyards,OPERATIONAL,ChIJNziyq8N2z1QRiFY5u5VT9Jw,(541) 631-9583,"2178 Pioneer Rd, Talent, OR 97540, USA",https://maps.google.com/?cid=11309756466790487688,http://stonerivervineyards.com/,4.8,58,2178 Pioneer Rd, Talent,OR,97540, USA,
Chehalem Wines,OPERATIONAL,ChIJ7cZV901qlVQR512cTmU2Nik,(503) 537-5553,"31190 NE Veritas Ln, Newberg, OR 97132, USA",https://maps.google.com/?cid=2969620813035888103,https://www.chehalemwines.com/,4.4,13,31190 NE Veritas Ln, Newberg,OR,97132, USA,
Yamhill Valley Vineyards,OPERATIONAL,ChIJg_P1G49MlVQRGBGVd5SC3f4,(503) 843-3100,"16250 SW Oldsville Rd, McMinnville, OR 97128, USA",https://maps.google.com/?cid=18364978429659779352,http://yamhill.com/,4.5,59,16250 SW Oldsville Rd, McMinnville,OR,97128, USA,
Keleri Vineyard,OPERATIONAL,ChIJd78D_eZqlVQRoYf_SKUbpXs,(503) 476-2548,"28385 NE Bell Rd, Newberg, OR 97132, USA",https://maps.google.com/?cid=8909557834530654113,https://www.kelerivineyard.com/,5,1,28385 NE Bell Rd, Newberg,OR,97132, USA,
Beckenridge Vineyard,OPERATIONAL,ChIJQXGa_Cim6lQRoD1BfVCUv2g,(971) 888-2264,"300 Reuben Boise Rd, Dallas, OR 97338, USA",https://maps.google.com/?cid=7547914573915962784,http://www.beckenridge.com/,4.8,43,300 Reuben Boise Rd, Dallas,OR,97338, USA,
Tulpen Cellars,OPERATIONAL,ChIJAQAcT5FBolQR0X-6RLStHik,(509) 386-5887,"3131 S 3rd Ave, Walla Walla, WA 99362, USA",https://maps.google.com/?cid=2962996594615156689,https://tulpencellars.com/,5,3,3131 S 3rd Ave, Walla Walla,WA,99362, USA,
Bergevin Lane Vineyards,OPERATIONAL,ChIJ0aggqXNqolQRK1KnF6q0JYs,(509) 876-2959,"70 N Colville St #106, Walla Walla, WA 99362, USA",https://maps.google.com/?cid=10026618788044558891,http://www.bergevinlane.com/,4.8,16,70 N Colville St #106, Walla Walla,WA,99362, USA,
Heymann Whinery (Call For Appointment outside of posted hours)),OPERATIONAL,ChIJ9xlEJNVfkVQRXrzX3lwndRU,(360) 748-9675,"731 SW 21st St, Chehalis, WA 98532, USA",https://maps.google.com/?cid=1546185326900788318,http://www.heymannwhinery.com/,4.7,13,731 SW 21st St, Chehalis,WA,98532, USA,
Weisinger Family Winery,OPERATIONAL,ChIJFS-qzGUMz1QRNmJrtKO9_pE,(541) 488-5989,"3150 Siskiyou Blvd, Ashland, OR 97520, USA",https://maps.google.com/?cid=10520054290388312630,http://weisingers.com/?utm_source=google-gmb-maps&utm_medium=gmb-website-button&utm_campaign=locl.io&utm_content=675e9824-c94c-4ee1-aa15-692a34eb210a,4.8,91,3150 Siskiyou Blvd, Ashland,OR,97520, USA,
Alton Wines,OPERATIONAL,ChIJ6wvtQJlDolQRo3mXMMFK8MU,(509) 720-7136,"3783 Peppers Bridge Rd, Walla Walla, WA 99362, USA",https://maps.google.com/?cid=14262982213486737827,http://www.altonwines.com/,4.8,34,3783 Peppers Bridge Rd, Walla Walla,WA,99362, USA,
Trisaetum Winery,OPERATIONAL,ChIJb41YSLE_lVQRF1Z6xdX1EUA,(503) 538-9898,"18401 NE Ribbon Ridge Rd, Newberg, OR 97132, USA",https://maps.google.com/?cid=4616741391521437207,https://www.trisaetum.com/,4.7,82,18401 NE Ribbon Ridge Rd, Newberg,OR,97132, USA,
Elk Cove Vineyards,OPERATIONAL,ChIJYUZE8AI9lVQRTAz6NWyDEk0,(503) 985-7760,"27751 NW Olson Rd, Gaston, OR 97119, USA",https://maps.google.com/?cid=5553645791286529100,http://www.elkcove.com/,4.8,139,27751 NW Olson Rd, Gaston,OR,97119, USA,
Arterberry Maresh at the Maresh Red Barn,OPERATIONAL,ChIJgflueyBBlVQRjvQePp_Yts4,(503) 537-1098,"9325 NE Worden Hill Rd, Dundee, OR 97115, USA",https://maps.google.com/?cid=14895330996028109966,http://www.mareshredbarn.com/,4.9,35,9325 NE Worden Hill Rd, Dundee,OR,97115, USA,
Lenné Estate,OPERATIONAL,ChIJdd4A2-g-lVQRZln_CrWkt1A,(503) 956-2256,"18760 NE Laughlin Rd, Yamhill, OR 97148, USA",https://maps.google.com/?cid=5816298541252827494,http://www.lenneestate.com/,4.8,47,18760 NE Laughlin Rd, Yamhill,OR,97148, USA,
Torii Mor Winery,OPERATIONAL,ChIJITEeP-RAlVQRXFBixbMv9yE,(503) 538-2279,"18323 NE Fairview Dr, Dundee, OR 97115, USA",https://maps.google.com/?cid=2447477371656360028,http://www.toriimorwinery.com/,4.6,66,18323 NE Fairview Dr, Dundee,OR,97115, USA,
Cynthian Vineyards,OPERATIONAL,ChIJDyZ86Giv6lQRLqRyDloP0sA,(805) 895-5054,"13945 OR-22, Dallas, OR 97338, USA",https://maps.google.com/?cid=13894184679855268910,http://www.cynthianvineyards.com/,5,1,13945 OR-22, Dallas,OR,97338, USA,
The Walls Vineyards,OPERATIONAL,ChIJ4WlwqmlqolQRkTya0vWcIJo,(509) 876-0200,"1015 W Pine St, Walla Walla, WA 99362, USA",https://maps.google.com/?cid=11106049260709887121,http://www.thewallswines.com/,4.8,44,1015 W Pine St, Walla Walla,WA,99362, USA,
Chemeketa Cellars,OPERATIONAL,ChIJrWcAWigBwFQRpNXuw3xLJok,(503) 584-7256,"215 Doaks Ferry Rd NW, Salem, OR 97304, USA",https://maps.google.com/?cid=9882669431546369444,http://www.chemeketacellars.com/,5,1,215 Doaks Ferry Rd NW, Salem,OR,97304, USA,
Va Piano Vineyards,OPERATIONAL,ChIJHS4R2bRDolQRmcn4y57rjdI,(509) 529-0900,"1793 J B George Rd, Walla Walla, WA 99362, USA",https://maps.google.com/?cid=15172041786940508569,http://www.vapianovineyards.com/,4.8,58,1793 J B George Rd, Walla Walla,WA,99362, USA,
Tetrahedron Wines,OPERATIONAL,ChIJ06YF9-0ZllQRVNyo-yacRsE,(509) 774-8323,"301 Johnson Ave, Lyle, WA 98635, USA",https://maps.google.com/?cid=13926990588934675540,http://tetrahedronwines.com/,4.9,19,301 Johnson Ave, Lyle,WA,98635, USA,
XL Vineyard,OPERATIONAL,ChIJWZoKZptcolQRivJ_FWLxv-8,,"83501 Lower Dry Creek Rd, Milton-Freewater, OR 97862, USA",https://maps.google.com/?cid=17275792099186307722,http://xlvineyard.com/,5,1,83501 Lower Dry Creek Rd, Milton-Freewater,OR,97862, USA,
Witness Tree Vineyard Ltd,OPERATIONAL,ChIJXdoViGNUlVQR6tp-MEDXnNU,(503) 585-7874,"7111 Spring Valley Rd NW, Salem, OR 97304, USA",https://maps.google.com/?cid=15392414297137011434,http://www.witnesstreevineyard.com/,4.4,8,7111 Spring Valley Rd NW, Salem,OR,97304, USA,
Grateful Vineyard,OPERATIONAL,ChIJXSTLXEH9lVQRtUsfz9kHtr4,(541) 399-6665,"6650 Trout Creek Ridge Rd, Mt Hood, OR 97041, USA",https://maps.google.com/?cid=13742179945031879605,http://www.gratefulvineyards.com/,4.5,182,6650 Trout Creek Ridge Rd, Mt Hood,OR,97041, USA,
Castillo de Feliciana Vineyard & Winery Woodinville Tasting Room,OPERATIONAL,ChIJafwAAksMkFQRytLZTHt0jxE,(425) 949-5088,"15114 148th Ave NE, Woodinville, WA 98072, USA",https://maps.google.com/?cid=1265358093233541834,http://castillodefeliciana.com/visit-us/woodinville-tasting-room,4.4,69,15114 148th Ave NE, Woodinville,WA,98072, USA,
Left Coast Estate,OPERATIONAL,ChIJkaHszW2r6lQRNe-crjrns5o,(503) 831-4916,"4225 N Pacific Hwy W, Rickreall, OR 97371, USA",https://maps.google.com/?cid=11147507741895749429,https://leftcoastwine.com/,4.7,92,4225 N Pacific Hwy W, Rickreall,OR,97371, USA,
Cherry Hill Winery,OPERATIONAL,ChIJpxtVdAKr6lQRnFmXb1odLsQ,(503) 623-7867,"7867 Crowley Rd, Rickreall, OR 97371, USA",https://maps.google.com/?cid=14136268554619017628,http://www.cherryhillwinery.com/,4.3,10,7867 Crowley Rd, Rickreall,OR,97371, USA,
Faith Hope & Charity Vineyards,OPERATIONAL,ChIJbcRszS0vv1QRPJ0woaqPeFw,(541) 526-5075,"70450 NW Lower Valley Dr, Terrebonne, OR 97760, USA",https://maps.google.com/?cid=6663233611706178876,https://www.faithhopeandcharityevents.com/?utm_source=google&utm_medium=local&utm_campaign=gmb,4.5,156,70450 NW Lower Valley Dr, Terrebonne,OR,97760, USA,
Dusky Goose Winery,OPERATIONAL,ChIJ9QK5-RlBlVQR0YyVd0Jlv-8,(503) 857-5776,"8355 NE Warren Rd, Dundee, OR 97115, USA",https://maps.google.com/?cid=17275638031765048529,https://www.duskygoose.com/,4.7,39,8355 NE Warren Rd, Dundee,OR,97115, USA,
Copper Belt Vineyard,OPERATIONAL,ChIJVfYnVGdZpFQR8X47_NgHmWo,,"Baker City, OR 97814, USA",https://maps.google.com/?cid=7681179267983179505,,4.5,2,,Baker City,OR,97814, USA,
Cana's Feast Winery,OPERATIONAL,ChIJRYtSoIo4lVQRnyG2b9Mx_AI,(503) 852-0002,"750 W Lincoln St, Carlton, OR 97111, USA",https://maps.google.com/?cid=215101666389008799,http://www.canasfeast.com/,4.7,89,750 W Lincoln St, Carlton,OR,97111, USA,
Wild Wines - Winery & Tasting Room,OPERATIONAL,ChIJIxJXyhaZz1QRkpY7rNfg6Fw,(541) 899-1565,"4550 Little Applegate Rd, Jacksonville, OR 97530, USA",https://maps.google.com/?cid=6694848062998419090,http://www.enjoywildwines.com/,3.5,11,4550 Little Applegate Rd, Jacksonville,OR,97530, USA,
Jacksonville Vineyards,OPERATIONAL,ChIJ-U6JGsKFz1QRARMuqdX1vU0,(541) 841-8591,"9730 OR-238, Jacksonville, OR 97530, USA",https://maps.google.com/?cid=5601903809533973249,,,,9730 OR-238, Jacksonville,OR,97530, USA,
Carson Phillips Vineyards,OPERATIONAL,ChIJp3JTBYtAlVQRWNjBaSgUZGo,,"18840 NE Williamson Rd, Newberg, OR 97132, USA",https://maps.google.com/?cid=7666274629496985688,http://carsonphillips.com/,5,1,18840 NE Williamson Rd, Newberg,OR,97132, USA,
HV Cellars,OPERATIONAL,ChIJFxlq4W45xFQRofB1FANAgqA,(541) 294-8577,"Winston, OR 97496, USA",https://maps.google.com/?cid=11565877175013208225,,4,12,,Winston,OR,97496, USA,
Domaine Pouillon,OPERATIONAL,ChIJ3XEPKxEXllQRwWy8TFdufHk,(509) 365-2795,"170 Lyle Snowden Rd, Lyle, WA 98635, USA",https://maps.google.com/?cid=8753993096930028737,http://www.domainepouillon.com/,4.9,29,170 Lyle Snowden Rd, Lyle,WA,98635, USA,
Lurking Turkey Vineyard,OPERATIONAL,ChIJb3IEb9lSwFQRBFA8JLwurQA,(541) 424-3332,"23981 Hawley Creek Rd, Monroe, OR 97456, USA",https://maps.google.com/?cid=48746556567605252,,5,1,23981 Hawley Creek Rd, Monroe,OR,97456, USA,
Caceu Vineyards,OPERATIONAL,ChIJxdQmbvKn6lQRrXXrgGZzmPA,,"Fruit Farm Rd, Independence, OR 97351, USA",https://maps.google.com/?cid=17336733649649497517,,,,Fruit Farm Rd, Independence,OR,97351, USA,
Westport Winery Garden Resort,OPERATIONAL,ChIJg8BGFdJHklQRujFaR2wP4xc,(360) 648-2224,"1 S Arbor Rd, Aberdeen, WA 98520, USA",https://maps.google.com/?cid=1721236440313639354,http://www.westportwinery.com/,4.6,529,1 S Arbor Rd, Aberdeen,WA,98520, USA,
Oak Knoll Winery,OPERATIONAL,ChIJh-zDkxkRlVQRJChJG6ef9Ts,(503) 648-8198,"29700 SW Burkhalter Rd, Hillsboro, OR 97123, USA",https://maps.google.com/?cid=4320534957597992996,http://www.oakknollwinery.com/,4.6,128,29700 SW Burkhalter Rd, Hillsboro,OR,97123, USA,
Patterson Cellars Walla Walla Tasting Room & Vineyards,OPERATIONAL,ChIJQXewxnhDolQRj4yrsvTkKmg,(509) 524-8915,"1564 Whiteley Rd, Walla Walla, WA 99362, USA",https://maps.google.com/?cid=7506063468587093135,http://pattersoncellars.com/,5,9,1564 Whiteley Rd, Walla Walla,WA,99362, USA,
EIEIO Wines,OPERATIONAL,ChIJZZmKZNI5lVQRKfnej3r7FwQ,(503) 852-6733,"10100 NW Meadowlake Rd, Carlton, OR 97111, USA",https://maps.google.com/?cid=294980804434393385,http://www.onhisfarm.com/,,,10100 NW Meadowlake Rd, Carlton,OR,97111, USA,
Philips Vineyard,OPERATIONAL,ChIJc1KuIitDolQRbs-JFg9F30Y,,"1382 Whiteley Rd, Walla Walla, WA 99362, USA",https://maps.google.com/?cid=5106876433566388078,https://www.instagram.com/philipsvineyard/,,,1382 Whiteley Rd, Walla Walla,WA,99362, USA,
Tresori Vineyards,OPERATIONAL,ChIJ_5MdCeA_lVQR6_ZAH9o00zw,(503) 550-2027,"17940 NE Kings Grade, Newberg, OR 97132, USA",https://maps.google.com/?cid=4382904973793490667,http://www.tresorivineyards.com/,4.9,21,17940 NE Kings Grade, Newberg,OR,97132, USA,
Troon Vineyard,OPERATIONAL,ChIJeeQKRWI4lVQRAbyV6ExOZkE,(503) 852-3084,"620 NE 3rd St, McMinnville, OR 97128, USA",https://maps.google.com/?cid=4712540152316410881,http://www.troonvineyard.com/,4.6,41,620 NE 3rd St, McMinnville,OR,97128, USA,
Don Carlo Vineyard,OPERATIONAL,ChIJoaComsxEolQRusda6j36jVw,(541) 938-6776,"83872 Don Carlo Way, Milton-Freewater, OR 97862, USA",https://maps.google.com/?cid=6669261767037339578,,3,1,83872 Don Carlo Way, Milton-Freewater,OR,97862, USA,
Whiskey Hill Winery & Postlewait's Vineyards,OPERATIONAL,ChIJVxWn79JmlVQR_6LMG1LCGOE,(971) 338-9142,"29510 S Barlow Rd, Canby, OR 97013, USA",https://maps.google.com/?cid=16219927715884344063,http://www.whiskeyhillwinery.com/,4.6,24,29510 S Barlow Rd, Canby,OR,97013, USA,
Belle Pente Vineyard & Winery,OPERATIONAL,ChIJdZU7Gbo4lVQRcu2QYopE_Z0,(503) 852-9500,"12470 NE Rowland Rd, Carlton, OR 97111, USA",https://maps.google.com/?cid=11384330794212322674,http://www.bellepente.com/,4.4,20,12470 NE Rowland Rd, Carlton,OR,97111, USA,
Deux Vert Vineyard,OPERATIONAL,ChIJG-ar2Nw-lVQR6USmzpbcALg,,"18000 NE Morelli Dr, Yamhill, OR 97148, USA",https://maps.google.com/?cid=13258839843248948457,http://deuxvertvineyard.com/?utm_source=gmb&utm_medium=referral,5,7,18000 NE Morelli Dr, Yamhill,OR,97148, USA,
