Name,Hours,Street,Address,Phone
Atticus Wine,(By Appointment),20501 Russell Creek Road,"Yamhill, OR 97149",503-662-3485
Atticus Wine at Carlton Cellars,"(June - Sept: 1st & 3rd Saturday, 11 am 3 pm)",130 W Monroe Street,"Carlton, OR",503-550-6494
August Cellars,"(Home of 7 wineries. Open Fri - Sun year-round; Daily, May - Sept: 11am-5pm)",14000 NE Quarry Road,"Newberg, OR",503-554-6766
Aurora Vines,"(Jun - Sept: Sat & Sun, 12 - 5 pm; Otherwise by appointment)",2275 Pioneer Rd.,"Talent, OR 97540",541-535-5287
Ayoub Vineyard,(By appointment - 503-805-2154),9650 NE Keyes Lane,"Dundee, OR 97115",503-805-2154
Ayres Vineyard & Winery,(By Appointment & Holiday Weekends),17971 NE Lewis Rogers Lane,"Newberg, OR 97132",503-538-7450
Bachelder Wine Oregon at The Carlton Winemakers Studio,"(Daily, 11 — 5pm)",801 N Scott Street,"Carlton, OR 97111",503-852-6100
Barking Frog,(Open Fri - Sun: 1 - 5 pm or by appointment),128 W Main Street,"Carlton, OR 97111",503-702-5029
Barron-Wahl Vineyards,(Tasting hours vary; Call ahead - 503-625-7938),27015 SW Ladd Hill Road,"Sherwood, OR 97140",503-625-7938
Beacon Hill Winery,"(Thurs - Sun, 11 am - 5 pm)",22070 NE Ridge Road,"Gaston, OR 97119",503-662-5212
Bear Creek Winery,"(Memorial Day to Labor Day, Daily,12 to 5pm)",6220 Caves Hwy,"Cave Junction, OR 97423",541-592-3727
Beaton Farm Vineyard & Winery,(By Appointment: 541-660-8439),7400 Williams Highway,"Grants Pass, OR 97527",541-660-8439
Beaux Frères,(By appointment Thurs - Mon between 10 am and 4 pm; Call 503-537-1137 to schedule your tasting.),15155 NE North Valley Road,"Newberg, OR 97132",503-537-1137
Becker Vineyard,"(Year round: 11 - 5, weekends & holidays)",360 Klahowya Lane,"Roseburg, OR 97470",541-677-0288
Beckham Estate Vineyard,"(Fri-Sat,11 am - 5 pm; Also by appointment & on Holiday weekends)",30790 SW Heater Road,"Sherwood, OR 97140",971-645-3466
Bella Vida Vineyard,"(Fri - Sun, 11 - 5 pm & Memorial & Thanksgiving Events) $5 Tasting Fee",9380 NE Worden Hill Road,"Dundee, Oregon",503-538-9821
"Belle Fiore Winery, Estate & Vineyard","(Wed - Sun, 12 - 6 pm)",955 Dead Indian Memorial Road,"Ashland, OR 97520",541-552-4900
Belle Pente Vineyards,(Open twice yearly and by appointment),12470 NE Rowland Road,"Carlton, OR 97111",503-852-9500
Belle Vallée Cellars,(Urban facility & tasting room: Open by appointment.),804 NW Buchanan Avenue,"Corvallis, OR 97330",541-757-9463
Bells Up Winery,"(Always Open by Appointment. Also open 3 weekends per year: Memorial Day, Labor Day & Thanksgiving)",27895 NE Bell Road,"Newberg, OR 97132",503-537-1328
Bennett Vineyards & Wine Company,(Fri - Sun: 12 - 6 pm),25974 Hwy 36,"Cheshire, OR 97419",541-998-3336
Benton Lane Winery,(11:00 am to 4:00 pm daily),23924 Territorial Highway,"Monroe, OR 97456",541-847-5792
Bergström Winery,"(Four times daily at 10am, 11:30am, 2pm and 3:30pm. Reservations required. Tasting fee - $25 per person)",18405 NE Calkins Lane,"Newberg , OR 97132",503-554-0468
Bethel Heights Vineyard,"(Hours: 11 - 5 pm; June - Aug: Tues - Sun; Sept - Nov - Sat & Sun; Mar - May: Sat & Sun, Closed Easter Sun; Closed Dec - Feb, except by appt)",6060 Bethel Heights Road NW,"Salem, OR 97304",503-581-2262
Big Table Farm,(Open Memorial Day & Thanksgiving weekends. Also by appointment),26851 NW Williams Canyon Road,"Gaston, OR 97119",503-662-3129
Biggio Hamina Cellars,(Open by appointment),"1722 SW Highway 18, Suite C","McMinnville, OR 97128",503-737-9703
Bjornson Vineyard,"(May - Oct: Thurs - Mon, 11 am - 5 pm; Tastings by appt during off season.)",3635 Bethel Heights Road NW,"Salem, OR 97304",503-877-8189
Blakeslee Vineyard Estate Winery & Vineyard,(Daily: 11 am - 5 pm),20875 SW Chapman Road,"Sherwood, OR 97140",503-625-6902
Blizzard Wines,"(Fri - Sun, 11 am - 5 pm; Or by appointment)",29495 SW Burkhalter Road,"Hillsboro, OR 97123",503-985-6386
BlueBird Hill Cellars,"(Fri, 3 - 7 pm; Sat & Sun, 12 - 5 pm)",25059 Larson Road,"Monroe, OR 97456",541-424-2478
Blue Dog Mead,"(Thur & Fri, 2:00 - 7:00 pm or by appointment)",254 Lincoln Street,"Eugene, OR 97401",541-506-1560
Boedecker Cellars,"(Sat & Sun, 1 pm - 6 pm)",2621 NW 30th Avenue,"Portland, OR 97210",503-288-7752
Bow and Arrow at The Bindery,(Open for Special Events only),"3115 SE Sandy Blvd, Suite 1","Portland, OR 97232",-
Bradley Vineyards,"(June thru Nov: Wed - Sun, 11 am to 5 pm - Otherwise by appointment)",1000 Azalea Drive,"Elkton, OR 98436",541-584-2464
Brandborg Winery,"(Daily, 11 - 5)",345 First Street,"Elkton, OR",541-584-2870
Bravuro Cellars,(Daily: Noon - 6 pm),108 S College Street,"Newberg, OR 97132",503-822-5116
Brick House Wine Company,(By appointment during growing season - Thurs - Sat),18200 Lewis Rogers Lane,"Newberg, OR 97132",503-538-5136
Bridgeview Vineyards Winery & Tasting Room,"(Daily, 11 - 5pm, Year Round)",4210 Holland Loop Road,"Cave Junction, OR 97523",877-273-4843 (toll free)
Bridgeview Vineyards,"(Memorial Day - Thanksgiving: Daily, 11 - 5 pm)",16995 N. Applegate Road,"Grants Pass, OR 97527",541-846-1039
Brigadoon Vineyards,"(Apr thru Dec: Wed thru Sun, 12 - 5 pm; or by appointment)",25166 Ferguson Road,"Junction City, OR 97448",541-998-8708
Briggs Hill Vineyards,(Open by Appointment),27127 Briggs Hill Road,Eugene OR 97405,541-341-3974
Brittan Vineyards & Winery,"(Apr - Nov: Thurs - Mon, 11 am - 5 pm; Dec - Mar: Thurs - Mon, 12 - 4 pm; Tues & Wed by appointment)","829 NE 5th Street, Ste 700","McMinnville, OR 97128",971-241-8228
Broadley Vineyards,(Open by Appointment),"265 South Fifth, Box 160,","Monroe, OR 97456",541-847-5934
Brooks Wines,(Daily: 11 am - 5 pm),21101 SE Cherry Blossom Lane,"Amity, OR 97101",503-435-1278
Bryn Mawr Vineyards,(Tues - Sun: 11 - 5; Winter: Sat & Sun only),5955 Bethel Heights Road NW,Salem OR,503-581-4286
Buddha Kat Winery,"(Fri & Sat, 12 - 5 pm; Thurs & Sun, 12 - 4 pm; or by appt - 503-668-3124)",17020 Ruben Lane,"Sandy, OR 97055",503-668-3124
Buddha Kat,"(Sun - Thurs, 12 - 6 pm; Fri & Sat, 12 - 8 pm)",37 N Edgewood Street,"Seaside, OR 97138",503-739-7023
Cabernet Creek Farms,(By appointment only - 541-307-6220),4730 London Drive,"Parkdale, OR 97041",541-308-6220
Calamity Hill Vineyard and Farm (Olive grower),"(Memorial Weekend, Sat & Sun 11-5; Labor Day Weekend, Sat & Sun 11-5;",Or by arrangement - natch4@gmail.com),9779 SE Hillview Drive,"Amity, OR 97101"
Calcagno Cellars,"(Thurs & Fri, 3 - 7 pm; Sat, 1 - 7 pm)",336 E Historic Columbia River Hwy,"Troutdale, OR 97060",503-618-8466
Camas Close Winery,,2480 S Church Road,"Dallas, OR 97338",503-623-9119
Cameron Winery,(By appointment only),PO Box 27,"Dundee, OR 97115",503-538-0336
Cana's Feast Cellars,"(Daily, 11-5)",750 Lincoln Street,"Carlton, OR 97111",503-852-0002
Cancilla Cellars,,9179 SW Lee Road,"Gaston, OR 97119",503-985-7327
Capitello Wines,(Wed - Sat: 12 - 8 pm),540 Charnelton Street,"Eugene, OR 97402",541-520-3092
Caprice Vineyards,"(Mar - Dec: Thurs - Mon, 12 - 5 pm; Jan - Feb: Sat & Sun, 12 - 5 pm)",970 Old Stage Road,"Jacksonville, OR",541-499-0449
Carabella Vineyard,(Open for seated tastings & vineyard tours only. May - Mid-Oct by appointment 503-925-0972),16707 SW Edminston Rd.,"Wilsonville, OR",503-925-0972
Cardwell Hill Cellars,(Early May - Thanksgiving weekend: Open Daily - Noon to 5:30 pm Tours year-round and off-season tasting by appt.),24241 Cardwell Hill Drive,"Philomath, OR 97370",541-929–WINE (9463)
Carlo & Julian Vineyards & Winery,(By appointment),1000 E Main Street,"Carlton, OR",503-852-7432
Carlovanna Vineyards,(Not open to public),P.O. Box 866,"Mt. Angel, OR 97362",503-779-7584
Carlton Cellars,"(Winter hrs, through Apr, Sat–Sun 11–5; Summer hrs, beginning May, Wed–Sun 11–5)",130 Monroe Street,"Carlton, OR 97111",503-852-7888
Carlton Hill Wine Company,(Open for events a few times a year),11511 NW Cummins Road,"Carlton, OR 97111",503-852-7060
Carlton Winemakers Studio and Tasting Room,"(Daily, 11 - 5)",801 N. Scott Street,"Carlton, OR 97111",503-852-6100
Carpenter Hill Vineyards,(By Appointment),928 Carpenter Hill Road,"Medford, OR 97501",541-535-2387
Carter Vineyard,(Not open to public),1930 NW Irving Street #505,"Portland, OR 97209",503-827-4086
Cascade Cliffs - Hood River Tasting Room,(Daily: 12 - 7 pm),211 Oak Street,"Hood River, OR",541-436-4215
Castillo de Feliciana - Walla Walla Valley Oregon,"(Fri, Sat & Sun: 11 am - 5 pm)",85728 Telephone Pole Road,"Milton-Freewater, OR 97862",541-558-3656
Castillo de Feliciana - Woodinville Tasting Room,(Fri - Sun: 11 am - 6 pm or By appointment call 206-355-2715),15114 148th Avenue,"Woodinville, WA 98072",425-949-5088
Cathedral Ridge Winery,Open Daily Year Round: Apr - Oct: 11:00 am to 6:00 pm Nov - Mar: 11:00 am to 5:00 pm,4200 Post Canyon Drive,"Hood River, OR 97031",541-386-2882
Cathedral Ridge Winery - Dundee Tasting Room,Open Daily Year Round: Apr - Oct: 11:00 am to 6:00 pm Nov - Mar: 11:00 am to 5:00 pm,976 N HWY 99W,"Dundee, OR 97115",503-537-9977
The Cellars at Southern Oregon Wine Institute,"(Tasting Room Hours: Fri, 1 pm - 7 pm; Sat, 12 - 5 pm; Sun, 12 - 5 pm)",1140 Umpqua College Road,"Roseburg, OR 97470",541-440-4629
Cerulean Winery,"(Thurs - Sun, 12 - 6 pm)",304 Oak Street,"Hood River, OR 97031",503-308-9137
Champoeg Wine Cellars,"(Wed - Sun, 11 am - 5 pm)",10375 Champoeg Road NE,"Aurora, OR 97002",503-678-2144
Chapter 24 Vineyards - Alit Wines,(Thurs - Mon: 11 am - 5 pm),531 OR-99 W,"Dundee, OR 97132",503-487-6341
Chateau Bianca Winery,"(Summer hours: 10 - 6 pm Daily; Winter hours: 11 - 5 pm Daily; Closed January, Christmas & New Year's Day)",17485 Highway 22,"Dallas, OR 97338",503-623-6181
Chateau Lorane,(Daily 12 to 5 pm; Other times by appointment),27415 Siuslaw River Road,"Lorane, OR 97451",541-942-8028
Chateau Nonchalant Vineyards,(By Appointment),1329 Larson Road,"Roseburg, OR",541-679-2394
Chehalem Winery,(Winery by appointment),31190 NE Veritas Lane,"Newberg, OR",503-537-5553
Chehalem Tasting Room,"(Open Daily: Sun - Wed, 11 am - 5 pm; Thurs - Sat, 11 am - 8 pm)",106 South Center Street,"Newberg, OR",503-538-4700
Cherry Hill Winery,"(Weekdays 11 - 4, please call first; Weekends 11 - 5, May through Sept Also Labor Day, Thanksgiving and Memorial Day Weekends)",7838 Crowley Road,"Rickreall, OR",503-623-7867
Christopher Bridge Cellars,"(Fri, 2 - 5 pm; Sat & Sun, 12 - 5 pm)",12770 S Casto Road,"Oregon City, OR 97045",503-263-6267
"Cinzia at Urban Crush Winery, Tasting Room & Lounge","(Thurs - Sat, 12 - 7 pm; Sun, 12 - 5 pm or by appointment)",2025 SE 7th Avenue,"Portland, OR 97214",503-477-6994
Clay Pigeon Winery and Cyril's Restaurant,"(Mon, 11:30 am - 4 pm; Tue - Thurs, 11:30 am - 9 pm; Fri, 11:30 am - 10 pm; Sat, 4 - 10 pm; Closed Sun)",815 SE Oak Street,"Portland, OR 97214",503-206-8117
Clear Creek Distillery,( Weekdays 8 am - 5 pm),2389 NW Wilson,"Portland, OR. 97210",503-248-9470
Cliff Creek Cellars / Sams Valley Vineyard,"(Vineyard Tasting Room: Thurs - Mon, 12 - 5 pm)",1015 McDonough Road,"Gold Hill, OR 97525",541-855-5330
Cliff Creek,"(Thurs - Mon, 12 - 5 pm)",214 E First Street,"Newberg, OR 97132",503-487-6692
Coelho Winery,(Daily 11 - 5 pm),111 5th Street,"Amity, OR 97101",503-835-9305
Coeur de Terre Vineyard,"(Thurs - Mon, 11-5; or by appointment)",21000 SW Eagle Point Road,"McMinnville, OR 97128",503-472-3976
Coleman Vineyard,(Fri - Sun: 11 am - 5 pm),22734 SW Latham Road,"McMinnville, OR",503-843-2707
Colene Clemens Vineyards,(Wed - Sun: 11 am to 5 pm),22501 NE Dopp Road,"Newberg, OR 97132",503-662-4687
Cooper Mountain Vineyards,"(Daily, Noon - 5 pm; Tours by Appointment)",9480 SW Grabhorn Road,"Beaverton, OR 97007",503-649-0027
Cooper Ridge Vineyards,"(Thurs - Sun, 12 - 7 pm)",1389 Old Garden Valley Road,"Roseburg, OR 97471",541-420-6650
Coopers Hall - Urban Winery & Taproom,(Mon - Thurs: 4 - 10 pm; Fri & Sat: 4 pm - 12 am),404 SE 6th Street,"Portland, OR 97214",503-719-7000
Copper Belt,"(Wed - Sat, 1 - 7 pm; Sun, 2 - 6 pm; Mon & Tues, By appointment - 541-519-4695)",1937 Main Street,"Baker City, OR 97814",541-519-4695
Cória Estates,"(Tues - Sun, 12 - 6 pm)",8252 Redstone Avenue SE,"Salem, OR 97306",503-363-0525
Cottonwood Winery,(Mon - Sun: Noon - 5 pm),12600 Jerusalem Hill Road NW,"Salem, OR 97304",503-572-9869
Cottonwood Winery of Oregon,"(Fri, Sat, Sun: 12 - 6 pm)",510 S Trade Street,"Amity, OR 97101",503-860-9194
Cowhorn Vineyard & Garden,(Tuesday – Sunday 11 am to 4 pm),1665 Eastside Road,"Jacksonville, OR",541-899-6876
Crater Lake Cellars,(Tues - Sun: 1 pm - 6 pm),21882 Hwy 62 Bldg B,"Shady Cove, OR 97539",541-878-4200
Cricket Hill Vineyard & Winery,(Please call first),2131 Little Applegate Road,"Jacksonville, OR 97530",541-899-7264
Cristom Vineyards,"(Tues - Sun, 11 am - 5 pm; Closed Major Holidays)",6905 Spring Valley Rd. NW,"Salem, OR 97304",503-375-3068
Croft Bailey Vineyards,,1301 N. Hwy 99W #144,"McMinnville, OR 97128",503-881-8300
Cronos,,PO Box 1223,"McMinnville, OR 97128",503-472-2727 & 888-657-8668
Crowley Wines,(at August Cellars - By appointment),14000 NE Quarry Road,"Newberg, OR",503-804-5064
Cubanisimo Vineyard,(Apr 1st to Dec 20th open Daily 11 am – 5 pm: Dec 21 - Mar 31 by appt),1754 Best Road NW,"Salem, OR 97304",503-588-1763
Daedalus Cellars,"(Behind Cathedral Ridge Tasting Room) - (Wed - Sun, 11 - 5)",990 Hwy 99W,"Dundee, OR 97115",503-538-4400
Daisy Creek Vineyard,(By Appointment),675 Shafer Lane,"Jacksonville, OR 97530",541-899-8329
Dana Campbell Vineyards,"(Thurs - Sun, 12 - 5 pm)",1320 N Mountain Avenue,"Ashland, OR 97520",541-482-3798
Dancin Vineyards,"(May - Sept: Wed - Sun, 12 - 8 pm; Oct - Apr: Thurs - Sun, 12 - 7 pm)",4477 South Stage Road,"Medford, OR",541-245-1133
D'Anu Wines,"(Winter: Wed & Thurs, 1 - 8 pm; Fri & Sat, 1 - 9 pm; Call for Summer Hours - 503-746-4773)",173 NE 3rd Avenue,"Hillsboro, OR 97124",503-746-4773
David Hamilton Winery,"(Fri - Sun, Noon - 5 year round)",150 N Mountain Blvd,"Mt Vernon, OR 97865",541-932-4567
David Hill Vineyards,"(Open Daily, 11 - 5 pm; Excluding: Easter, Thanksgiving Day, Christmas Eve & Day, New Year's Day. Close at 3 pm New Year's Eve)",46350 NW David Hill Road,"Forest Grove, OR 97116",503-992-8545
Day Wines,"(Winter: Fri - Sun, 11 am - 4 pm; In Season: Thurs - Sun, 10 am - 5 pm; Otherwise by appt. Call for current hours.)",21080 N Hwy 99W,"Dundee, OR 97115",971-832-8196
Deer Creek Vineyards,(Daily: 11 am - 5 pm),2680 Deer Creek Road,"Selma, OR 97538",541-597-4226
de Lancellotti Family Vineyards,(By Appointment),18405 NE Calkins Lane,"Newberg, OR 97132",503-554-6802
Delfino Vineyards,(Open daily May thru Nov: 11 – 5 pm),3829 Colonial Road,"Roseburg, OR 97471",541-673-7575
Del Rio Vineyards,(June - Aug: Daily - 11 am to 6 pm; Sept - May: Daily - 11 to 5),52 North River Road,"Gold Hill, OR",541-855-2062
Depoe Bay Wine Company,,-,"Depoe Bay, OR",541-765-3311
De Ponte Cellars,(Open Daily: 11 - 5),17545 Archery Summit Road,"Dayton, OR 97114",503-864-3698
Devitt Winery,"(Memorial Day through Labor Day Daily: ""After lunch"" to 5 pm)",11412 Hwy 238,"Jacksonville, OR 97530",541-899-7511
Dimmick Cellars,(Call for Appointment),7401 SW Corbett Ave.,"Portland, OR 97219",503-246-0659
Dion Vineyard,"(Fri - Sun, April thru Nov, 11 am - 4 pm, or by appointment, 971-901-9463)",33155 SW Riedweg Road,"Cornelius, OR 97113",503-407-8598
Division Winemaking Company At Southeast Wine Collective & Wine Bar,(Call for seasonal hours),2425 SE 35th Place,"Portland, OR 97215",503-477-5511
Dobbes Family Estate,"(Mon - Sun, 11 am to 6 pm)",240 SE 5th Street,"Dundee , Oregon 97115",503-538-7100
Domaine Coteau,(Open by appointment - 503-697-7319),258 N Kutch Street,"Carlton, OR 97111",503-697-7319
Domaine Divio,"(Daily, 11 am - 5 pm)",16435 NE Lewis Rogers Lane,"Newberg, OR 97132",503-334-0903
Domaine Drouhin Oregon,"(Wed - Sun, 11 - 4)",6750 Breyman Orchards Road,"Dayton, OR 97114",503-864-2700
Domaine Roy,(Opening Fall of 2015),8351 NE Worden Hill Road,"Dundee, OR 97115",503-687-2600
Domaine Serene Winery,(Daily: 11 - 4),6555 NE Hilltop Lane,"Dayton, Oregon 97114",503-864-4600
Domaine Trouvére,"(Wed - Sunday, 12 pm to 5 pm, except for major holidays)",115 Southwest Seventh,"Downtown Dundee, OR",503-487-6370
Dominio IV Winery,"(Fri - Sun, 12 - 5 pm; Otherwise by appt - 503-474-8636)",11570 NE Intervale Road,"Carlton, OR 97111",503-474-8636
Don Carlo Vineyard,(By Appointment Only. May 1 - Oct 1),83872 Don Carlo Way,"Milton-Freewater, OR 97862",OR: 509-540-5784
Dos Estevan Wines,No Info,123 W Main Street,"Carlton, OR",503-936-6885
Duck Pond Cellars,(10am to 5pm Daily - May to Sept. 11am to 5pm Oct. to Apr),23145 Hwy 99W,"Dundee, OR 97115",503-538-3199
Dukes Family Vineyards (Carlton Winemakers Studio),"(Daily, 11 — 5pm)",801 N Scott Street,"Carlton, OR 97111",503-835-0620
Durant Vineyards at Red Ridge Farms,(Fri-Sun 11-5 & Memorial & Thanksgiving),5420 Breyman Orchards Road,"Dayton, OR 97114",503-864-8502
Dusky Goose,(No tasting facilities),P.O. Box 40,"Dundee, OR 97115",wine@duskygoose.com
Echo Ridge Cellars,"(Thurs & Fri, 2 - 6 pm; Sat, 12 - 6 pm)",551 N Thielson Street,"Echo, OR 97826",541-376-8100
EdenVale Estate at Rogue Valley Wine Center,"(Tue thru Sat, 10-5 - Sun, Noon-4)",2310 Voorhies Road,"Medford , OR 97501",541-512-2955
EdenVale at Enoteca,"(Tues - Sat, 11 am to 8 pm)",17 N Main Street,"Ashland, OR",541-482-3377
Edgefield Winery,(Daily - Noon to 10 pm),2126 SW Halsey Street,"Troutdale, OR 97060",503-665-2992
