business_status,formatted_phone_number,name,place_id,rating,user_ratings_total,formatted_address,website,street_address_1,street_address_2,city,province,zipcode,country_code,url,location_name
OPERATIONAL,(541) 673-5323,Umpqua Valley Wineries,ChIJsUP3Td8ixFQRyE51ASKNrd0,4.5,2.0,"522 SE Washington Ave, Roseburg, OR 97470, USA",http://www.umpquavalleywineries.org/,522 SE Washington Ave,NULL, Roseburg,OR,97470, USA,https://maps.google.com/?cid=15973578630545886920,NULL
OPERATIONAL,(503) 914-8883,Wannamaker Estate Vineyard,ChIJnWx_ltkNllQRk6RidCeS5gc,NULL,NULL,"271 Auspland Dr, Underwood, WA 98651, USA",http://www.wannamakerestatevineyard.com/,271 Auspland Dr,NULL, Underwood,WA,98651, USA,https://maps.google.com/?cid=569303101062947987,NULL
OPERATIONAL,(509) 526-9463,Three Rivers Winery,ChIJdTHtN0xoolQRyRlSR_TQfUE,4.6,100.0,"5641 US-12, Walla Walla, WA 99362, USA",http://www.threeriverswinery.com/,5641 US-12,NULL, Walla Walla,WA,99362, USA,https://maps.google.com/?cid=4719157732141308361,NULL
OPERATIONAL,(509) 524-8494,Armstrong Family Winery,ChIJ4095b2NqolQRxrFhC01pB64,4.8,39.0,"14 W Main St, Walla Walla, WA 99362, USA",http://www.armstrongwinery.com/,14 W Main St,NULL, Walla Walla,WA,99362, USA,https://maps.google.com/?cid=12540107467060785606,Downtown Walla Walla Tasting Room
OPERATIONAL,(541) 306-1290,Los Rocosos Vineyards,ChIJoa66NRlFolQRl-EO1VCC_ns,5.0,38.0,"84038 Eastside Rd, 500 East Broadway, Milton-Freewater, OR 97862, USA",http://losrocosos.com/,84038 Eastside Rd 500 East Broadway,NULL, Milton-Freewater,OR,97862, USA,https://maps.google.com/?cid=8934721994433159575,The Rocks District of Milton Freewater
OPERATIONAL,(509) 365-4361,Syncline Winery,ChIJ5atICDUXllQRd8-GQswUDwg,4.4,58.0,"111 Balch Rd, Lyle, WA 98635, USA",http://www.synclinewine.com/,111 Balch Rd,NULL, Lyle,WA,98635, USA,https://maps.google.com/?cid=580705744476098423,NULL
OPERATIONAL,(503) 362-1546,Legacy Estate Vineyard,ChIJ0Wg7T5yq6lQRJKYZZfiLfNY,4.7,76.0,"1600 Oak Grove Rd, Salem, OR 97304, USA",https://www.exploretock.com/legacyestatevineyards/,1600 Oak Grove Rd,NULL, Salem,OR,97304, USA,https://maps.google.com/?cid=15455381920193029668,NULL
OPERATIONAL,(509) 522-1994,Reininger Winery,ChIJ0_2r7k1oolQR3EUkoC5vw54,4.7,69.0,"5858 Old Hwy 12, Walla Walla, WA 99362, USA",http://www.reiningerwinery.com/,5858 Old Hwy 12,NULL, Walla Walla,WA,99362, USA,https://maps.google.com/?cid=11440109724497102300,NULL
OPERATIONAL,NULL,Millers Vineyard,ChIJmbBSk6n5v1QR07yEtlWVkVw,NULL,NULL,"1420 70th Ave SE, Salem, OR 97317, USA",NULL,1420 70th Ave SE,NULL, Salem,OR,97317, USA,https://maps.google.com/?cid=6670276718479326419,NULL
OPERATIONAL,NULL,Southwind Vineyard,ChIJKXmvGNFbolQRry1yKwYHNfM,NULL,NULL,"Milton-Freewater, OR 97862, USA",NULL,NULL,NULL,Milton-Freewater,OR,97862, USA,https://maps.google.com/?cid=17524921248062254511,NULL
OPERATIONAL,(503) 662-4217,Stardance Vineyards,ChIJKcYu1Ws7lVQR0lNN1vEcQsA,NULL,NULL,"24260 NW Turner Creek Rd, Yamhill, OR 97148, USA",http://stardancevineyards.com/,24260 NW Turner Creek Rd,NULL, Yamhill,OR,97148, USA,https://maps.google.com/?cid=13853667228753155026,NULL
OPERATIONAL,(541) 343-7002,McBeth Vineyards,ChIJi4hP_iYZwVQRcu8TWGEHfyM,NULL,NULL,"85162 McBeth Rd, Eugene, OR 97405, USA",https://www.mcbethvineyards.com/,85162 McBeth Rd,NULL, Eugene,OR,97405, USA,https://maps.google.com/?cid=2557771228040654706,NULL
OPERATIONAL,(503) 348-1740,Hazelfern,ChIJMUDWR-9qlVQR2CU-88uF42A,5.0,29.0,"4008 NE Zimri Dr, Newberg, OR 97132, USA",http://www.hazelfern.com/,4008 NE Zimri Dr,NULL, Newberg,OR,97132, USA,https://maps.google.com/?cid=6981570958360192472,NULL
OPERATIONAL,(509) 877-0454,Owen Roe,ChIJvy-5yi9-l1QRs5nK5lnK4xc,4.8,112.0,"309 Gangl Rd, Wapato, WA 98951, USA",http://www.owenroe.com/,309 Gangl Rd,NULL, Wapato,WA,98951, USA,https://maps.google.com/?cid=1721441970058598835,NULL
OPERATIONAL,(541) 899-6876,Cowhorn Vineyard & Garden,ChIJIT_AX-6Zz1QRQ3glF9XESEo,4.5,31.0,"1665 Eastside Rd, Jacksonville, OR 97530, USA",http://cowhornwine.com/,1665 Eastside Rd,NULL, Jacksonville,OR,97530, USA,https://maps.google.com/?cid=5352744576625244227,NULL
OPERATIONAL,(541) 386-1277,WyEast Vineyards,ChIJG1BslP0FllQRMRc0KTybvYM,4.7,130.0,"3189 OR-35, Hood River, OR 97031, USA",http://www.wyeastvineyards.com/,3189 OR-35,NULL, Hood River,OR,97031, USA,https://maps.google.com/?cid=9492914272258496305,NULL
OPERATIONAL,(509) 525-3541,Amavi Cellars,ChIJz3X720BColQRhE0GWDv9LRQ,4.7,117.0,"3796 Peppers Bridge Rd, Walla Walla, WA 99362, USA",http://www.amavicellars.com/,3796 Peppers Bridge Rd,NULL, Walla Walla,WA,99362, USA,https://maps.google.com/?cid=1454096686032244100,NULL
OPERATIONAL,(509) 774-8323,Tetrahedron Wines,ChIJ06YF9-0ZllQRVNyo-yacRsE,4.9,19.0,"301 Johnson Ave, Lyle, WA 98635, USA",http://tetrahedronwines.com/,301 Johnson Ave,NULL, Lyle,WA,98635, USA,https://maps.google.com/?cid=13926990588934675540,NULL
OPERATIONAL,(360) 887-3525,Bethany Vineyard & Winery,ChIJxfLDl7dMlFQRPoqA0PVrnEE,4.6,125.0,"4115 NE 259th St, Ridgefield, WA 98642, USA",https://www.bethanyvineyard.com/,4115 NE 259th St,NULL, Ridgefield,WA,98642, USA,https://maps.google.com/?cid=4727772412341422654,NULL
OPERATIONAL,(503) 554-0468,Bergström Wines Tasting Room,ChIJ3xWHhsM_lVQRYmrdwLFC5jM,4.9,57.0,"8115 NE Worden Hill Rd, Dundee, OR 97115, USA",https://www.bergstromwines.com/,8115 NE Worden Hill Rd,NULL, Dundee,OR,97115, USA,https://maps.google.com/?cid=3739749871790156386,NULL
OPERATIONAL,(503) 244-1748,Antica Terra Winery,ChIJ2cuinAQKlVQR4C_MDx0vag4,4.9,30.0,"979 SW Alder St, Dundee, OR 97115, USA",https://www.anticaterra.com/,979 SW Alder St,NULL, Dundee,OR,97115, USA,https://maps.google.com/?cid=1038694465927917536,NULL
OPERATIONAL,(541) 530-3551,Evensong Winery,ChIJCd7n49EZxFQRSrHlFYkrqxo,4.0,1.0,"981 Old Garden Valley Rd, Roseburg, OR 97471, USA",https://evensongwinery.com/,981 Old Garden Valley Rd,NULL, Roseburg,OR,97471, USA,https://maps.google.com/?cid=1921677533781537098,NULL
OPERATIONAL,(425) 213-2787,Eagles Nest Reserve Vineyard and Winery,ChIJpRiZbyQHlVQRHNAhH1oZFrU,5.0,3.0,"12995 NW Bishop Rd, Hillsboro, OR 97124, USA",https://eaglesnestreserve.com/,12995 NW Bishop Rd,NULL, Hillsboro,OR,97124, USA,https://maps.google.com/?cid=13048644845212651548,NULL
OPERATIONAL,(503) 588-1763,Cubanisimo Vineyards,ChIJq6qqqub-v1QRl8iBghfYML8,4.5,79.0,"1754 Best Rd NW, Salem, OR 97304, USA",http://www.cubanisimovineyards.com/,1754 Best Rd NW,NULL, Salem,OR,97304, USA,https://maps.google.com/?cid=13776748855611738263,NULL
OPERATIONAL,(503) 864-2328,White Rose Estate,ChIJycscKsxGlVQRImdkggvMr0Y,4.7,144.0,"6250 NE Hilltop Ln, Dayton, OR 97114, USA",http://www.whiteroseestate.com/,6250 NE Hilltop Ln,NULL, Dayton,OR,97114, USA,https://maps.google.com/?cid=5093514053383644962,NULL
OPERATIONAL,(541) 310-0317,Devium Wine,ChIJ0ZJoUMwVolQRsaaDZWe8JQo,5.0,2.0,"1460 F St, Walla Walla, WA 99362, USA",http://www.deviumwine.com/,1460 F St,NULL, Walla Walla,WA,99362, USA,https://maps.google.com/?cid=731197666788353713,NULL
OPERATIONAL,(971) 241-9365,Siltstone Wines,ChIJHSsTIGM4lVQRZS9GSCYz2Ic,4.9,19.0,"12251 Southeast Dayton Bypass, OR-18, Dayton, OR 97114, USA",http://www.siltstonewines.com/,12251 Southeast Dayton Bypass OR-18,NULL, Dayton,OR,97114, USA,https://maps.google.com/?cid=9788630029604106085,NULL
OPERATIONAL,(509) 525-9084,Maison Bleue Winery,ChIJCanQdGNqolQRty_7uchwZdY,4.6,14.0,"20N N 2nd Ave, Walla Walla, WA 99362, USA",https://www.maisonbleuewinery.com/?utm_source=gmb&utm_medium=yext,20N N 2nd Ave,NULL, Walla Walla,WA,99362, USA,https://maps.google.com/?cid=15448878104180371383,NULL
OPERATIONAL,(208) 455-7975,Huston Vineyards,ChIJo94fKvPKr1QRU_IoqdcqWy0,4.7,128.0,"16473 Chicken Dinner Rd, Caldwell, ID 83607, USA",https://hustonvineyards.com/,16473 Chicken Dinner Rd,NULL, Caldwell,ID,83607, USA,https://maps.google.com/?cid=3268253060331795027,NULL
OPERATIONAL,(503) 538-3604,Nysa Vineyard,ChIJzad8yzBBlVQRjvK49bq4XIY,4.7,6.0,"18655 NE Trunk Rd, Dundee, OR 97115, USA",https://www.nysavineyard.com/,18655 NE Trunk Rd,NULL, Dundee,OR,97115, USA,https://maps.google.com/?cid=9681816412065690254,NULL
OPERATIONAL,(541) 846-9985,Schmidt Family Vineyards,ChIJTZcGrMeHz1QREdU4H-x6jXE,4.6,147.0,"330 Kubli Rd, Grants Pass, OR 97527, USA",http://www.sfvineyards.com/,330 Kubli Rd,NULL, Grants Pass,OR,97527, USA,https://maps.google.com/?cid=8182331252556748049,NULL
OPERATIONAL,(503) 662-5600,Soter Vineyards Tasting Room,ChIJTU2OG5w4lVQRrDuNGLmBUbM,4.8,131.0,"10880 NE Mineral Springs Rd, Carlton, OR 97111, USA",http://www.sotervineyards.com/,10880 NE Mineral Springs Rd,NULL, Carlton,OR,97111, USA,https://maps.google.com/?cid=12921251437883505580,NULL
OPERATIONAL,(503) 662-4509,ADEA Wine Co,ChIJW5AUu5M9lVQRDbXX8EHOEsw,5.0,14.0,"26421 OR-47, Gaston, OR 97119, USA",http://www.adeawine.com/,26421 OR-47,NULL, Gaston,OR,97119, USA,https://maps.google.com/?cid=14705042515926955277,NULL
OPERATIONAL,(509) 540-5784,Don Carlo Vineyard,ChIJcVTsdKhcolQRKDsSfdYd22w,5.0,3.0,"52874 County Rd, Milton-Freewater, OR 97862, USA",NULL,52874 County Rd,NULL, Milton-Freewater,OR,97862, USA,https://maps.google.com/?cid=7843895983054404392,NULL
OPERATIONAL,(503) 852-3097,Big Table Farm,ChIJUa7JFuU8lVQREp7TUm_IIME,5.0,9.0,"128 S Pine St, Carlton, OR 97111, USA",http://www.bigtablefarm.com/,128 S Pine St,NULL, Carlton,OR,97111, USA,https://maps.google.com/?cid=13916343229031357970,NULL
OPERATIONAL,(503) 554-9572,J. Christopher Wines,ChIJbbKZEVYVlVQRrl9UON9lJCs,4.7,34.0,"17150 NE Hillside Dr, Newberg, OR 97132, USA",http://www.jchristopherwines.com/,17150 NE Hillside Dr,NULL, Newberg,OR,97132, USA,https://maps.google.com/?cid=3108721652189650862,NULL
OPERATIONAL,(503) 866-6741,Styring Vineyards,ChIJOaFw_TQ-lVQRNg0lh9Ww5Ak,4.8,33.0,"19960 NE Ribbon Ridge Rd, Newberg, OR 97132, USA",http://www.styringvineyards.com/,19960 NE Ribbon Ridge Rd,NULL, Newberg,OR,97132, USA,https://maps.google.com/?cid=712889072173255990,NULL
OPERATIONAL,(503) 477-7848,Fullerton Wines,ChIJOdxWwY4NlVQRqwTEexRZfJo,4.9,118.0,"1966 NW Pettygrove St, Portland, OR 97209, USA",https://www.fullertonwines.com/,1966 NW Pettygrove St,NULL, Portland,OR,97209, USA,https://maps.google.com/?cid=11131870323463685291,NULL
OPERATIONAL,(503) 260-7529,Zimri Cellars,ChIJr9eKYPNqlVQRetgzB5Y3i-s,NULL,NULL,"2016 NE Zimri Dr, Newberg, OR 97132, USA",https://zimricellars.com/contact,2016 NE Zimri Dr,NULL, Newberg,OR,97132, USA,https://maps.google.com/?cid=16972720738181306490,NULL
OPERATIONAL,(541) 900-1116,Knostman Family Winery,ChIJn31aPdgZxFQRYjmzce2jTSI,4.6,18.0,"213 Independence Ln, Roseburg, OR 97471, USA",https://www.knostmanfamilywinery.com/?utm_source=google-gmb-maps&utm_medium=gmb-website-button&utm_campaign=locl.io&utm_content=c34803ff-de44-4bb7-b3dc-0d601016904c,213 Independence Ln,NULL, Roseburg,OR,97471, USA,https://maps.google.com/?cid=2471812010706418018,NULL
OPERATIONAL,NULL,Hope Well Vineyard,ChIJ0eUuQHhRlVQRARsCNSh7sGQ,4.0,4.0,"12345 Oak Rd NW, Salem, OR 97304, USA",http://hopewellwine.com/,12345 Oak Rd NW,NULL, Salem,OR,97304, USA,https://maps.google.com/?cid=7255434412312107777,NULL
OPERATIONAL,(503) 956-2256,Lenné Estate,ChIJdd4A2-g-lVQRZln_CrWkt1A,4.8,47.0,"18760 NE Laughlin Rd, Yamhill, OR 97148, USA",http://www.lenneestate.com/,18760 NE Laughlin Rd,NULL, Yamhill,OR,97148, USA,https://maps.google.com/?cid=5816298541252827494,NULL
OPERATIONAL,(503) 538-4700,Chehalem Winery Tasting Room & Wine Bar,ChIJzS1-5tZBlVQRvSDGupP2WSU,4.7,100.0,"106 S Center St, Newberg, OR 97132, USA",https://www.chehalemwines.com/,106 S Center St,NULL, Newberg,OR,97132, USA,https://maps.google.com/?cid=2691453366684754109,NULL
OPERATIONAL,NULL,Gillespie Corners,ChIJDyR7qr09wVQRKe0Oxvbk7S0,3.9,7.0,"Territorial Hwy, Eugene, OR 97405, USA",NULL,Territorial Hwy,NULL, Eugene,OR,97405, USA,https://maps.google.com/?cid=3309553049723137321,NULL
OPERATIONAL,(503) 687-3005,LS Vineyards,ChIJP9i_97inlVQR0_c6AkZYtg4,NULL,NULL,"9675 Hopewell Rd NW, Salem, OR 97304, USA",NULL,9675 Hopewell Rd NW,NULL, Salem,OR,97304, USA,https://maps.google.com/?cid=1060131820000704467,NULL
OPERATIONAL,(503) 341-3618,Six Peaks Winery,ChIJl0lEEscVlVQRQgTF018uAbA,5.0,41.0,"19495 SW Vista Hill Dr, Hillsboro, OR 97123, USA",http://www.sixpeakswine.com/,19495 SW Vista Hill Dr,NULL, Hillsboro,OR,97123, USA,https://maps.google.com/?cid=12682469014761702466,NULL
OPERATIONAL,(541) 636-2990,Civic Winery & Wines,ChIJf25XQ8sfwVQRiOdAGOfk7B4,4.7,55.0,"50 E 11th Ave, Eugene, OR 97401, USA",http://www.civicwinery.com/,50 E 11th Ave,NULL, Eugene,OR,97401, USA,https://maps.google.com/?cid=2228407596837037960,NULL
OPERATIONAL,(503) 702-0537,"Archer Vineyard, Winery & Tasting Room",ChIJD9vkzLJrlVQRqlHx68XS7fU,4.7,60.0,"32230 NE Old Parrett Mountain Rd, Newberg, OR 97132, USA",http://www.archervineyard.com/,32230 NE Old Parrett Mountain Rd,NULL, Newberg,OR,97132, USA,https://maps.google.com/?cid=17721051856281620906,NULL
OPERATIONAL,(503) 368-9463,Nehalem Bay Winery,ChIJGW7zUUrIlFQRZYJFdwXm7uA,4.3,105.0,"34965 OR-53, Nehalem, OR 97131, USA",http://www.nehalembaywinery.com/,34965 OR-53,NULL, Nehalem,OR,97131, USA,https://maps.google.com/?cid=16208145020103262821,NULL
OPERATIONAL,(541) 512-1655,Pebblestone Cellars,ChIJt6GS7s92z1QR66BnUiLAP3w,4.9,36.0,"1670 Pioneer Rd, Talent, OR 97540, USA",http://www.pebblestonecellars.wine/,1670 Pioneer Rd,NULL, Talent,OR,97540, USA,https://maps.google.com/?cid=8953085837879779563,NULL
OPERATIONAL,(503) 538-0666,REX HILL,ChIJV1L9zVFqlVQRXTutScavZ2g,4.5,132.0,"30835 OR-99W, Newberg, OR 97132, USA",http://www.rexhill.com/,30835 OR-99W,NULL, Newberg,OR,97132, USA,https://maps.google.com/?cid=7523174968720178013,NULL
OPERATIONAL,(503) 554-0464,Prive Vineyard,ChIJvREHredqlVQRn02onu8R8CM,4.3,6.0,"28155 NE Bell Rd, Newberg, OR 97132, USA",http://www.privevineyard.com/,28155 NE Bell Rd,NULL, Newberg,OR,97132, USA,https://maps.google.com/?cid=2589589506594721183,NULL
OPERATIONAL,(503) 683-3676,ENSO Winery,ChIJZb21d6OglVQR6kGo7qXXazE,4.6,128.0,"1416 SE Stark St, Portland, OR 97214, USA",http://www.ensowinery.com/,1416 SE Stark St,NULL, Portland,OR,97214, USA,https://maps.google.com/?cid=3561177038040089066,NULL
OPERATIONAL,(503) 852-6100,The Carlton Winemakers Studio,ChIJ2XWKFGA4lVQRoGxbp31lZjU,4.7,58.0,"801 N Scott St, Carlton, OR 97111, USA",http://www.winemakersstudio.com/,801 N Scott St,NULL, Carlton,OR,97111, USA,https://maps.google.com/?cid=3847874521987771552,NULL
OPERATIONAL,(503) 391-9991,Sass Winery,ChIJqVN51pgIwFQRXgapVeN7LCQ,5.0,43.0,"9092 Jackson Hill Rd SE, Salem, OR 97306, USA",http://sasswinery.com/,9092 Jackson Hill Rd SE,NULL, Salem,OR,97306, USA,https://maps.google.com/?cid=2606594500665607774,NULL
OPERATIONAL,(503) 365-8859,Lewman Vineyard,ChIJ52LwnpxUlVQREOqFdOf56R4,5.0,5.0,"6080 Bethel Heights Rd NW, Salem, OR 97304, USA",https://www.lewman-vineyard.com/,6080 Bethel Heights Rd NW,NULL, Salem,OR,97304, USA,https://maps.google.com/?cid=2227586263199115792,NULL
OPERATIONAL,(509) 525-9129,Eleganté Cellars,ChIJU3otJEkVolQResH9oAum1wo,5.0,25.0,"839 C St, Walla Walla, WA 99362, USA",http://elegantecellars.com/,839 C St,NULL, Walla Walla,WA,99362, USA,https://maps.google.com/?cid=781275629247906170,NULL
OPERATIONAL,(503) 584-7256,Chemeketa Cellars,ChIJrWcAWigBwFQRpNXuw3xLJok,5.0,1.0,"215 Doaks Ferry Rd NW, Salem, OR 97304, USA",http://www.chemeketacellars.com/,215 Doaks Ferry Rd NW,NULL, Salem,OR,97304, USA,https://maps.google.com/?cid=9882669431546369444,NULL
OPERATIONAL,(509) 527-8400,Five Star Cellars,ChIJDSl2gwRqolQRNAjzRW4V77c,4.3,15.0,"840 C St, Walla Walla, WA 99362, USA",http://www.fivestarcellars.com/,840 C St,NULL, Walla Walla,WA,99362, USA,https://maps.google.com/?cid=13253835791738800180,NULL
OPERATIONAL,(971) 545-4200,Domaine Willamette,ChIJI4eeVlMDwFQRc2NG5eeVjow,4.7,29.0,"19255 OR-99W, Dayton, OR 97114, USA",https://www.domainewillamette.com/?utm_source=gmb&utm_medium=yext,19255 OR-99W,NULL, Dayton,OR,97114, USA,https://maps.google.com/?cid=10128197435219403635,NULL
OPERATIONAL,(509) 301-5847,Trust Cellars,ChIJqRjEf0kVolQREEtSZ5rCuqM,5.0,6.0,"760 C St, Walla Walla, WA 99362, USA",http://www.trustcellars.com/,760 C St,NULL, Walla Walla,WA,99362, USA,https://maps.google.com/?cid=11797956142264634128,NULL
OPERATIONAL,(503) 550-2027,Tresori Vineyards,ChIJ_5MdCeA_lVQR6_ZAH9o00zw,4.9,21.0,"17940 NE Kings Grade, Newberg, OR 97132, USA",http://www.tresorivineyards.com/,17940 NE Kings Grade,NULL, Newberg,OR,97132, USA,https://maps.google.com/?cid=4382904973793490667,NULL
OPERATIONAL,(541) 399-7928,Phelps Creek,ChIJKdfJJckJllQRVZJ65ZVUMQA,NULL,NULL,"1808 Country Club Rd, Hood River, OR 97031, USA",https://www.phelpscreekvineyards.com/winecountryexperiences,1808 Country Club Rd,NULL, Hood River,OR,97031, USA,https://maps.google.com/?cid=13885276635697749,Signature Tasting on the Vineyard
OPERATIONAL,(503) 974-6524,Domaine 524 & Prophet Vineyard,ChIJc9aFK2JTlVQRmkuBl4ATwt0,5.0,2.0,"6049 Bethel Heights Rd NW, Salem, OR 97304, USA",http://www.domaine524.com/,6049 Bethel Heights Rd NW,NULL, Salem,OR,97304, USA,https://maps.google.com/?cid=15979355870882515866,NULL
OPERATIONAL,NULL,West Wind Vineyard,ChIJc1bzomI_lVQRy7jPuyaltfA,NULL,NULL,"Newberg, OR 97132, USA",NULL,NULL,NULL,Newberg,OR,97132, USA,https://maps.google.com/?cid=17344951125665626315,NULL
OPERATIONAL,(971) 645-3547,Crowley Wines,ChIJL0YTXKQLlVQRkw7Wf46FexA,NULL,NULL,"3511 SW Kanan Dr, Portland, OR 97221, USA",https://crowleywines.com/,3511 SW Kanan Dr,NULL, Portland,OR,97221, USA,https://maps.google.com/?cid=1187689773818842771,NULL
OPERATIONAL,(541) 932-4567,David Hamilton Winery,ChIJDwtqWskJu1QR0mApf_vMths,5.0,4.0,"191 W Main St, Mt Vernon, OR 97865, USA",https://davidhamiltonwinery.com/,191 W Main St,NULL, Mt Vernon,OR,97865, USA,https://maps.google.com/?cid=1997008865327669458,NULL
OPERATIONAL,(503) 538-4110,Evening Land Vineyards,ChIJMfGHd50e7IARRYX0fQqugVc,4.4,35.0,"1326 OR-99W # 100, Dundee, OR 97115, USA",http://www.eveninglandvineyards.com/,1326 OR-99W # 100,NULL, Dundee,OR,97115, USA,https://maps.google.com/?cid=6305512313381487941,NULL
OPERATIONAL,(509) 540-6352,CAVU Cellars,ChIJ4ZSprkEVolQRUCWw-KgbP_s,4.8,31.0,"175 E Aeronca Ave, Walla Walla, WA 99362, USA",http://www.cavucellars.com/,175 E Aeronca Ave,NULL, Walla Walla,WA,99362, USA,https://maps.google.com/?cid=18104219439593432400,NULL
OPERATIONAL,(503) 687-3016,Björnson Vineyard,ChIJtw2z3_ZTlVQRAChCPaRISp8,4.9,100.0,"3635 Bethel Heights Rd NW, Salem, OR 97304, USA",https://bjornsonwine.com/,3635 Bethel Heights Rd NW,NULL, Salem,OR,97304, USA,https://maps.google.com/?cid=11478066470546712576,NULL
OPERATIONAL,(541) 899-7264,Cricket Hill Winery,ChIJN7ztCt2bz1QRnC6ZMmvbyG0,3.3,4.0,"2131 Little Applegate Rd, Jacksonville, OR 97530, USA",http://www.crickethillwinery.com/,2131 Little Applegate Rd,NULL, Jacksonville,OR,97530, USA,https://maps.google.com/?cid=7910813998933159580,NULL
OPERATIONAL,(503) 852-6521,MonksGate Vineyard,ChIJA1bMEThHlVQROhg2IK1M96g,4.9,26.0,"9500 NE Oak Springs Farm Rd, Carlton, OR 97111, USA",https://www.monksgate.com/,9500 NE Oak Springs Farm Rd,NULL, Carlton,OR,97111, USA,https://maps.google.com/?cid=12175284424072894522,NULL
OPERATIONAL,(541) 817-7768,Foon Estate Vineyard,ChIJPY-bBPIXxFQRpGM20MBEjvQ,5.0,10.0,"340 Busenbark Ln, Roseburg, OR 97471, USA",http://www.foonestatevineyard.com/,340 Busenbark Ln,NULL, Roseburg,OR,97471, USA,https://maps.google.com/?cid=17622097986864964516,NULL
OPERATIONAL,(541) 376-0421,Sno Road Winery,ChIJg0Kbhxu5olQR6RnVzz1xp58,4.8,41.0,"111 W Main St, Echo, OR 97826, USA",http://www.snoroadwinery.com/,111 W Main St,NULL, Echo,OR,97826, USA,https://maps.google.com/?cid=11504288283435014633,NULL
OPERATIONAL,(509) 526-0686,Cayuse Vineyards Production Studio,ChIJR7tT2LJcolQRwfg3MovJtyk,4.9,13.0,"53863 Hwy 332, Sunnyside Rd, Milton-Freewater, OR 97862, USA",http://www.cayusevineyards.com/,53863 Hwy 332 Sunnyside Rd,NULL, Milton-Freewater,OR,97862, USA,https://maps.google.com/?cid=3006092875973261505,NULL
OPERATIONAL,(541) 998-2828,Pfeiffer Winery & Tasting Room,ChIJcYSHwo6qwVQRr1MNwzGcWmc,4.8,115.0,"25040 Jaeg Rd, Junction City, OR 97448, USA",https://pfeifferwinery.com/,25040 Jaeg Rd,NULL, Junction City,OR,97448, USA,https://maps.google.com/?cid=7447436671350297519,NULL
