author_name,author_url,language,original_language,profile_photo_url,rating,relative_time_description,text,time,translated,place_id
Emily,https://www.google.com/maps/contrib/116131524404879262805/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu80gFsONIikl5jau8NPV0zGOc18Ub72NmytbFrYsnE=s128-c0x00000000-cc-rp-mo-ba3,5,a year ago,Great fruit wine and regular wine for holidays and every day. Love the cranberry wine!,1605990070,False,ChIJFxlq4W45xFQRofB1FANAgqA
Benjamin Kohles,https://www.google.com/maps/contrib/117321243649316420224/reviews,,,https://lh3.googleusercontent.com/a/ALm5wu0KviFO-0ZbA-gI6PUGCNxiEr4iWec4hopKo2wuSg=s128-c0x00000000-cc-rp-mo,5,4 years ago,,1510184636,False,ChIJVfoLb8wIllQRQqTPzIkSThg
Pat Harding,https://www.google.com/maps/contrib/103889518221043483461/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu_zCjOrDXg5hF_aqy2819QNqV3TRqKfAwIjs-tfWg=s128-c0x00000000-cc-rp-mo,5,3 years ago,"Superb quality, product, knowledge.  Try it , you will anxiously  await your next experience",1558570084,False,ChIJAQAcT5FBolQR0X-6RLStHik
Jackson Bain,https://www.google.com/maps/contrib/102009535047024239905/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu__oM95mGxbIj4nlHj9pyADaR1YoiePqqlhQN7Zdk8=s128-c0x00000000-cc-rp-mo-ba3,5,4 weeks ago,Easily my favorite winery in the valley. The 2017 Pinot is just absolutely amazing. The 2021 is so delicious.. you can’t go wrong here. Wonderful folk .,1664501936,False,ChIJRfynz7YGlVQRmNnm25Qmdao
Karen M,https://www.google.com/maps/contrib/102493021748665247880/reviews,en,en,https://lh3.googleusercontent.com/a/ALm5wu1XLmPoLCLGXRdzvjjIsy0clfSMii7woB0Za1Fc=s128-c0x00000000-cc-rp-mo-ba4,5,3 months ago,"Excellent!!  The way it's organized, it's not too crowded.  The grounds are immaculate & beautiful.  A wonderful place to relax with a glass of wine!  We each did the wine tasting.   What I liked was there was no pressure, just learn about the wine & enjoy it at you own pace... then move on to the  next.  The folks there were so pleasant & nice!
We each brought home a bottle of pinot noir & their Rosè.  We'll do this again!",1656808582,False,ChIJy7gJV3BwlVQRIxiZ0HePMbQ
John Woodmansee,https://www.google.com/maps/contrib/100137161809991556641/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu-spy69RiArqMGmSclKWF5e4CpC0daVatcXI3Fhl8g=s128-c0x00000000-cc-rp-mo-ba6,5,4 years ago,They have fabulous wines. And the hospitality is beyond any other winery we visited. Will definitely return here.,1525898274,False,ChIJ0aggqXNqolQRK1KnF6q0JYs
Walter Smith,https://www.google.com/maps/contrib/109461310026838108768/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu9SxeyO4oTuRjX9lfduv2ZExmATH6mtp6Q8oaxVXw=s128-c0x00000000-cc-rp-mo,5,2 weeks ago,Fantastic wine tasting with Sara. As an FYI they do not require proof of vaccination. So those are older reviews. Beautiful views while having a great selection of wines as Sara provided a history of the winery and of each tasting. Excellent burrata dish and an all around enjoyable day at Adelsheim.,1665609794,False,ChIJIz-YbpM_lVQRexwuDEhzCB0
Julie Helgason,https://www.google.com/maps/contrib/115919850188230212999/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu9feQsy7Hq9fwuFUjopyDwXK8d7uy9wqupsf1VJ=s128-c0x00000000-cc-rp-mo,5,3 years ago,Best Pinot Noirs in Douglas County! Also the Port is amazing!,1569618105,False,ChIJX0B_1t4ZxFQRsVefqiKvc9I
Nyssa Welliver,https://www.google.com/maps/contrib/102337689548217829074/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu9RwEZ3pNpn0TYqgNTdHWkw7OABbYoCc5QnHn5dAA=s128-c0x00000000-cc-rp-mo,5,3 months ago,Amazing customized experience here. Had an amazing time wine tasting here for my bachelorette weekend. Customer service was first class and their wines were fantastic.,1658857763,False,ChIJ6wvtQJlDolQRo3mXMMFK8MU
Hazel Singer,https://www.google.com/maps/contrib/101866258179570245982/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu_2FTTAjFzT3Sg8D89L-ypm_DatSi5CwtB7XWjiNA=s128-c0x00000000-cc-rp-mo,5,3 years ago,Just LOVE Cayuse!,1554585758,False,ChIJR7tT2LJcolQRwfg3MovJtyk
Vern Munion,https://www.google.com/maps/contrib/114715173362270391337/reviews,en,en,https://lh3.googleusercontent.com/a/ALm5wu17GvICaLhtjYebLmPs464SnLiGCJJ7tpXDEMt_=s128-c0x00000000-cc-rp-mo,5,3 years ago,Wonderful experience. I have discovered tempernio and chocolate. Oreos and milk holds nothing over it.  Great people and great atmosphere. We will be back for sure,1562537211,False,ChIJPY-bBPIXxFQRpGM20MBEjvQ
Joshua Grimes,https://www.google.com/maps/contrib/112536735642843645234/reviews,en,en,https://lh3.googleusercontent.com/a/ALm5wu0fzyTXcfpBT8zseMtiEfDce7padRan_kFhLXmn=s128-c0x00000000-cc-rp-mo,5,a month ago,Wonderful wine and stunning scenery! The crew there are very knowledgeable and provide great service. I always look forward to going back.,1664212970,False,ChIJb6d3LS1wlVQRNYlY_kDNze8
Timothy Smith,https://www.google.com/maps/contrib/101852444213267376293/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu-CiONJ87GrM4laOODJxv6YwAfFH3l7BeuYei8Y0A=s128-c0x00000000-cc-rp-mo-ba4,5,5 years ago,Excellent Tasting Room!! A must stop on your Walla Walla wine tour.  Every Vital purchase helps the industry.,1493504406,False,ChIJX3N-is1DolQR3QBhGXhXRfA
Tom Etheridge,https://www.google.com/maps/contrib/104795829579683315815/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu-80UDH74jnDaPEmsqcq1HQbTlg-HM7AvcFMqiz4g=s128-c0x00000000-cc-rp-mo-ba5,5,4 years ago,"I've been visiting this winery for more than twenty years now. The wines have always been reference points for Oregon wines, the people are wonderful, the setting is beautiful, and the whole experience is very relaxed.  Winery visits just don't get better in my experience.",1534969926,False,ChIJrQ_vQXpVlVQRIVpP-FSvDQ4
Cameron Rowland,https://www.google.com/maps/contrib/116410786171526212430/reviews,en,en,https://lh3.googleusercontent.com/a/ALm5wu1YSyatuk2_KFHQokANNpGoVeDY7CvzTWt1ETk=s128-c0x00000000-cc-rp-mo,5,3 years ago,Great Winery! Very friendly and a good environment to try some wines. The outside seating was fantastic and they provided great service. The pricing is very reasonable. They have outside games as well that are fun to pass the time. Overall its a great environment and you should definitely check it out!,1563912898,False,ChIJ193bfNCp6lQRSpMFXAXMMG0
Vickie Hall,https://www.google.com/maps/contrib/113199952642345277347/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu-Un25FBtUH4r6Ym_OlZMczG-8ndHnOtdAYYvN17A=s128-c0x00000000-cc-rp-mo,5,a year ago,"My sisters and I had a wonderful time visiting Nemarniki Vineyard & Winery last Saturday.  The views from the deck are heavenly, the history that Diane shared with us was so interesting - especially since we had known some of the Nemarnik family.  Diane is following her childhood dream after watching prior family members make wine (for their families).  We were treated to 6 different wines and she patiently explained the difference.  She also had huge sandwiches, nuts, olives, cheese to enjoy during our leisurely wine tasting afternoon.  I HIGHLY recommend this very enjoyable experience.",1624152285,False,ChIJ37RsjNhrlVQRJc7DbLHhIIE
Emily Miersma,https://www.google.com/maps/contrib/115453934127735363169/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu8gsvlZNPrmbaC44XpHMibobib7fF08eY_ScRmd4Q=s128-c0x00000000-cc-rp-mo,5,2 years ago,My favorite winery in the gorge and of all time! Rich makes the best wines. Try the Retro Riesling! My hubby isn't a fan of whites but he likes the retro!,1594776359,False,ChIJp3eA550OllQR5gujRSmfdmA
Jim Boness (PNW_Outdoor_Adventurer),https://www.google.com/maps/contrib/113471372763617252765/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu9UiQshZzjSDasQeeb2fP0Aq84k_jBjqTAnJjot8w=s128-c0x00000000-cc-rp-mo,5,a year ago,"My wife and I went to the winery a few weeks ago with my daughter and her husband and my ex-wife, as part of a larger tour of 4 wineries. The property was pretty. We were taken to the Montana tasting room which was quaint and gorgeous. We had a tasting of 4 wines with a pairing of food for each. The owners were incredibly down-to-earth, friendly and knowledgeable and the wine was AMAZING, especially the Pinot Rose! Boyd made some delicious smoked briquette and Cassandra made a wonderful Cabernet Chocolate Truffle ball.

As a bonus, we got to hear the story of their Hollywood room which was quite interesting and very unexpected. Would highly recommend visiting and we will definitely be going back soon. A hidden gem of Oregon wine!",1626122984,False,ChIJQczporJqlVQRb0uEreTi1u8
Aishwarya S,https://www.google.com/maps/contrib/108226059081117785495/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu84hwnHvw5I1NpzCPYB0X8QlaJhc0v5nijg0Ae5otk=s128-c0x00000000-cc-rp-mo,5,a year ago,"What can I say, except I’m grateful for this place. We had a fabulous time. We went for sunset, drank wine and beer flights, had amazing pizza, and enjoyed the view of the mountain during sunset. The people at this winery were so welcoming and happy to help. After they closed down, we were allowed to spend time in the field until sun went down and we had so much fun that evening. It was hands down the best evening of the trip. A good place, with good vibe and good people always lead to happy memories to cherish forever. Don’t miss this!",1625682416,False,ChIJXSTLXEH9lVQRtUsfz9kHtr4
Shani Italiya,https://www.google.com/maps/contrib/100609807776655621853/reviews,en,en,https://lh3.googleusercontent.com/a/ALm5wu2Cpt6SR-qSNyNryBXz59f-9MIy3eUCKGfxEnko=s128-c0x00000000-cc-rp-mo-ba3,5,5 years ago,"Quiet cozy winery up a dirt road. They've put a lot of effort into the ambiance and the outdoor area. There's a good amount of outside seating with a great little pond and small walking trail. If you're an outdoorsy person, you MUST visit this place. The views are to die for. The wines are typical for the area and the hostess is knowledgeable about the wines as well as other wines in the area.",1505427534,False,ChIJgcBeyek-lVQRkvAZEPovAPI
Jimber mendoza,https://www.google.com/maps/contrib/106863373774962240349/reviews,,,https://lh3.googleusercontent.com/a/ALm5wu0gOaBKFejzyUEC-gN-Puc3_1qsZ1EHhVgo-65L=s128-c0x00000000-cc-rp-mo,5,a year ago,,1617540945,False,ChIJn5MXyjQ9lVQRvfzTTYvgfSI
Carrienelson Nelson,https://www.google.com/maps/contrib/110364128620874922140/reviews,,,https://lh3.googleusercontent.com/a-/ACNPEu8KGUYQjT9wKlgwWW410wK3va_lgWSpoGmVUs79CQ=s128-c0x00000000-cc-rp-mo,3,4 years ago,,1538263406,False,ChIJoaComsxEolQRusda6j36jVw
Danielle Verdugo,https://www.google.com/maps/contrib/101368958219551022828/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu-zQJZzQcoTPZQCWkeHZUzqXLpyTlDblA1uSymV=s128-c0x00000000-cc-rp-mo,5,8 years ago,"A must see and taste!! Wonderful staff, beautiful scenery, and countless wines to die for!! One of my favorite wine clubs as well, as the winery goes above and beyond to make their members feel special!",1407261261,False,ChIJNdln3D05wVQRP5h-7LTPjaI
Samantha Baldyga,https://www.google.com/maps/contrib/104566111866510876649/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu-tKrDHbvzd-Wvi5HwNh9O5wGimbNL7Ib_BktZdjls=s128-c0x00000000-cc-rp-mo-ba6,5,3 months ago,We did not make reservations but the lady let the four of us order a bottle of their bubbly rose and a charcuterie board. The views were so pretty. You could see the valley and the mountains in the far back.,1658084666,False,ChIJu1Dq351UlVQRtlivmyGUTio
Michael Frostbutter,https://www.google.com/maps/contrib/118246198225272358919/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu_ZYXOf58FRG5h-NQtt37KYF957BbZEX5CMp7-zoQ=s128-c0x00000000-cc-rp-mo,3,a month ago,"Beautiful place, great wine…however this is the ONLY winery we have ever been to that did not cover our tasting with a bottle purchase…pretty disappointed :(",1663201438,False,ChIJcYSHwo6qwVQRr1MNwzGcWmc
Monica Smigliani,https://www.google.com/maps/contrib/112201390750269151642/reviews,en,en,https://lh3.googleusercontent.com/a/ALm5wu2LzTw0UJWCOg5SVl5TvGh7_J_uHtbmc7m7ZPft=s128-c0x00000000-cc-rp-mo,5,5 months ago,"I stayed at the vineyard as a Harvest Host member. Lee greeted me, walked me through my tasting and followed up with glasses of what I selected. She was fantastic and really works well with the new and return guests  The Pinotage was my favorite but the Pinot Gris will be perfect for a hot summer day. I had a delicious charcuterie board, sat outside, and walked the vineyard. The property is beautiful. I'd recommend this a stop/stay!",1651516631,False,ChIJYfhpxJ8XxFQRAwkr3wlYVrk
Carl,https://www.google.com/maps/contrib/108772851229796847188/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu_Q3ckVedxxQENFdbVg-NcBq825S67L1ZOXf98r-w=s128-c0x00000000-cc-rp-mo-ba4,5,2 years ago,Superb experience. Great wine as well. Looking forward to our return.,1592096682,False,ChIJz6wYvLhDolQRAe3glSB7T24
Corey,https://www.google.com/maps/contrib/105293822279450352551/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu_dAmwTC4f9F7em4k7r86oJEFTCn-P5Bfj3vsyqIw=s128-c0x00000000-cc-rp-mo-ba3,5,6 months ago,Loved this winery!! It was our favorite out of the 4 we visited yesterday. So pretty and peaceful and the wine  and charcuterie were fantastic as well! I would recommend this one to anyone!,1650775412,False,ChIJT8hzlUwHllQRi9bkzj6LCk0
Bryan Ridgway,https://www.google.com/maps/contrib/113452200992075137843/reviews,en,en,https://lh3.googleusercontent.com/a/ALm5wu01v3GiWUk_ERPZNGKTfvQ60HTExNAu3bzeOa6n=s128-c0x00000000-cc-rp-mo,5,3 years ago,"Amazing, peaceful setting! Tasting room overlooking the pond, grass lawns, Adirondack chairs, goats on the hillside, a couple of great dogs...what more could you ask for? How about some very good wine (love the 2013 Charlotte Pinot Noir) and a great couple that owns and operates the winery. They even made us some artichokes (cut fresh from their garden) to finish off our visit. Highly recommend for anyone looking for a combination of location, atmosphere and wine.",1560184050,False,ChIJL_1chQNOlVQRczMCRVPz81E
John Massi,https://www.google.com/maps/contrib/111982620278455771820/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu8aS9rQm96lnXchSPtNicxffmsbP2BOpDuC3jBbBw=s128-c0x00000000-cc-rp-mo,5,2 months ago,"100% the best vineyard to visit. They wine and dine you, the owner talks with you, and they cater to you like you're royalty.",1660442023,False,ChIJHS4R2bRDolQRmcn4y57rjdI
Josey Wales,https://www.google.com/maps/contrib/114216950485598486330/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu_2eYKocApdqhypsncohujG5ifZexPuIKYkE6_V=s128-c0x00000000-cc-rp-mo-ba4,5,a month ago,"Nice wine, friendly staff. Great views at the location. BYO food.",1662562753,False,ChIJ96FgVUcMllQRfcS4ZgR5N5A
Ruben Mendez,https://www.google.com/maps/contrib/105052744564724900649/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu_002tpwytYT17b8qMx5l_eSDc2Pv3r2oDxSPWj1A=s128-c0x00000000-cc-rp-mo,5,a year ago,"Wow, outstanding hospitality and fantastic wines. I bought a few while visiting and ordered more online once I got back home. There was some problems with my online order and shipping was slower than I hoped for, but as I didn't pay the over night option, the wines still arrived with in 1 week. I emailed a few times and they were quick to respond. But when the wine still hadn't arrived, I phoned them. I have to admit, I was in a bad mood when I called to complain. Even so, the sales manager took time to look at all the options and politely explain the situation. Bravo.",1620055896,False,ChIJCXcSpHBVlVQRDkcuSQoxiBg
Heather Campbell,https://www.google.com/maps/contrib/108976582820745490238/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu8ry2pIC2-hqm4PnQ7QcuAd1rO_yvFyso14_95-Uw=s128-c0x00000000-cc-rp-mo,5,a month ago,Love this spot! All of their wines are delicious and you can even play bocce ball while you wine taste. Spencer is the absolute best. He always takes over-the-top care of us. A must stop!,1662671720,False,ChIJFZqCFhfilFQR3HKCLuKSDt0
Tarah Olson,https://www.google.com/maps/contrib/111328470856420089185/reviews,en,en,https://lh3.googleusercontent.com/a/ALm5wu2SI26_MrvOxEs6tAj5hh4nhKuAZKed_JjJBCqz=s128-c0x00000000-cc-rp-mo-ba3,5,4 months ago,Such a beautiful location! The wine was delicious and flavorful! Everything was AMAZING! Will definitely recommend and will come back!,1654375031,False,ChIJg_P1G49MlVQRGBGVd5SC3f4
SD gamer,https://www.google.com/maps/contrib/111338815854563005679/reviews,en,en,https://lh3.googleusercontent.com/a/ALm5wu2JAmNCAR06GyjuYjOv-VxbpSPG57TLvdEjSJXB=s128-c0x00000000-cc-rp-mo,5,6 years ago,"Small, out of the way winery. So worth the visit. Small tasting room and parking so can't accommodate many people. We went on a Saturday in the winter and were the only ones there. Many locals had never even heard of this winery but you simply can't miss it! We loved every single wine we tasted (they don't charge for tastings) and took home several bottles. Debra, who was pouring, was exceptionally knowledgeable and friendly. She even whipped up some dip and crackers for us to nibble on (made with their own mustard). We could have stayed for hours.",1454696663,False,ChIJ5yZ9S6A_xFQRKPmBim_gPkU
Anna Louise,https://www.google.com/maps/contrib/113297056683818296480/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu94Emx76XFdUKitibQc6FwnLfNwFFMerDLQ5LVK8Zw=s128-c0x00000000-cc-rp-mo-ba4,5,a year ago,"What a great place!  Open, industrial chic tasting room, FABULOUS wines and our hostess, Andrea was amazing.  She made the whole experience wonderful!  Definitely recommend☆",1629081797,False,ChIJT9CPLikjxFQRoXcXJ_Ps4SA
Flaco Gutierrez,https://www.google.com/maps/contrib/101983115128821070419/reviews,,,https://lh3.googleusercontent.com/a/ALm5wu2gPOUA7eKH-uRSbTMTWVkL51p6Ik2uLP0LzYoV=s128-c0x00000000-cc-rp-mo,5,2 years ago,,1599074247,False,ChIJhb0xFssWolQRaVb4OItxb7c
foodinyourfaceable,https://www.google.com/maps/contrib/103162228424781573332/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu_Uw_14alucQzCXgdFD937UC3DQiohs1lfzM0HeXQ=s128-c0x00000000-cc-rp-mo-ba4,5,4 years ago,"Fantastic tasting room!  Great place to stoo for small bites and a few samples of local wines. For the cheese-o-philes, these plates are made for you.  The servers have extensive knowledge of the wines and tasting notes.",1526175630,False,ChIJY4qS1W4OllQRvAyS2AuKE98
galby68,https://www.google.com/maps/contrib/113970663104612387764/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu9lbivydBXHH8QO2Ex-Ah2Vhxbyc_3sx4vz2hof2w=s128-c0x00000000-cc-rp-mo-ba4,5,2 months ago,"Hottest day of the year (at that point)?
Sure, I’ll sit outside for a flight of wine!
I was a guest of a member and it was an experience that made me weight joining up myself…and I live 3 hours away!
The wine was great!  The service was attentive enough and knowledgeable without detracting from my visit with the members that invited me.  Just what I want when trying new wines: enough time to get the story and then enjoy the wine.  Too many wineries are too busy to take that time, so this stands out.",1659628314,False,ChIJAUHFvzLGuFQRqIyCskVir5c
Rayme Richardson,https://www.google.com/maps/contrib/105676499928171016946/reviews,en,en,https://lh3.googleusercontent.com/a/ALm5wu1p5ZvqjJLGhVL4N50VuiiWmHejkVOXffHzyges=s128-c0x00000000-cc-rp-mo,5,a year ago,My husband and I were passing through Oakland on Valentine's Day and Betty welcomed us warmly to a tasting. It was great learning about how the winery came into her life and seeing all the historical features of the tasting room (building used to be a bank- she still has the original vault door). Her 2016 Tempernillo was our favorite! We will be going back :),1613349235,False,ChIJS0gyItKnxlQRvbp71fZyR8g
Sharon Jackson,https://www.google.com/maps/contrib/104157023450274876534/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu92XM1QDN_Z0u6P8qxKvtgrYZMDbmNPGFxrzAEQHw=s128-c0x00000000-cc-rp-mo,3,11 months ago,"I heard a lot of good things for this winery and was really looking forward to coming.  When we first entered the door the person greeting us seemed annoyed that we were there.  She immediately asked us for our vaccine card.  I don’t want to make this about whether you should or should not be vaccinated but it was apparent it was very important for this winery.  It took me aback that this small place asked me for my card since no other place of business (winery or restaurant) has ever asked me for my card.  As I was messaging another friend that they needed a card this same person asked me if that’s what I was doing. It took all of me to tell her it was none of her business.

We get to the wine tasting part and we have a different person handing that.  He was very personable and made the experience much better.  The wine is good but if you buy a bottle the tasting fee ($25) is not waived.  Just an FYI.  I did end up buying their sparkling because it was delicious.

As a side note, there is a sign in the bathroom that tells you how to wash your hands, to use the towel to open the door and where to put the towel.  It made me feel like a kindergartner.",1636329051,False,ChIJRQkXUR9BlVQRWxxQPPIxONE
Me llamo Tequila,https://www.google.com/maps/contrib/100713060632480049252/reviews,en,en,https://lh3.googleusercontent.com/a/ALm5wu3lh3bT7Xxci2rupJNrRnbmdM8Ixx4rmjAxLcOV=s128-c0x00000000-cc-rp-mo,5,2 months ago,"My wife and I had a fantastic experience at Colene Clemens Vineyards. We can't say enough about Andy as a host. He walked us through each and every wine (and a couple extras), and we loved all of them. We also bonded over our Virginia roots. Hope to come back to the area soon! Love from the Alexandria couple.",1660001301,False,ChIJEbWuNRg-lVQREYS4i0er0hU
Kar-Wing Ho,https://www.google.com/maps/contrib/102230395485097468518/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu9Sys6M34mVay3JhnI0Kyerkb0rlng461D87o9rUQ=s128-c0x00000000-cc-rp-mo-ba5,5,a month ago,"This place is going to be beautiful!!! The sneak peek with the 6 tasting stations let us explore the property. Showcasing cellar rooms, estate tasting rooms, and patio outside seating with exquisite views and landscaping.

As for the wine, the brut rose and chrysologue stood out for us.",1662765851,False,ChIJI4eeVlMDwFQRc2NG5eeVjow
Spencer Beaman,https://www.google.com/maps/contrib/114665629557904853444/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu-8FY0hw0gkALSV-DUSLDC-SuDwriOuTQ1LRhmaImA=s128-c0x00000000-cc-rp-mo,5,a year ago,"Fantastic wines!  John and Jody were perfect hosts, and we thoroughly enjoyed our visit.  The view was just perfect as well.  Will definitely be back!",1627081357,False,ChIJH5hqgbuz6lQRAlU-UUdpdXc
Jose Garcia,https://www.google.com/maps/contrib/117360490989813776606/reviews,en-US,es,https://lh3.googleusercontent.com/a-/ACNPEu_7CTEvXu4M_w_G6SltQaagjcm4c4Afnz12UsP8Ig=s128-c0x00000000-cc-rp-mo,5,a year ago,Good place is my work area I really liked the place,1622902653,True,ChIJUw6m_hhBolQRU6eN4qJ4dZQ
Jin Lee,https://www.google.com/maps/contrib/112110280838076500479/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu8oWe0cY5QJi79l4RLNmPcp9wv5OsORavpLg2C-luA=s128-c0x00000000-cc-rp-mo-ba4,5,10 months ago,amazing christmas deco especially its ceiling! Mulled wine ($5) was so great,1639464405,False,ChIJ6bxBl4wfwVQRRmqBIq9G-u0
