price,rating,title,source,designation,winery,category,vintage,ava,region,province,country,varietal
,88,J. Christopher 2020 Cristo Irresisto Oregon Pink Wine Rosé (Oregon),Wine Enthusiast,Cristo Irresisto Oregon Pink Wine,J. Christopher,Rose,2020,,Oregon Other,Oregon,US,Rosé
$23,88,Chris Baker 2020 Pinot Gris (Willamette Valley),Wine Enthusiast,,Chris Baker,White,2020,Willamette Valley,Willamette Valley,Oregon,US,Pinot Gris
$35,87,Big Red Barn 2018 Pinot Noir (Willamette Valley),Wine Enthusiast,,Big Red Barn,Red,2018,Willamette Valley,Willamette Valley,Oregon,US,Pinot Noir
$30,86,Big Red Barn 2020 Chardonnay (Willamette Valley),Wine Enthusiast,,Big Red Barn,White,2020,Willamette Valley,Willamette Valley,Oregon,US,Chardonnay
$33,86,Scott Kelley 2020 Chardonnay (Oregon),Wine Enthusiast,,Scott Kelley,White,2020,,Oregon Other,Oregon,US,Chardonnay
$22,85,Elouan 2019 Pinot Noir (Oregon),Wine Enthusiast,,Elouan,Red,2019,,Oregon Other,Oregon,US,Pinot Noir
$40,95,Shea 2018 Chardonnay (Willamette Valley),Wine Enthusiast,,Shea,White,2018,Willamette Valley,Willamette Valley,Oregon,US,Chardonnay
$35,95,Drouhin Oregon Roserock 2019 Chardonnay (Eola-Amity Hills),Wine Enthusiast,,Drouhin Oregon Roserock,White,2019,Eola-Amity Hills,Willamette Valley,Oregon,US,Chardonnay
$65,93,Drouhin Oregon Roserock 2018 Zéphirine Pinot Noir (Eola-Amity Hills),Wine Enthusiast,Zéphirine,Drouhin Oregon Roserock,Red,2018,Eola-Amity Hills,Willamette Valley,Oregon,US,Pinot Noir
$45,93,Shea 2018 Estate Pinot Noir (Willamette Valley),Wine Enthusiast,Estate,Shea,Red,2018,Willamette Valley,Willamette Valley,Oregon,US,Pinot Noir
$28,92,David Paige 2020 RPG Vineyard Pinot Blanc (Eola-Amity Hills),Wine Enthusiast,RPG Vineyard,David Paige,White,2020,Eola-Amity Hills,Willamette Valley,Oregon,US,Pinot Blanc
$40,92,King Estate 2017 Brut Cuvée Méthode Champenoise Sparkling (Willamette Valley),Wine Enthusiast,Brut Cuvée Méthode Champenoise,King Estate,Sparkling,2017,Willamette Valley,Willamette Valley,Oregon,US,Sparkling Blend
$50,92,King Estate 2018 Crater View Vineyard & Seven Hills Vineyard Grenache-Syrah-Mourvèdre Red (Oregon),Wine Enthusiast,Crater View Vineyard & Seven Hills Vineyard Grenache-Syrah-Mourvèdre,King Estate,Red,2018,,Oregon Other,Oregon,US,Rhône-style Red Blend
$35,92,Averaen 2019 Flood Line Pinot Noir (Eola-Amity Hills),Wine Enthusiast,Flood Line,Averaen,Red,2019,Eola-Amity Hills,Willamette Valley,Oregon,US,Pinot Noir
$55,92,Left Coast 2015 Estate Blanc de Noir Sparkling (Van Duzer Corridor),Wine Enthusiast,Estate Blanc de Noir,Left Coast,Sparkling,2015,Van Duzer Corridor,Willamette Valley,Oregon,US,Sparkling Blend
$40,91,Ricochet 2019 Pinot Noir (Willamette Valley),Wine Enthusiast,,Ricochet,Red,2019,Willamette Valley,Willamette Valley,Oregon,US,Pinot Noir
$21,90,Ricochet 2020 Grüner Veltliner (Willamette Valley),Wine Enthusiast,,Ricochet,White,2020,Willamette Valley,Willamette Valley,Oregon,US,Grüner Veltliner
$28,89,Sokol Blosser 2020 Evolution Pinot Noir (Oregon),Wine Enthusiast,Evolution,Sokol Blosser,Red,2020,,Oregon Other,Oregon,US,Pinot Noir
$24,87,Ricochet 2020 Red (Oregon),Wine Enthusiast,,Ricochet,Red,2020,,Oregon Other,Oregon,US,Red Blends
$250,96,The Eyrie Vineyards 2016 The Eyrie South Block Pinot Noir (Dundee Hills),Wine Enthusiast,The Eyrie South Block,The Eyrie Vineyards,Red,2016,Dundee Hills,Willamette Valley,Oregon,US,Pinot Noir
$45,94,The Eyrie Vineyards 2018 Estate Pinot Noir (Dundee Hills),Wine Enthusiast,Estate,The Eyrie Vineyards,Red,2018,Dundee Hills,Willamette Valley,Oregon,US,Pinot Noir
$45,88,Dough 2018 Pinot Noir (Willamette Valley),Wine Enthusiast,,Dough,Red,2018,Willamette Valley,Willamette Valley,Oregon,US,Pinot Noir
$22,86,Dough 2020 Pinot Noir (Oregon),Wine Enthusiast,,Dough,Red,2020,,Oregon Other,Oregon,US,Pinot Noir
$80,94,Argyle 2010 Extended Tirage Brut Sparkling (Willamette Valley),Wine Enthusiast,Extended Tirage Brut,Argyle,Sparkling,2010,Willamette Valley,Willamette Valley,Oregon,US,Sparkling Blend
$30,91,Abacela 2018 Grenache (Umpqua Valley),Wine Enthusiast,,Abacela,Red,2018,Umpqua Valley,Southern Oregon,Oregon,US,Grenache
$32,90,Valcan 2017 El Torero Tempranillo (Rogue Valley),Wine Enthusiast,El Torero,Valcan,Red,2017,Rogue Valley,Southern Oregon,Oregon,US,Tempranillo
$14,90,Willamette Valley Vineyards 2020 Riesling (Willamette Valley),Wine Enthusiast,,Willamette Valley Vineyards,White,2020,Willamette Valley,Willamette Valley,Oregon,US,Riesling
$40,89,Faith Hope & Charity 2019 La Crescent (Oregon),Wine Enthusiast,,Faith Hope & Charity,White,2019,,Oregon Other,Oregon,US,La Crescent
$40,86,Faith Hope & Charity 2018 Frontenac (Oregon),Wine Enthusiast,,Faith Hope & Charity,Red,2018,,Oregon Other,Oregon,US,Frontenac
$35,85,Division 2018 Redford-Wetle Vineyard Renardière Gamay Noir (Eola-Amity Hills),Wine Enthusiast,Redford-Wetle Vineyard Renardière,Division,Red,2018,Eola-Amity Hills,Willamette Valley,Oregon,US,Gamay Noir
$50,92,Audeant 2019 Rosé of Pinot Noir (Willamette Valley),Wine Enthusiast,Rosé of,Audeant,Rose,2019,Willamette Valley,Willamette Valley,Oregon,US,Pinot Noir
$28,92,Remotion 2018 Celestina Vineyard Barbera (Rogue Valley),Wine Enthusiast,Celestina Vineyard,Remotion,Red,2018,Rogue Valley,Southern Oregon,Oregon,US,Barbera
$60,92,Guarachi Family 2018 Fern Creek Vineyard Pinot Noir (Oregon),Wine Enthusiast,Fern Creek Vineyard,Guarachi Family,Red,2018,,Oregon Other,Oregon,US,Pinot Noir
$35,91,The Great Oregon Wine Company 2017 Delaney Vineyard Pinot Noir (Willamette Valley),Wine Enthusiast,Delaney Vineyard,The Great Oregon Wine Company,Red,2017,Willamette Valley,Willamette Valley,Oregon,US,Pinot Noir
$60,91,The Great Oregon Wine Company 2018 Front Yard Vineyard Pinot Noir (Willamette Valley),Wine Enthusiast,Front Yard Vineyard,The Great Oregon Wine Company,Red,2018,Willamette Valley,Willamette Valley,Oregon,US,Pinot Noir
$28,91,Argyle 2017 Vintage Brut Sparkling (Willamette Valley),Wine Enthusiast,Vintage Brut,Argyle,Sparkling,2017,Willamette Valley,Willamette Valley,Oregon,US,Sparkling Blend
$50,91,Résonance 2018 Hyland Vineyard Chardonnay (McMinnville),Wine Enthusiast,Hyland Vineyard,Résonance,White,2018,McMinnville,Willamette Valley,Oregon,US,Chardonnay
$60,90,The Great Oregon Wine Company 2018 Cattrall Vineyard Pinot Noir (Eola-Amity Hills),Wine Enthusiast,Cattrall Vineyard,The Great Oregon Wine Company,Red,2018,Eola-Amity Hills,Willamette Valley,Oregon,US,Pinot Noir
$60,90,The Great Oregon Wine Company 2018 Willow Creek Vineyard Pinot Noir (Willamette Valley),Wine Enthusiast,Willow Creek Vineyard,The Great Oregon Wine Company,Red,2018,Willamette Valley,Willamette Valley,Oregon,US,Pinot Noir
$22,90,Iris Vineyards 2019 Pinot Noir (Willamette Valley),Wine Enthusiast,,Iris Vineyards,Red,2019,Willamette Valley,Willamette Valley,Oregon,US,Pinot Noir
$21,88,Mignanelli 2019 Pinot Gris (Willamette Valley),Wine Enthusiast,,Mignanelli,White,2019,Willamette Valley,Willamette Valley,Oregon,US,Pinot Gris
$19,88,Wine by Joe 2018 Pinot Noir (Oregon),Wine Enthusiast,,Wine by Joe,Red,2018,,Oregon Other,Oregon,US,Pinot Noir
$43,87,Awen 2017 Sangiovese (Rogue Valley),Wine Enthusiast,,Awen,Red,2017,Rogue Valley,Southern Oregon,Oregon,US,Sangiovese
$28,87,RoxyAnn 2017 Tempranillo (Rogue Valley),Wine Enthusiast,,RoxyAnn,Red,2017,Rogue Valley,Southern Oregon,Oregon,US,Tempranillo
$32,86,RoxyAnn 2017 Petite Sirah (Rogue Valley),Wine Enthusiast,,RoxyAnn,Red,2017,Rogue Valley,Southern Oregon,Oregon,US,Petite Sirah
$42,92,Analemma 2018 Grenache (Columbia Gorge (OR)),Wine Enthusiast,,Analemma,Red,2018,Columbia Gorge (OR),Oregon Other,Oregon,US,Grenache
$35,92,Spangler 2016 Khayam's Block Dolcetto (Umpqua Valley),Wine Enthusiast,Khayam's Block,Spangler,Red,2016,Umpqua Valley,Southern Oregon,Oregon,US,Dolcetto
$35,91,Ken Wright 2019 AVA Pinot Noir (Eola-Amity Hills),Wine Enthusiast,AVA,Ken Wright,Red,2019,Eola-Amity Hills,Willamette Valley,Oregon,US,Pinot Noir
$18,90,Jezebel 2019 Pinot Noir (Oregon),Wine Enthusiast,,Jezebel,Red,2019,,Oregon Other,Oregon,US,Pinot Noir
$14,89,Christopher Michael 2018 Pinot Gris (Oregon),Wine Enthusiast,,Christopher Michael,White,2018,,Oregon Other,Oregon,US,Pinot Gris
$18,88,Leah Jørgensen Cellars 2018 Nisse+Hygge Red Table Wine Red (Oregon),Wine Enthusiast,Nisse+Hygge Red Table Wine,Leah Jørgensen Cellars,Red,2018,,Oregon Other,Oregon,US,Red Blends
$65,96,Roco 2017 RMS Brut Sparkling (Willamette Valley),Wine Enthusiast,RMS Brut,Roco,Sparkling,2017,Willamette Valley,Willamette Valley,Oregon,US,Sparkling Blend
$60,95,Hyland 2018 Coury Old Vine Single Clone Pinot Noir (McMinnville),Wine Enthusiast,Coury Old Vine Single Clone,Hyland,Red,2018,McMinnville,Willamette Valley,Oregon,US,Pinot Noir
$44,92,Dancin 2018 Sorella 60th Barbera (Rogue Valley),Wine Enthusiast,Sorella 60th,Dancin,Red,2018,Rogue Valley,Southern Oregon,Oregon,US,Barbera
$75,91,Paul O'Brien 2016 Il Rinnegati Red (Southern Oregon),Wine Enthusiast,Il Rinnegati,Paul O'Brien,Red,2016,,Southern Oregon,Oregon,US,Red Blends
$60,91,Handpicked 2018 La Colina Vineyard Pinot Noir (Willamette Valley),Wine Enthusiast,La Colina Vineyard,Handpicked,Red,2018,Willamette Valley,Willamette Valley,Oregon,US,Pinot Noir
$32,90,Paul O'Brien 2018 G-S-M (Southern Oregon),Wine Enthusiast,,Paul O'Brien,Red,2018,,Southern Oregon,Oregon,US,G-S-M
$18,88,Josh Cellars 2019 Oregon Reserve Pinot Noir (Oregon),Wine Enthusiast,Oregon Reserve,Josh Cellars,Red,2019,,Oregon Other,Oregon,US,Pinot Noir
$36,88,Delfino 2018 Tempranillo (Umpqua Valley),Wine Enthusiast,,Delfino,Red,2018,Umpqua Valley,Southern Oregon,Oregon,US,Tempranillo
$24,88,J. Scott Cellars 2019 Chenin Blanc (Rogue Valley),Wine Enthusiast,,J. Scott Cellars,White,2019,Rogue Valley,Southern Oregon,Oregon,US,Chenin Blanc
$38,85,Delfino 2018 Zinfandel (Umpqua Valley),Wine Enthusiast,,Delfino,Red,2018,Umpqua Valley,Southern Oregon,Oregon,US,Zinfandel
$65,96,Dion 2018 Old Vines Pinot Noir (Chehalem Mountains),Wine Enthusiast,Old Vines,Dion,Red,2018,Chehalem Mountains,Willamette Valley,Oregon,US,Pinot Noir
$40,95,Day 2018 Belle Pente Vineyard Chardonnay (Yamhill-Carlton),Wine Enthusiast,Belle Pente Vineyard,Day,White,2018,Yamhill-Carlton,Willamette Valley,Oregon,US,Chardonnay
$21,93,The Eyrie Vineyards 2018 Pinot Gris (Dundee Hills),Wine Enthusiast,,The Eyrie Vineyards,White,2018,Dundee Hills,Willamette Valley,Oregon,US,Pinot Gris
$28,92,Rex Hill 2019 Pinot Noir Rosé (Willamette Valley),Wine Enthusiast,Pinot Noir,Rex Hill,Rose,2019,Willamette Valley,Willamette Valley,Oregon,US,Rosé
$65,92,Abbott Claim 2018 Chardonnay (Willamette Valley),Wine Enthusiast,,Abbott Claim,White,2018,Willamette Valley,Willamette Valley,Oregon,US,Chardonnay
$44,90,The Great Oregon Wine Company 2016 Coles Valley Vineyard Blanc de Noir Sparkling (Umpqua Valley),Wine Enthusiast,Coles Valley Vineyard Blanc de Noir,The Great Oregon Wine Company,Sparkling,2016,Umpqua Valley,Southern Oregon,Oregon,US,Sparkling Blend
$30,88,The Great Oregon Wine Company 2018 Pinot Noir (Willamette Valley),Wine Enthusiast,,The Great Oregon Wine Company,Red,2018,Willamette Valley,Willamette Valley,Oregon,US,Pinot Noir
$45,88,The Eyrie Vineyards 2016 Melon de Bourgogne (Dundee Hills),Wine Enthusiast,,The Eyrie Vineyards,White,2016,Dundee Hills,Willamette Valley,Oregon,US,Melon de Bourgogne
$20,88,Acrobat 2018 Pinot Noir (Oregon),Wine Enthusiast,,Acrobat,Red,2018,,Oregon Other,Oregon,US,Pinot Noir
$30,87,The Great Oregon Wine Company 2018 Coles Valley Vineyard Pinot Noir (Umpqua Valley),Wine Enthusiast,Coles Valley Vineyard,The Great Oregon Wine Company,Red,2018,Umpqua Valley,Southern Oregon,Oregon,US,Pinot Noir
$24,87,The Great Oregon Wine Company 2019 La Chouette Vineyard Pinot Gris (Willamette Valley),Wine Enthusiast,La Chouette Vineyard,The Great Oregon Wine Company,White,2019,Willamette Valley,Willamette Valley,Oregon,US,Pinot Gris
$22,85,Dough 2019 Pinot Noir (Oregon),Wine Enthusiast,,Dough,Red,2019,,Oregon Other,Oregon,US,Pinot Noir
$80,93,Geodesy 2018 Chehalem Mountain Vineyard Pinot Noir (Chehalem Mountains),Wine Enthusiast,Chehalem Mountain Vineyard,Geodesy,Red,2018,Chehalem Mountains,Willamette Valley,Oregon,US,Pinot Noir
$38,93,Talent 2017 Petit Verdot (Oregon),Wine Enthusiast,,Talent,Red,2017,,Oregon Other,Oregon,US,Petit Verdot
$70,91,El Pino Club 2018 Funky Jory Pinot Noir (Dundee Hills),Wine Enthusiast,Funky Jory,El Pino Club,Red,2018,Dundee Hills,Willamette Valley,Oregon,US,Pinot Noir
$20,91,Panther Creek 2019 Pinot Gris (Willamette Valley),Wine Enthusiast,,Panther Creek,White,2019,Willamette Valley,Willamette Valley,Oregon,US,Pinot Gris
$50,91,Toil Oregon 2018 Pinot Noir (Willamette Valley),Wine Enthusiast,,Toil Oregon,Red,2018,Willamette Valley,Willamette Valley,Oregon,US,Pinot Noir
$15,90,Eola Hills 2017 Chardonnay (Oregon),Wine Enthusiast,,Eola Hills,White,2017,,Oregon Other,Oregon,US,Chardonnay
$39,86,Oregon Mountain Estate 2016 Natasha Skov Pinot Noir (Columbia Valley (OR)),Wine Enthusiast,Natasha Skov,Oregon Mountain Estate,Red,2016,Columbia Valley (OR),Oregon Other,Oregon,US,Pinot Noir
$39,85,Oregon Mountain Estate 2016 Griffin Martin Pinot Noir (Columbia Valley (OR)),Wine Enthusiast,Griffin Martin,Oregon Mountain Estate,Red,2016,Columbia Valley (OR),Oregon Other,Oregon,US,Pinot Noir
$50,94,Blakeslee 2016 Estate Reserve Select Cluster Pinot Noir (Chehalem Mountains),Wine Enthusiast,Estate Reserve Select Cluster,Blakeslee,Red,2016,Chehalem Mountains,Willamette Valley,Oregon,US,Pinot Noir
$28,93,Hyland 2019 Old Vine Single Vineyard Riesling (McMinnville),Wine Enthusiast,Old Vine Single Vineyard,Hyland,White,2019,McMinnville,Willamette Valley,Oregon,US,Riesling
$22,93,Antiquum Farm 2019 Daisy Pinot Gris (Willamette Valley),Wine Enthusiast,Daisy,Antiquum Farm,White,2019,Willamette Valley,Willamette Valley,Oregon,US,Pinot Gris
$85,92,Domaine Serene 2017 Grand Cheval Oregon Red Wine Pinot Noir-Syrah (Oregon),Wine Enthusiast,Grand Cheval Oregon Red Wine,Domaine Serene,Red,2017,,Oregon Other,Oregon,US,Pinot Noir-Syrah
$65,92,Maggy Hawk 2018 Jory Hills Vineyard Pinot Noir (Dundee Hills),Wine Enthusiast,Jory Hills Vineyard,Maggy Hawk,Red,2018,Dundee Hills,Willamette Valley,Oregon,US,Pinot Noir
$65,92,Nicolas-Jay 2017 Pinot Noir (Willamette Valley),Wine Enthusiast,,Nicolas-Jay,Red,2017,Willamette Valley,Willamette Valley,Oregon,US,Pinot Noir
$36,91,Patton Valley 2019 Chenin Blanc (Willamette Valley),Wine Enthusiast,,Patton Valley,White,2019,Willamette Valley,Willamette Valley,Oregon,US,Chenin Blanc
$68,90,Ancien 2017 Shea Vineyard Pinot Noir (Oregon),Wine Enthusiast,Shea Vineyard,Ancien,Red,2017,,Oregon Other,Oregon,US,Pinot Noir
$14,89,Wine by Joe 2019 Chardonnay (Oregon),Wine Enthusiast,,Wine by Joe,White,2019,,Oregon Other,Oregon,US,Chardonnay
$19,87,Wine by Joe 2017 Pinot Noir (Oregon),Wine Enthusiast,,Wine by Joe,Red,2017,,Oregon Other,Oregon,US,Pinot Noir
$18,90,Valcan 2017 Pièce Chardonnay (Willamette Valley),Wine Enthusiast,Pièce,Valcan,White,2017,Willamette Valley,Willamette Valley,Oregon,US,Chardonnay
$75,96,Domaine Drouhin Oregon 2018 Édition Limitée Chardonnay (Dundee Hills),Wine Enthusiast,Édition Limitée,Domaine Drouhin Oregon,White,2018,Dundee Hills,Willamette Valley,Oregon,US,Chardonnay
$20,92,Soléna 2019 Pinot Gris (Willamette Valley),Wine Enthusiast,,Soléna,White,2019,Willamette Valley,Willamette Valley,Oregon,US,Pinot Gris
$24,92,Left Coast 2019 White Pinot Noir (Van Duzer Corridor),Wine Enthusiast,White,Left Coast,White,2019,Van Duzer Corridor,Willamette Valley,Oregon,US,Pinot Noir
$35,91,2Plank 2016 Reserve Pinot Noir (Oregon),Wine Enthusiast,Reserve,2Plank,Red,2016,,Oregon Other,Oregon,US,Pinot Noir
$24,91,King Estate 2018 Foris Vineyard Pinot Blanc (Rogue Valley),Wine Enthusiast,Foris Vineyard,King Estate,White,2018,Rogue Valley,Southern Oregon,Oregon,US,Pinot Blanc
$50,90,Willamette Valley Vineyards 2017 Vintage 44 Pinot Noir (Willamette Valley),Wine Enthusiast,Vintage 44,Willamette Valley Vineyards,Red,2017,Willamette Valley,Willamette Valley,Oregon,US,Pinot Noir
$86,88,Hamilton Russell Oregon 2018 Zena Crown Pinot Noir (Eola-Amity Hills),Wine Enthusiast,Zena Crown,Hamilton Russell Oregon,Red,2018,Eola-Amity Hills,Willamette Valley,Oregon,US,Pinot Noir
$28,87,King Estate 2018 Crater View Vineyard Semillon (Rogue Valley),Wine Enthusiast,Crater View Vineyard,King Estate,White,2018,Rogue Valley,Southern Oregon,Oregon,US,Sémillon
$45,86,Elouan 2017 Klamath's Kettle Reserve Pinot Noir (Oregon),Wine Enthusiast,Klamath's Kettle Reserve,Elouan,Red,2017,,Oregon Other,Oregon,US,Pinot Noir
$75,93,Adelsheim 2016 Ribbon Springs Vineyard Pinot Noir (Ribbon Ridge),Wine Enthusiast,Ribbon Springs Vineyard,Adelsheim,Red,2016,Ribbon Ridge,Willamette Valley,Oregon,US,Pinot Noir
$30,92,Naumes 2016 Tempranillo (Rogue Valley),Wine Enthusiast,,Naumes,Red,2016,Rogue Valley,Southern Oregon,Oregon,US,Tempranillo
$55,92,Left Coast 2014 Blanc de Noir Sparkling (Van Duzer Corridor),Wine Enthusiast,Blanc de Noir,Left Coast,Sparkling,2014,Van Duzer Corridor,Willamette Valley,Oregon,US,Sparkling Blend
$40,91,Saffron Fields Vineyard 2017 Chardonnay (Willamette Valley),Wine Enthusiast,,Saffron Fields Vineyard,White,2017,Willamette Valley,Willamette Valley,Oregon,US,Chardonnay
$14,90,Wine by Joe 2018 Chardonnay (Oregon),Wine Enthusiast,,Wine by Joe,White,2018,,Oregon Other,Oregon,US,Chardonnay
$55,90,Left Coast 2015 Brut Rosé of Pinot Meunier (Willamette Valley),Wine Enthusiast,Brut Rosé of,Left Coast,Sparkling,2015,Willamette Valley,Willamette Valley,Oregon,US,Pinot Meunier
$14,89,Wine by Joe 2018 Pinot Gris (Oregon),Wine Enthusiast,,Wine by Joe,White,2018,,Oregon Other,Oregon,US,Pinot Gris
$20,85,The Great Oregon Wine Company 2017 Pinot Noir (Willamette Valley),Wine Enthusiast,,The Great Oregon Wine Company,Red,2017,Willamette Valley,Willamette Valley,Oregon,US,Pinot Noir
$16,85,Smith & Perry 2017 Pinot Noir (Oregon),Wine Enthusiast,,Smith & Perry,Red,2017,,Oregon Other,Oregon,US,Pinot Noir
$65,93,Quady North 2015 Mae's Vineyard Flagship Syrah (Applegate Valley),Wine Enthusiast,Mae's Vineyard Flagship,Quady North,Red,2015,Applegate Valley,Southern Oregon,Oregon,US,Syrah
$30,92,Dobbes Family Estate 2017 Grand Assemblage Syrah (Rogue Valley),Wine Enthusiast,Grand Assemblage,Dobbes Family Estate,Red,2017,Rogue Valley,Southern Oregon,Oregon,US,Syrah
$22,90,Soter 2018 Planet Oregon Pinot Noir (Willamette Valley),Wine Enthusiast,Planet Oregon,Soter,Red,2018,Willamette Valley,Willamette Valley,Oregon,US,Pinot Noir
$22,94,Haden Fig 2018 Chardonnay (Willamette Valley),Wine Enthusiast,,Haden Fig,White,2018,Willamette Valley,Willamette Valley,Oregon,US,Chardonnay
$24,91,Sokol Blosser 2018 Estate White (Dundee Hills),Wine Enthusiast,Estate,Sokol Blosser,White,2018,Dundee Hills,Willamette Valley,Oregon,US,Pinot Blanc-Pinot Gris
$25,90,Landform 2018 Pinot Noir (Willamette Valley),Wine Enthusiast,,Landform,Red,2018,Willamette Valley,Willamette Valley,Oregon,US,Pinot Noir
$25,88,Oregon Solidarity 2018 Pinot Noir (Rogue Valley),Wine Enthusiast,,Oregon Solidarity,Red,2018,Rogue Valley,Southern Oregon,Oregon,US,Pinot Noir
$18,86,High Pass 2019 Sauvignon Blanc (Willamette Valley),Wine Enthusiast,,High Pass,White,2019,Willamette Valley,Willamette Valley,Oregon,US,Sauvignon Blanc
$65,96,Brittan Vineyards 2016 Cygnus Block Pinot Noir (McMinnville),Wine Enthusiast,Cygnus Block,Brittan Vineyards,Red,2016,McMinnville,Willamette Valley,Oregon,US,Pinot Noir
$35,93,Martin Woods 2017 Havlin Vineyard Unfined & Unfiltered Pinot Noir (Van Duzer Corridor),Wine Enthusiast,Havlin Vineyard Unfined & Unfiltered,Martin Woods,Red,2017,Van Duzer Corridor,Willamette Valley,Oregon,US,Pinot Noir
$60,93,Domaine Roy & Fils 2017 Incline Pinot Noir (Dundee Hills),Wine Enthusiast,Incline,Domaine Roy & Fils,Red,2017,Dundee Hills,Willamette Valley,Oregon,US,Pinot Noir
$30,93,Lemelson 2016 Reserve Chardonnay (Willamette Valley),Wine Enthusiast,Reserve,Lemelson,White,2016,Willamette Valley,Willamette Valley,Oregon,US,Chardonnay
$14,92,Foris 2018 Pinot Gris (Rogue Valley),Wine Enthusiast,,Foris,White,2018,Rogue Valley,Southern Oregon,Oregon,US,Pinot Gris
$42,92,Martin Woods 2017 Jessie James Vineyard Pinot Noir (McMinnville),Wine Enthusiast,Jessie James Vineyard,Martin Woods,Red,2017,McMinnville,Willamette Valley,Oregon,US,Pinot Noir
$20,92,Foris 2016 Tempranillo (Rogue Valley),Wine Enthusiast,,Foris,Red,2016,Rogue Valley,Southern Oregon,Oregon,US,Tempranillo
$25,91,Anne Amie 2017 Twelve Oaks Estate Gamay Noir (Chehalem Mountains),Wine Enthusiast,Twelve Oaks Estate,Anne Amie,Red,2017,Chehalem Mountains,Willamette Valley,Oregon,US,Gamay Noir
$17,90,Maison L'Envoyé 2018 Straight Shooter Chardonnay (Willamette Valley),Wine Enthusiast,Straight Shooter,Maison L'Envoyé,White,2018,Willamette Valley,Willamette Valley,Oregon,US,Chardonnay
$20,90,Capitello 2018 Croft Vineyard Sauvignon Blanc (Willamette Valley),Wine Enthusiast,Croft Vineyard,Capitello,White,2018,Willamette Valley,Willamette Valley,Oregon,US,Sauvignon Blanc
$30,88,Anchor Valley 2017 Pinot Noir (Rogue Valley),Wine Enthusiast,,Anchor Valley,Red,2017,Rogue Valley,Southern Oregon,Oregon,US,Pinot Noir
$20,87,Chemistry 2018 Pinot Noir (Willamette Valley),Wine Enthusiast,,Chemistry,Red,2018,Willamette Valley,Willamette Valley,Oregon,US,Pinot Noir
